step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_mlp, timer_ln_f, timer_lm_head 
0,10.889220,10.890491,0.000001,1.242422,2432.170410,26945.480352,0.202624,318.743748,44.354144,972.682205,36.384064,2.474304,1.686400,1.748928,299.582850,4.020512,788.674118
1,10.890398,-1.000000,0.000001,2.237098,1355.130127,48361.407290,0.155232,314.487938,43.182880,954.615295,38.550976,2.225312,0.488512,0.161344,69.460768,1.088960,217.463554
2,10.888073,-1.000000,0.000002,2.318658,1354.770264,48374.253375,0.147584,317.942341,43.130848,952.203384,37.721504,1.943552,0.468576,0.158848,68.496543,1.081312,220.521023
3,10.888615,-1.000000,0.000002,2.252461,1362.625854,48095.373931,0.340960,321.260418,44.481632,955.838516,38.151775,2.198496,0.849152,0.154720,69.431713,1.076032,222.772224
4,10.880936,-1.000000,0.000003,2.231456,1366.594116,47955.716494,0.160992,318.437984,47.440736,961.178200,37.089214,1.913088,0.485248,0.162240,70.472768,1.086048,219.782530
5,10.884265,-1.000000,0.000004,2.279105,1359.862183,48193.119007,0.616032,315.160610,43.365345,958.912102,38.429119,1.889664,0.485248,0.166816,68.479232,1.093856,219.567650
6,10.869029,-1.000000,0.000004,2.258495,1359.188965,48216.989466,0.121920,320.749954,42.444768,952.639130,38.646687,1.893664,0.485792,0.157504,68.221313,1.083712,224.751518
7,10.869640,-1.000000,0.000005,2.224098,1357.498047,48277.049202,0.123104,319.950588,43.947232,949.228317,40.261250,1.890368,0.486624,0.162912,68.759104,1.081088,224.233345
8,10.854717,-1.000000,0.000006,2.207214,1308.832153,50072.119510,0.133952,305.957439,41.780928,921.750107,36.645535,2.020320,0.480384,0.152896,65.441888,1.077728,213.443745
