step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_mlp, timer_ln_f, timer_lm_head 
0,10.889219,10.890491,0.000001,1.242422,2347.179932,27921.165786,0.165024,311.018497,41.290336,938.877937,36.178658,2.481824,1.673440,2.046912,278.569502,3.814560,763.962305
1,10.890398,-1.000000,0.000001,2.237096,1315.093750,49833.709574,0.141632,305.646400,41.455328,928.658218,35.996159,2.195744,0.489568,0.160736,65.697952,1.080896,213.388899
2,10.888073,-1.000000,0.000002,2.318659,1313.344971,49900.065453,0.112448,302.966972,41.622048,927.591423,37.412033,1.896096,0.473696,0.158976,63.784544,1.074560,212.657888
3,10.888615,-1.000000,0.000002,2.252459,1299.835693,50418.680095,0.330432,302.571232,42.545761,915.011093,36.917599,1.889152,0.659552,0.162240,65.144480,1.078080,210.833984
4,10.880936,-1.000000,0.000003,2.231454,1304.565308,50235.890543,0.333984,299.983135,43.992320,919.224571,37.460800,3.065632,0.613920,0.156512,64.255424,1.078880,208.941473
5,10.884265,-1.000000,0.000004,2.279107,1317.433594,49745.201816,0.128032,307.869022,42.309440,926.430298,38.140450,1.899296,0.475776,0.154016,67.093857,1.078336,214.559744
6,10.869029,-1.000000,0.000004,2.258497,1299.521606,50430.866001,0.161088,304.115841,40.673120,913.742981,38.495682,1.891456,0.489056,0.161952,65.644736,1.084096,212.327585
7,10.869638,-1.000000,0.000005,2.224096,1299.328247,50438.370864,0.142272,305.869503,40.242496,912.458046,38.105698,1.889952,0.485216,0.153792,65.690847,1.087936,213.697504
8,10.854717,-1.000000,0.000006,2.207213,1303.812134,50264.910336,0.158080,302.969280,41.345664,918.965698,37.821857,1.892032,0.479424,0.155680,64.578304,1.087168,212.055458
9,10.847651,-1.000000,0.000006,2.252133,1306.481812,50162.198526,0.110688,302.538208,42.057376,921.666664,37.207039,1.894016,0.477600,0.158112,66.074528,1.085280,210.937504
10,10.837853,-1.000000,0.000007,2.229828,1306.806641,50149.729855,0.152576,304.721279,40.447424,921.408798,37.600544,2.204960,0.481856,0.155648,65.090881,1.077696,211.993183
