step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_mlp, timer_ln_f, timer_lm_head 
0,10.889219,10.890491,0.000001,1.242422,2664.224854,24598.524375,0.211552,366.632896,41.265952,1034.934982,38.028000,3.438304,3.239552,2.071296,327.659163,5.072896,920.024033
1,10.890398,-1.000000,0.000001,2.237097,1474.017944,44460.788454,0.203936,370.595234,41.132832,1021.170189,38.315456,1.886432,0.946464,0.221664,80.144095,1.441888,260.501600
2,10.888073,-1.000000,0.000002,2.318657,1472.404663,44509.503157,0.216544,368.753468,42.529664,1019.407257,38.599522,2.127200,0.941856,0.223712,81.736993,1.440096,257.966433
3,10.888615,-1.000000,0.000002,2.252460,1475.931641,44403.140495,0.213600,366.617504,42.405376,1023.176094,40.930336,1.990176,0.938368,0.229664,81.434976,1.461248,256.928671
4,10.880936,-1.000000,0.000003,2.231457,1483.525757,44175.842380,0.183616,370.227840,40.707361,1029.556465,38.437153,1.890560,0.941568,0.226688,80.934208,1.438880,258.556955
5,10.884266,-1.000000,0.000004,2.279106,1473.175049,44486.227249,0.196832,366.350533,40.527264,1027.318718,36.070786,1.977376,0.939488,0.233312,81.010911,1.456000,256.536831
6,10.869030,-1.000000,0.000004,2.258499,1468.246216,44635.565407,1.315584,369.753151,43.038208,1011.294655,38.594528,2.257280,1.838176,0.226016,78.360769,1.437120,260.518013
