step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_mlp, timer_ln_f, timer_lm_head 
0,10.889219,10.890491,0.000001,1.242420,2657.477051,24660.984365,0.229792,366.262146,42.929696,1029.621704,37.872768,3.237824,3.212224,2.048320,346.221918,5.056288,911.738623
1,10.890398,-1.000000,0.000001,2.237097,1469.713745,44590.996184,0.220416,366.345951,41.215008,1021.722115,37.832767,2.105536,0.949376,0.231680,79.430658,1.431040,257.190849
2,10.888073,-1.000000,0.000002,2.318660,1464.193848,44759.100788,0.425216,363.477371,41.009535,1018.695015,37.416256,1.892256,1.051360,0.226912,78.651711,1.432448,257.249216
3,10.888615,-1.000000,0.000002,2.252462,1469.689331,44591.736917,0.439680,365.170364,41.826816,1019.716560,39.740479,2.043488,0.940480,0.228448,79.203488,1.457664,257.305597
4,10.880937,-1.000000,0.000003,2.231454,1471.686646,44531.218789,0.449504,366.705891,42.300641,1022.569412,36.595551,1.930016,1.084736,0.230688,79.913025,1.441600,257.922333
5,10.884266,-1.000000,0.000004,2.279106,1479.314209,44301.609220,0.331904,374.044922,42.765792,1019.465027,38.682049,2.107360,0.940704,0.549504,81.673601,1.440288,261.386595
