step,loss,lr,norm,dt_ms,tok_sec
113,20.628735,0.000600,3.991434,22.019085,5813.139160
114,21.286634,0.000600,2.926250,22.169716,5773.641602
115,21.603018,0.000600,2.870743,22.492928,5690.677246
116,21.539257,0.000600,2.482685,22.236258,5756.364258
117,21.276043,0.000600,2.294854,21.392475,5983.412109
118,20.177427,0.000600,2.334322,23.047316,5553.792480
119,20.136133,0.000600,2.170483,20.933567,6114.581543
120,20.367895,0.000600,2.414098,21.406069,5979.612305
121,19.907391,0.000600,2.576190,23.074802,5547.176758
122,20.983662,0.000600,2.630941,21.739773,5887.825684
123,20.925922,0.000600,2.775789,21.625015,5919.070801
124,19.754738,0.000600,3.068434,23.024773,5559.229492
125,21.763006,0.000600,2.674644,21.466028,5962.910156
126,20.605486,0.000600,2.420980,22.221436,5760.204102
127,20.733944,0.000600,2.197202,22.917557,5585.237305
128,20.327465,0.000600,2.205277,21.237091,6027.190918
129,19.740297,0.000600,2.358112,22.075626,5798.250000
130,21.092653,0.000600,2.383058,22.710182,5636.238281
131,21.442760,0.000600,2.636151,21.888269,5847.881348
132,21.003450,0.000600,2.129993,22.825006,5607.884277
133,20.186632,0.000600,2.101711,22.018032,5813.416992
134,21.478481,0.000600,2.525482,21.898720,5845.090332
135,21.328375,0.000600,2.283355,22.644035,5652.702637
136,21.247272,0.000600,2.596236,22.504677,5687.707031
137,20.758659,0.000599,2.422998,22.103712,5790.882324
138,21.503872,0.000599,2.157531,21.959646,5828.873535
139,21.221605,0.000599,2.193185,21.231869,6028.673340
140,20.252171,0.000599,2.250540,22.150335,5778.693359
141,21.562916,0.000599,2.211800,22.583414,5667.876465
142,21.347427,0.000599,2.195261,21.841999,5860.269531
143,21.636150,0.000599,2.567530,21.664412,5908.307617
144,21.105541,0.000599,2.251935,23.337818,5484.660156
145,21.439476,0.000599,2.190176,23.007427,5563.420898
146,21.005064,0.000599,2.165853,20.918400,6119.015137
147,20.738943,0.000599,2.339513,23.427702,5463.617188
148,21.585653,0.000599,2.318544,23.321371,5488.527832
149,20.996899,0.000599,2.640620,23.544392,5436.539062
150,21.195589,0.000599,2.719413,23.049477,5553.270996
151,20.601398,0.000599,2.702049,22.122469,5785.972656
152,21.098017,0.000599,2.581429,22.803402,5613.197754
153,21.435303,0.000599,2.369744,22.330446,5732.084473
154,20.415167,0.000599,2.301467,22.922571,5584.015625
155,19.784273,0.000599,2.340416,22.486015,5692.426758
156,20.323999,0.000599,2.361508,22.781649,5618.557617
157,20.187208,0.000599,2.197060,23.044559,5554.456055
158,19.650539,0.000599,2.180573,23.974001,5339.117188
159,20.059906,0.000599,2.243139,21.929762,5836.816895
160,19.669939,0.000599,2.215923,21.715034,5894.533691
161,20.234480,0.000599,2.287330,21.796844,5872.409668
162,20.716408,0.000599,2.166161,22.354647,5725.878906
163,19.622005,0.000599,2.107723,22.664051,5647.710449
164,19.741869,0.000598,2.155129,21.928341,5837.195312
165,19.963608,0.000598,2.604750,20.474115,6251.796387
166,20.136295,0.000598,2.069653,24.234461,5281.734863
167,19.405325,0.000598,2.087885,22.348072,5727.563477
168,19.502161,0.000598,1.979533,22.017605,5813.529297
169,18.450638,0.000598,1.952383,22.487892,5691.952148
170,19.136280,0.000598,2.716644,21.606503,5924.142578
171,20.679052,0.000598,2.138832,23.160248,5526.711426
172,19.457937,0.000598,2.181247,22.053907,5803.960449
173,17.965832,0.000598,2.022807,22.239738,5755.463379
174,20.644562,0.000598,3.312044,23.103777,5540.219727
175,19.126680,0.000598,2.560252,21.996107,5819.211426
176,18.999481,0.000598,3.760720,22.236849,5756.211426
177,20.996460,0.000598,3.317712,22.840996,5603.958984
178,20.149145,0.000598,2.285226,22.850790,5601.557129
179,19.314486,0.000598,2.199062,21.708660,5896.264648
180,18.948517,0.000598,1.947019,23.092644,5542.890625
181,18.198299,0.000598,2.126820,21.785860,5875.370117
182,17.795141,0.000598,2.531217,23.265688,5501.664062
183,19.803131,0.000597,3.047879,20.247948,6321.628418
184,20.229786,0.000597,2.314944,21.988960,5821.103027
185,20.508377,0.000597,2.120878,23.512648,5443.878418
186,20.526779,0.000597,2.130003,21.502518,5952.791504
187,19.345901,0.000597,2.264863,21.726549,5891.409668
188,21.055641,0.000597,2.580254,23.238560,5508.086426
189,20.729446,0.000597,2.207999,21.445015,5968.752930
190,20.518208,0.000597,2.279096,22.288965,5742.751953
191,20.298843,0.000597,2.163269,22.481592,5693.546875
192,19.925997,0.000597,2.124646,22.077595,5797.733398
193,21.253159,0.000597,2.678083,24.260427,5276.081543
194,20.465868,0.000597,2.424775,21.522202,5947.347168
195,20.521137,0.000597,2.497768,21.459364,5964.762207
196,20.066690,0.000597,2.733691,24.083897,5314.754395
197,19.767534,0.000597,2.394124,21.080477,6071.968750
198,20.546457,0.000596,2.289702,23.432732,5462.444824
199,20.464186,0.000596,2.412106,21.921286,5839.073242
200,19.877527,0.000596,2.228078,21.885983,5848.492676
201,21.011604,0.000596,2.317316,22.600653,5663.553223
202,21.015701,0.000596,2.362677,21.285700,6013.426758
203,21.137417,0.000596,2.185093,22.078176,5797.580078
204,21.178026,0.000596,2.147506,22.904432,5588.437988
205,20.160772,0.000596,2.178597,22.414068,5710.699219
206,20.061058,0.000596,2.124173,23.268003,5501.116699
207,19.850103,0.000596,2.145830,22.968590,5572.827637
208,20.074408,0.000596,2.188997,21.624502,5919.211426
209,19.702969,0.000596,2.297265,22.462536,5698.376953
210,19.516596,0.000596,2.203643,22.250156,5752.768555
211,19.117853,0.000595,2.149949,21.991301,5820.483398
212,20.837076,0.000595,2.257072,23.363020,5478.743652
213,19.668760,0.000595,2.072567,21.743752,5886.748535
214,20.231567,0.000595,2.164585,22.409784,5711.791016
215,18.932222,0.000595,1.929348,21.552832,5938.895020
216,19.164816,0.000595,1.993088,23.017048,5561.095703
217,18.889366,0.000595,2.052777,23.067436,5548.947754
218,18.880800,0.000595,2.354373,24.502413,5223.975098
219,19.671877,0.000595,2.196681,22.185284,5769.590820
220,18.853790,0.000595,2.046942,24.501492,5224.171875
221,20.510181,0.000595,2.282571,20.950089,6109.759277
222,20.030243,0.000595,2.169883,23.148140,5529.602051
223,21.148531,0.000594,2.214101,23.107101,5539.422363
224,20.500450,0.000594,2.115274,22.571159,5670.953613
225,20.414555,0.000594,2.037973,24.795788,5162.166992
226,17.780058,0.000594,2.058921,23.898899,5355.895020
227,20.439472,0.000594,3.397812,20.994272,6096.900879
228,19.310030,0.000594,2.237695,25.305784,5058.132324
229,20.008661,0.000594,2.711612,22.167240,5774.287109
230,20.104885,0.000594,2.135025,23.478928,5451.697266
231,18.945824,0.000594,2.113952,21.907686,5842.698730
232,19.577036,0.000594,2.072551,24.830256,5155.001465
233,19.983627,0.000593,2.234602,24.265867,5274.898926
234,19.049833,0.000593,1.900835,23.157522,5527.361816
235,19.325823,0.000593,2.075121,23.462704,5455.466797
236,18.857073,0.000593,2.194097,23.169607,5524.478516
237,19.641781,0.000593,2.059633,21.974527,5824.925781
238,19.467440,0.000593,2.241805,24.003244,5332.612305
239,19.294710,0.000593,2.386765,21.740372,5887.664062
240,19.160736,0.000593,2.414067,23.506336,5445.340332
241,19.691818,0.000593,1.953902,22.836250,5605.123047
242,19.234230,0.000593,2.096979,22.168636,5773.922852
243,19.892664,0.000592,2.103420,22.259686,5750.305664
244,20.066580,0.000592,2.044777,22.941154,5579.492188
245,19.102381,0.000592,2.059248,21.923862,5838.387207
246,19.167183,0.000592,2.107482,23.418249,5465.822754
247,18.965128,0.000592,2.186382,21.788624,5874.625488
248,18.686544,0.000592,1.951124,22.890097,5591.937988
249,19.696083,0.000592,2.072523,22.250813,5752.599121
250,19.224922,0.000592,2.083778,21.178364,6043.904297
251,18.738407,0.000592,2.026634,23.659260,5410.144043
252,18.845079,0.000592,2.096894,22.196194,5766.754395
253,18.378965,0.000591,2.380059,27.237743,4699.361328
254,17.932337,0.000591,2.076493,23.977123,5338.421875
255,18.040804,0.000591,1.875185,24.474651,5229.900879
256,18.961311,0.000591,2.186911,21.574993,5932.794434
257,18.452953,0.000591,1.858784,22.766840,5622.211914
258,17.263382,0.000591,2.042745,22.552929,5675.537598
259,18.811144,0.000591,2.263972,21.972313,5825.513184
260,16.496683,0.000591,2.968472,23.951551,5344.121582
261,19.500780,0.000590,3.097660,22.480061,5693.934570
262,18.399307,0.000590,2.345916,23.703960,5399.941406
263,18.544605,0.000590,2.226724,23.825745,5372.339844
264,18.434784,0.000590,2.794805,22.589003,5666.474609
265,18.459572,0.000590,1.974720,23.344999,5482.973145
266,18.111069,0.000590,1.799213,23.063105,5549.990234
267,18.198563,0.000590,1.829055,22.655716,5649.788086
268,18.330734,0.000590,2.631413,24.092825,5312.785156
269,19.555773,0.000590,3.581056,22.137505,5782.042969
270,17.308668,0.000589,2.566397,23.484425,5450.421387
271,18.229979,0.000589,2.146606,22.903469,5588.673340
272,16.876715,0.000589,2.370263,23.112844,5538.045898
273,19.755739,0.000589,2.032003,23.445662,5459.432129
274,19.898811,0.000589,2.379467,22.484392,5692.837891
275,19.684504,0.000589,2.474142,22.822472,5608.507324
276,18.487932,0.000589,2.159829,23.621058,5418.893555
277,18.481377,0.000589,2.056938,22.715645,5634.882812
278,18.851313,0.000588,2.004259,23.498960,5447.049805
279,18.161285,0.000588,1.943424,23.068804,5548.618652
280,19.107220,0.000588,1.967242,23.361506,5479.098633
281,18.383884,0.000588,1.967574,22.993933,5566.685547
282,19.556471,0.000588,2.282916,23.008556,5563.147461
283,19.074799,0.000588,2.166594,22.487291,5692.104004
284,18.653429,0.000588,1.893574,24.626270,5197.701660
285,19.455940,0.000587,1.964032,23.418144,5465.847656
286,18.050949,0.000587,1.909681,23.063841,5549.812988
287,18.997559,0.000587,2.055198,23.019304,5560.550293
288,18.953426,0.000587,2.144492,22.821604,5608.720703
289,19.381721,0.000587,1.886884,23.294079,5494.958984
290,20.232328,0.000587,2.165087,22.475191,5695.168457
291,18.829685,0.000587,1.968268,22.567017,5671.994629
292,19.633678,0.000587,2.105054,24.388081,5248.465332
293,20.037218,0.000586,2.185626,21.266867,6018.752441
294,19.363943,0.000586,2.318797,23.102331,5540.566406
295,19.453325,0.000586,2.060257,23.375797,5475.749023
296,20.091173,0.000586,2.074334,22.459579,5699.126953
297,19.751083,0.000586,2.161191,23.147274,5529.809082
298,21.172989,0.000586,2.186680,23.536470,5438.368652
299,20.739605,0.000586,2.251602,22.357277,5725.205078
300,20.320402,0.000585,2.218068,23.803682,5377.319336
301,20.713776,0.000585,2.093653,22.662771,5648.029297
302,19.946779,0.000585,2.097327,24.863169,5148.177246
303,20.433985,0.000585,2.093940,20.919888,6118.579590
304,20.051445,0.000585,2.025541,22.242849,5754.658203
305,19.622440,0.000585,1.937743,25.130983,5093.314453
306,19.808372,0.000584,2.291024,23.207256,5515.516113
307,18.995264,0.000584,2.102177,22.251728,5752.361816
308,19.310648,0.000584,2.057647,23.590347,5425.948242
309,19.125957,0.000584,2.114139,22.964689,5573.774414
310,18.869413,0.000584,1.978682,24.108236,5309.388672
311,17.378647,0.000584,1.784917,22.443403,5703.234863
312,18.623640,0.000584,1.855416,23.277191,5498.945312
313,18.492794,0.000583,2.006809,23.560165,5432.899414
314,18.810926,0.000583,2.845750,23.152847,5528.478027
315,19.576550,0.000583,2.161623,23.389166,5472.619141
316,19.814528,0.000583,2.157110,23.665583,5408.698242
317,19.223209,0.000583,2.175032,22.790367,5616.408203
318,19.144796,0.000583,1.856839,23.667358,5408.292969
319,19.568237,0.000582,2.140645,22.879885,5594.433594
320,18.185831,0.000582,1.862269,23.105068,5539.910156
321,18.907026,0.000582,2.587315,28.791992,4445.680664
322,19.930809,0.000582,1.978530,23.415213,5466.531250
323,19.372169,0.000582,2.150136,22.381388,5719.037598
324,20.558418,0.000582,2.287448,23.783644,5381.850098
