step,loss,lr,norm,dt_ms,tok_sec
99,7.629884,0.001000,0.788961,954.937195,8578.574219
100,7.351105,0.001000,0.545145,951.381470,8610.636719
101,7.318143,0.001000,0.386985,975.230408,8400.066406
102,7.507065,0.001000,0.829920,946.897217,8651.414062
103,7.542589,0.001000,0.754806,937.874756,8734.641602
104,7.379629,0.001000,0.605030,949.400085,8628.606445
105,7.160129,0.001000,0.492194,942.209045,8694.460938
106,7.247188,0.001000,0.419307,945.139709,8667.501953
107,7.373850,0.001000,0.409847,946.111694,8658.597656
108,7.407607,0.001000,0.439649,945.542603,8663.808594
109,7.323307,0.001000,0.385909,957.690735,8553.910156
110,7.378898,0.001000,0.408589,946.905151,8651.341797
111,7.421144,0.001000,0.525421,957.805969,8552.879883
112,7.385584,0.001000,0.478120,945.453186,8664.627930
113,7.187601,0.001000,0.639677,938.222778,8731.402344
114,7.321044,0.001000,0.528371,980.264832,8356.924805
115,7.374058,0.001000,0.419643,968.702148,8456.675781
116,7.286026,0.001000,0.413135,950.841370,8615.527344
117,7.398519,0.001000,0.519814,946.223877,8657.570312
118,6.969942,0.001000,0.516026,947.500244,8645.908203
119,7.256052,0.001000,0.487562,941.628174,8699.825195
120,7.298901,0.001000,0.738492,947.770996,8643.438477
121,7.458028,0.001000,0.544565,960.033142,8533.039062
122,7.416242,0.001000,0.484227,946.025452,8659.386719
123,8.015905,0.001000,0.574507,944.590149,8672.543945
124,7.612361,0.001000,0.389829,938.518616,8728.649414
125,7.361352,0.001000,0.347083,970.868164,8437.808594
126,7.267720,0.001000,0.604777,984.643188,8319.765625
127,7.457968,0.001000,0.491544,978.434204,8372.560547
128,7.510947,0.001000,0.357441,989.168457,8281.703125
129,7.258503,0.001000,0.479937,963.583191,8501.601562
130,7.286997,0.001000,0.412651,946.809204,8652.217773
131,7.285123,0.001000,0.443637,955.823730,8570.618164
132,6.908333,0.001000,0.756709,947.351868,8647.261719
133,7.350627,0.001000,0.505394,962.241211,8513.458008
134,7.140580,0.001000,0.368679,963.948547,8498.378906
135,7.293253,0.001000,0.545320,939.255310,8721.803711
136,7.320888,0.001000,0.548045,954.398804,8583.414062
137,7.289504,0.001000,0.692479,958.745422,8544.500000
138,7.256494,0.001000,0.655576,941.317871,8702.692383
139,7.034551,0.001000,0.441910,950.836365,8615.573242
140,7.190872,0.001000,0.363507,946.200256,8657.787109
141,7.346497,0.001000,0.459428,949.326660,8629.274414
142,7.231716,0.001000,0.397799,942.467529,8692.077148
143,7.326633,0.001000,0.845289,959.449524,8538.229492
144,7.023401,0.001000,0.409153,967.152100,8470.229492
145,6.888872,0.001000,0.337146,950.629578,8617.447266
146,6.893482,0.001000,0.536499,945.917725,8660.373047
147,7.116017,0.001000,0.666436,969.529419,8449.459961
148,7.300895,0.001000,0.541584,939.221130,8722.120117
149,7.039422,0.001000,0.370613,955.057434,8577.494141
150,7.483162,0.001000,0.602692,943.549500,8682.109375
151,7.351374,0.001000,0.454998,954.343018,8583.916016
152,7.471478,0.001000,0.565245,942.663940,8690.265625
153,7.212689,0.001000,0.412226,949.113037,8631.216797
154,7.386722,0.001000,0.474617,950.547791,8618.188477
155,7.245445,0.001000,0.592267,974.643494,8405.125000
156,7.551590,0.001000,0.497577,961.500854,8520.012695
157,7.218430,0.001000,0.411228,966.873169,8472.672852
158,7.170424,0.001000,0.435851,950.772888,8616.148438
159,7.200949,0.001000,0.423522,963.308899,8504.022461
160,7.228551,0.000999,0.515378,950.595032,8617.760742
161,7.292737,0.000999,0.337994,951.895020,8605.991211
162,7.319741,0.000999,0.492478,965.351501,8486.028320
163,7.384814,0.000999,0.481960,972.234741,8425.949219
164,7.202494,0.000999,0.360706,962.584412,8510.421875
165,7.194572,0.000999,0.451134,961.883850,8516.621094
166,7.159273,0.000999,0.502546,943.669556,8681.004883
167,7.223556,0.000999,0.329737,954.965576,8578.319336
168,7.001470,0.000999,0.514401,960.943542,8524.955078
169,6.996683,0.000999,0.704500,966.780762,8473.482422
170,7.136245,0.000999,0.441895,962.330872,8512.665039
171,7.397645,0.000999,0.618209,960.346802,8530.251953
172,7.263511,0.000999,0.456395,963.387634,8503.327148
173,7.528424,0.000999,0.583818,951.810669,8606.753906
