step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.210394,-1,0.000000,1.862601,5954.351800,11006.403753
1,11.227018,-1,0.000000,12.822040,5817.267498,11265.770402
2,11.215569,-1,0.000000,12.822291,5828.168153,11244.699583
3,11.216650,-1,0.000000,12.822183,5803.589788,11292.321200
4,11.210465,-1,0.000000,12.821973,5795.245464,11308.580526
5,11.213739,-1,0.000000,12.822308,5781.843624,11334.792890
6,11.222589,-1,0.000000,12.822341,5864.777520,11174.507435
7,11.223094,-1,0.000000,12.822481,5767.569993,11362.844331
8,11.221703,-1,0.000000,12.822962,5774.180629,11349.835450
9,11.207229,-1,0.000000,12.822529,5813.278386,11273.501052
10,11.267563,-1,0.000000,1.899700,5804.489957,11290.569970
11,11.267949,-1,0.000000,1.963099,5796.171979,11306.772856
12,11.219386,-1,0.000000,2.104867,5845.113519,11212.100464
13,11.237961,-1,0.000000,2.045635,5837.696354,11226.346152
14,11.263078,-1,0.000000,2.035429,5797.337800,11304.499110
15,11.190569,-1,0.000000,1.942775,5817.908002,11264.530133
16,11.291972,-1,0.000000,2.034937,5817.102366,11266.090207
17,11.294488,-1,0.000000,2.032030,5845.191679,11211.950540
18,11.222800,-1,0.000001,2.002675,5853.421588,11196.186541
19,11.242031,-1,0.000001,2.013575,5802.635637,11294.178042
20,11.254022,-1,0.000001,1.999506,5876.470091,11152.273216
21,11.275326,-1,0.000001,2.089911,5794.492952,11310.049135
22,11.203960,-1,0.000001,2.043464,5868.248565,11167.897759
23,11.231828,-1,0.000001,1.964181,5836.237970,11229.151439
24,11.248335,-1,0.000001,2.008773,5791.920786,11315.071877
25,11.182051,-1,0.000001,2.000743,5838.404265,11224.984949
26,11.228005,-1,0.000001,1.960944,5845.149626,11212.031204
27,11.209284,-1,0.000001,2.034755,5824.102069,11252.550045
28,11.152662,-1,0.000001,1.901287,5854.452683,11194.214651
29,11.149740,-1,0.000001,2.052510,5864.716819,11174.623093
30,11.241410,-1,0.000001,2.032501,5850.135364,11202.475827
31,11.172453,-1,0.000001,2.010111,5893.206804,11120.600749
32,11.185344,-1,0.000001,1.983545,5871.307080,11162.080114
33,11.198888,-1,0.000001,1.977547,5870.845076,11162.958510
34,11.212126,-1,0.000001,1.978567,5857.653074,11188.098573
35,11.205715,-1,0.000001,1.989958,5848.068822,11206.434465
36,11.194715,-1,0.000001,2.001496,5906.536797,11095.503550
37,11.227316,-1,0.000001,2.063345,5854.839864,11193.474377
38,11.145205,-1,0.000001,2.030818,5884.959043,11136.186254
39,11.196687,-1,0.000001,2.007672,5900.484870,11106.883831
40,11.200055,-1,0.000001,1.966479,5849.532728,11203.629939
41,11.232580,-1,0.000001,1.959787,5850.411375,11201.947316
42,11.200302,-1,0.000001,2.018679,5863.232936,11177.451197
43,11.165377,-1,0.000001,2.008286,5850.021134,11202.694571
44,11.138549,-1,0.000001,1.969659,5801.207794,11296.957862
45,11.192158,-1,0.000001,1.904363,5751.360474,11394.869144
46,11.153901,-1,0.000001,1.985504,5732.151546,11433.054321
47,11.189849,-1,0.000001,1.961758,5750.001408,11397.562426
48,11.133967,-1,0.000001,1.964895,5724.257667,11448.820758
49,11.235296,-1,0.000001,1.997247,5803.724011,11292.060042
50,11.150755,-1,0.000001,2.034043,5806.303152,11287.044146
51,11.152776,-1,0.000001,2.019046,5853.457060,11196.118692
52,11.196115,-1,0.000001,1.937939,5802.781098,11293.894926
53,11.161312,-1,0.000001,2.017199,5701.416787,11494.686750
54,11.130347,-1,0.000002,2.032793,5723.456614,11450.423131
55,11.150208,-1,0.000002,2.044874,5740.273458,11416.877694
56,11.096875,-1,0.000002,2.032437,5763.842637,11370.192444
57,11.126300,-1,0.000002,1.985223,5736.229187,11424.927049
58,11.099220,-1,0.000002,2.029707,5777.273708,11343.758893
59,11.113503,-1,0.000002,2.056923,5727.466942,11442.405633
60,11.092024,-1,0.000002,1.986699,5753.658004,11390.318986
61,11.101072,-1,0.000002,1.998570,5818.528227,11263.329392
62,11.169491,-1,0.000002,2.095752,5778.842312,11340.679752
63,11.147176,-1,0.000002,2.020573,5745.477624,11406.536460
64,11.099671,-1,0.000002,1.992774,5776.424236,11345.427088
65,11.091758,-1,0.000002,1.930183,5752.383543,11392.842551
66,11.120085,-1,0.000002,1.959680,5686.866016,11524.097775
67,11.055376,-1,0.000002,1.994069,5731.789719,11433.776048
68,11.123288,-1,0.000002,1.974590,5862.960442,11177.970694
69,11.128334,-1,0.000002,2.005305,5815.424524,11269.340653
70,11.036734,-1,0.000002,2.029050,5901.837176,11104.338877
71,11.045018,-1,0.000002,2.049113,5993.552645,10934.416344
72,11.098674,-1,0.000002,2.170254,5979.904370,10959.372583
73,11.094415,-1,0.000002,1.989581,5918.062592,11073.894367
74,11.073716,-1,0.000002,2.065847,6024.677832,10877.926061
75,11.045169,-1,0.000002,2.025514,5989.788465,10941.287891
76,11.097442,-1,0.000002,1.988225,5997.945962,10926.407209
77,11.070588,-1,0.000002,1.991008,5956.283860,11002.833569
78,11.119220,-1,0.000002,1.988414,5881.731508,11142.297113
79,11.044098,-1,0.000002,2.016487,5911.527624,11086.136134
80,10.997149,-1,0.000002,1.920218,5852.065493,11198.781025
81,11.036092,-1,0.000002,1.935295,5790.661146,11317.533240
82,11.038200,-1,0.000002,2.038363,5795.526640,11308.031879
83,11.050622,-1,0.000002,2.013397,5862.782861,11178.309269
84,11.077235,-1,0.000002,2.036252,5911.513324,11086.162952
85,11.003832,-1,0.000002,1.936786,5851.150854,11200.531594
86,10.940134,-1,0.000002,2.047668,5908.095470,11092.576336
87,11.063471,-1,0.000002,2.032899,5892.612433,11121.722453
88,10.968300,-1,0.000002,1.979548,5820.983371,11258.578804
