step,loss,lr,norm,dt_ms,tok_sec
0,11.345009,0.000100,0.885402,1175.345947,6969.863281
1,11.307638,0.000200,0.934480,939.463562,8719.870117
2,11.222819,0.000300,0.900619,966.792358,8473.380859
3,11.103455,0.000400,0.937008,944.040283,8677.595703
4,10.931938,0.000500,0.960518,961.123535,8523.358398
5,10.685470,0.000600,0.971745,951.110718,8613.087891
6,10.485539,0.000700,1.034935,950.998962,8614.099609
7,10.320961,0.000800,1.108254,950.051636,8622.688477
8,10.097570,0.000900,1.145798,958.512756,8546.573242
9,9.830211,0.001000,1.192248,957.291199,8557.479492
10,9.552575,0.001000,1.303217,958.671143,8545.162109
11,9.294744,0.001000,1.283623,958.487488,8546.798828
12,9.109091,0.001000,1.361481,955.940735,8569.569336
13,8.985483,0.001000,1.224570,954.700623,8580.700195
14,8.729432,0.001000,1.230669,946.473816,8655.284180
15,8.750697,0.001000,1.103289,954.247620,8584.774414
16,8.473792,0.001000,1.122078,947.169739,8648.924805
17,8.137307,0.001000,1.299206,948.301758,8638.600586
18,8.394317,0.001000,0.918934,946.486694,8655.166016
19,8.095812,0.001000,1.152660,944.400024,8674.290039
20,8.327473,0.001000,0.905724,951.901794,8605.929688
21,7.939313,0.001000,0.908808,961.374207,8521.135742
22,7.889780,0.001000,0.653904,943.322937,8684.194336
23,7.949609,0.001000,0.676954,973.753784,8412.803711
24,7.646225,0.001000,0.564646,953.387573,8592.518555
25,7.882273,0.001000,0.904034,959.569458,8537.162109
26,7.876719,0.001000,0.687624,944.762817,8670.958984
27,7.884092,0.001000,0.588190,955.142273,8576.732422
28,8.273183,0.001000,0.695962,975.001038,8402.041992
29,7.888274,0.001000,0.755311,964.492188,8493.588867
30,7.920003,0.001000,0.608415,956.959412,8560.446289
31,7.811649,0.001000,0.475291,953.813721,8588.678711
32,7.779009,0.001000,0.511274,945.502136,8664.178711
33,7.785080,0.001000,0.488256,933.285767,8777.589844
34,7.698769,0.001000,0.674138,956.504395,8564.518555
35,7.705123,0.001000,0.470707,945.485596,8664.331055
36,7.942454,0.001000,0.479416,952.146851,8603.714844
37,7.952637,0.001000,0.500138,937.476074,8738.356445
38,7.729404,0.001000,0.384189,942.307129,8693.556641
39,7.785635,0.001000,0.580902,944.806152,8670.561523
40,7.796758,0.001000,0.627927,936.054565,8751.625977
41,7.844077,0.001000,0.456056,941.608704,8700.003906
