step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.026568,-1,0.000000,1.307580,2875.946124,22787.631330
1,12.351819,-1,0.000000,9.468869,2580.722299,25394.440938
2,12.366073,-1,0.000000,9.468765,2584.444100,25357.870963
3,12.345875,-1,0.000000,9.469421,2584.339273,25358.899540
4,12.357079,-1,0.000000,9.468955,2592.857579,25275.588035
5,12.331668,-1,0.000001,9.469877,2587.780555,25325.176771
6,12.345571,-1,0.000001,9.470073,2654.225866,24691.191823
7,12.331812,-1,0.000001,9.470440,2658.293413,24653.410974
8,12.338275,-1,0.000001,9.470886,2682.951414,24426.830713
9,12.340678,-1,0.000001,9.470855,2655.585264,24678.552366
10,11.038898,-1,0.000001,1.338221,2705.843956,24220.169775
11,11.097335,-1,0.000001,1.380148,2735.658510,23956.206435
12,11.019046,-1,0.000001,1.482430,2725.143090,24048.645460
13,11.014559,-1,0.000001,1.446669,2711.627073,24168.515152
14,11.062144,-1,0.000001,1.436283,2680.916370,24445.372759
15,11.038935,-1,0.000002,1.370769,2707.405332,24206.201866
16,11.062067,-1,0.000002,1.433119,2637.663053,24846.236492
17,11.002995,-1,0.000002,1.429829,2637.905197,24843.955755
18,11.056577,-1,0.000002,1.409562,2636.733979,24854.991259
19,11.069858,-1,0.000002,1.419146,2685.223773,24406.159613
20,11.013929,-1,0.000002,1.411336,2654.646611,24687.278423
21,10.995272,-1,0.000002,1.473900,2685.784509,24401.064114
22,11.006653,-1,0.000002,1.438027,2651.259434,24718.818219
23,11.047780,-1,0.000002,1.381101,2652.159831,24710.426285
24,11.011653,-1,0.000002,1.415159,2626.662225,24950.295998
25,11.053754,-1,0.000003,1.407708,2639.292575,24830.896211
26,11.038167,-1,0.000003,1.384416,2624.997167,24966.122182
27,11.036806,-1,0.000003,1.439508,2618.700068,25026.157367
28,11.074739,-1,0.000003,1.336457,2657.956548,24656.535506
29,11.034996,-1,0.000003,1.446908,2648.833626,24741.455770
30,11.035798,-1,0.000003,1.431687,2618.569233,25027.407782
31,11.071425,-1,0.000003,1.415027,2580.123971,25400.329882
32,11.049190,-1,0.000003,1.400030,2577.581890,25425.380375
33,11.020371,-1,0.000003,1.393732,2573.178601,25468.888935
34,11.036597,-1,0.000003,1.398016,2573.505960,25465.649203
35,11.060081,-1,0.000004,1.404395,2574.984729,25451.024723
36,11.034557,-1,0.000004,1.413535,2575.190474,25448.991312
37,11.003142,-1,0.000004,1.458741,2573.698938,25463.739769
38,11.038724,-1,0.000004,1.432776,2575.460646,25446.321652
39,10.995371,-1,0.000004,1.413641,2574.125169,25459.523410
40,10.998581,-1,0.000004,1.391853,2572.245693,25478.126051
41,11.025364,-1,0.000004,1.383676,2569.638445,25503.977078
42,10.974706,-1,0.000004,1.421809,2576.414643,25436.899366
43,10.990209,-1,0.000004,1.420346,2580.259124,25398.999422
44,10.980882,-1,0.000004,1.387751,2572.063764,25479.928187
45,11.025928,-1,0.000005,1.346358,2571.278925,25487.705500
46,10.929417,-1,0.000005,1.404415,2574.167068,25459.109012
47,10.964217,-1,0.000005,1.389768,2599.259414,25213.335632
48,11.011090,-1,0.000005,1.389075,2592.535124,25278.731768
49,10.924804,-1,0.000005,1.410191,2572.124890,25479.322662
50,10.939428,-1,0.000005,1.442009,2571.987624,25480.682484
51,10.931553,-1,0.000005,1.428934,2574.555992,25455.263045
52,11.000564,-1,0.000005,1.372084,2573.901973,25461.731133
53,10.928042,-1,0.000005,1.434079,2571.069524,25489.781349
