step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.210394,-1,0.000000,1.862601,6126.732400,10696.729630
1,11.226908,-1,0.000000,12.822006,5865.613794,11172.914260
2,11.214229,-1,0.000000,12.822265,5800.305738,11298.714751
3,11.213094,-1,0.000000,12.822198,5829.500360,11242.129849
4,11.203751,-1,0.000000,12.822054,5906.247355,11096.047297
5,11.202910,-1,0.000001,12.822483,5906.197129,11096.141657
6,11.206624,-1,0.000001,12.822639,5887.279993,11131.796021
7,11.201122,-1,0.000001,12.822932,5959.156030,10997.530467
8,11.192760,-1,0.000001,12.823588,5944.579652,11024.496909
9,11.170213,-1,0.000001,12.823375,6012.630749,10899.721392
10,11.265081,-1,0.000001,1.899233,5907.366441,11093.945272
11,11.264509,-1,0.000001,1.962545,5851.743347,11199.397532
12,11.215071,-1,0.000001,2.104174,5871.611146,11161.502077
13,11.232133,-1,0.000001,2.044926,5867.152316,11169.984427
14,11.256711,-1,0.000001,2.034662,5995.439928,10930.974338
15,11.181893,-1,0.000002,1.941860,5964.187185,10988.253381
16,11.281101,-1,0.000002,2.033966,5920.485273,11069.362895
17,11.282612,-1,0.000002,2.031014,5881.245536,11143.217810
18,11.207970,-1,0.000002,2.001591,5902.820304,11102.489425
19,11.222697,-1,0.000002,2.012381,5847.676388,11207.186522
20,11.232100,-1,0.000002,1.998304,5836.500054,11228.647202
21,11.242302,-1,0.000002,2.088701,5864.144850,11175.713028
22,11.176265,-1,0.000002,2.042157,5858.278398,11186.904334
23,11.201613,-1,0.000002,1.962872,5852.834184,11197.310216
24,11.216058,-1,0.000002,2.007466,5834.162773,11233.145620
25,11.144936,-1,0.000003,1.999430,5862.695095,11178.476612
26,11.184586,-1,0.000003,1.959825,5917.004422,11075.874771
27,11.162402,-1,0.000003,2.033406,5920.901792,11068.584196
28,11.107380,-1,0.000003,1.900114,6022.771529,10881.369098
29,11.091535,-1,0.000003,2.051454,5954.441177,11006.238546
30,11.174613,-1,0.000003,2.031589,6036.498933,10856.624134
31,11.106124,-1,0.000003,2.009429,5903.744791,11100.750849
32,11.109905,-1,0.000003,1.983034,5882.290773,11141.237747
33,11.118920,-1,0.000003,1.977264,5942.149460,11029.005655
34,11.134133,-1,0.000003,1.978678,5846.503533,11209.434772
35,11.118565,-1,0.000004,1.990255,5890.697355,11125.338148
36,11.114935,-1,0.000004,2.002348,5892.825348,11121.320611
37,11.108896,-1,0.000004,2.064506,5892.064177,11122.757328
38,11.033422,-1,0.000004,2.032223,5861.277769,11181.179699
39,11.079067,-1,0.000004,2.010140,5901.450448,11105.066556
40,11.077911,-1,0.000004,1.969240,5931.748710,11048.343955
41,11.115232,-1,0.000004,1.963215,5942.941992,11027.534862
42,11.054734,-1,0.000004,2.023347,5955.353114,11004.553172
43,11.013480,-1,0.000004,2.013754,6038.482839,10853.057257
44,10.976608,-1,0.000004,1.975538,5948.148510,11017.882269
45,11.033521,-1,0.000005,1.910920,5975.765253,10966.963598
46,10.973737,-1,0.000005,1.993490,5816.201609,11267.834990
47,10.999429,-1,0.000005,1.970847,5839.414435,11223.043120
48,10.964504,-1,0.000005,1.975299,5831.005010,11239.228896
49,11.026791,-1,0.000005,2.008940,5822.799707,11255.066857
50,10.928287,-1,0.000005,2.047785,5803.630308,11292.242359
51,10.942675,-1,0.000005,2.033862,5778.909969,11340.546981
52,10.988469,-1,0.000005,1.953400,5791.832881,11315.243611
53,10.913120,-1,0.000005,2.035431,5787.602377,11323.514597
54,10.883036,-1,0.000006,2.052667,5820.191564,11260.110476
55,10.889611,-1,0.000006,2.066212,5837.200835,11227.299155
56,10.819205,-1,0.000006,2.055237,5817.953646,11264.441759
57,10.833948,-1,0.000006,2.009536,5805.393182,11288.813341
58,10.861697,-1,0.000006,2.056494,5944.261960,11025.086115
59,10.811289,-1,0.000006,2.086036,6019.693866,10886.932369
60,10.775610,-1,0.000006,2.016839,5931.460744,11048.880340
61,10.789581,-1,0.000006,2.030278,5900.684447,11106.508167
62,10.857757,-1,0.000006,2.132069,5855.653951,11191.918195
63,10.825681,-1,0.000006,2.057291,5875.662714,11153.805654
64,10.761187,-1,0.000006,2.032016,5846.987087,11208.507737
65,10.772858,-1,0.000007,1.969673,5852.683290,11197.598905
66,10.751880,-1,0.000007,2.001749,5907.833036,11093.069083
67,10.658613,-1,0.000007,2.039821,5898.487059,11110.645721
68,10.744933,-1,0.000007,2.021441,5798.904421,11301.445108
69,10.767425,-1,0.000007,2.056579,5815.706328,11268.794589
70,10.588704,-1,0.000007,2.082735,5820.252131,11259.993300
71,10.560312,-1,0.000007,2.105898,6081.208590,10776.805142
72,10.775539,-1,0.000007,2.232832,6027.105344,10873.544805
73,10.608084,-1,0.000007,2.048821,6066.571678,10802.806507
74,10.576954,-1,0.000008,2.130769,5975.674036,10967.131006
75,10.585376,-1,0.000008,2.090590,6012.227106,10900.453167
76,10.592530,-1,0.000008,2.054489,5990.853058,10939.343590
77,10.636237,-1,0.000008,2.059009,5989.322366,10942.139360
78,10.662026,-1,0.000008,2.058969,6004.889460,10913.772924
79,10.562435,-1,0.000008,2.090933,5999.839567,10922.958734
80,10.498267,-1,0.000008,1.991151,5991.262497,10938.596003
81,10.537517,-1,0.000008,2.008257,5992.199297,10936.885900
82,10.483001,-1,0.000008,2.117798,5977.702987,10963.408544
83,10.516709,-1,0.000008,2.094350,6013.243084,10898.611462
84,10.593941,-1,0.000008,2.118999,5963.018326,10990.407277
