step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.257516,-1,0.000000,2.133795,938.002785,8733.449549
1,11.222439,-1,0.000000,12.825552,755.542440,10842.541155
2,11.206089,-1,0.000001,12.825287,761.889569,10752.214407
3,11.212071,-1,0.000001,12.826749,761.293290,10760.636022
4,11.213806,-1,0.000001,12.831281,760.183145,10776.350481
5,11.182967,-1,0.000001,12.827392,757.452716,10815.196549
6,11.164141,-1,0.000001,12.832365,759.626612,10784.245668
7,11.137144,-1,0.000002,12.829902,755.880392,10837.693485
8,11.113850,-1,0.000002,12.830272,751.183651,10905.455662
9,11.094750,-1,0.000002,12.832943,759.898779,10780.383159
10,11.179468,-1,0.000002,2.007671,763.508637,10729.413661
11,11.262456,-1,0.000002,2.204786,762.721856,10740.481521
12,11.187963,-1,0.000003,2.259233,764.746203,10712.050570
13,11.180391,-1,0.000003,2.352773,755.965517,10836.473114
14,11.210472,-1,0.000003,2.358530,758.317199,10802.867205
15,11.192745,-1,0.000003,1.960114,764.259393,10718.873821
16,11.205647,-1,0.000003,2.271705,740.269747,11066.236373
17,11.162816,-1,0.000004,2.233694,762.864258,10738.476622
18,11.190949,-1,0.000004,2.187001,747.450900,10959.917233
19,11.229993,-1,0.000004,2.121259,744.388059,11005.012642
20,11.184421,-1,0.000004,2.337427,751.088202,10906.841538
21,11.278184,-1,0.000005,2.225352,769.660871,10643.648792
22,11.223513,-1,0.000005,2.070611,762.505530,10743.528640
23,11.205523,-1,0.000005,2.128037,766.894542,10682.042382
24,11.183297,-1,0.000005,2.102714,761.998643,10750.675313
25,11.136586,-1,0.000005,2.287744,766.937986,10681.437286
26,11.096920,-1,0.000006,1.932572,764.008050,10722.400111
27,11.147489,-1,0.000006,2.055993,765.918168,10695.659592
28,11.143180,-1,0.000006,2.311879,765.229862,10705.280082
29,11.115438,-1,0.000006,2.095622,766.489520,10687.686898
30,11.102002,-1,0.000006,2.221126,767.713348,10670.649431
31,11.046674,-1,0.000007,2.147558,763.509999,10729.394521
32,11.077433,-1,0.000007,2.475425,761.450962,10758.407841
33,11.074865,-1,0.000007,2.438296,762.216579,10747.601437
34,11.094247,-1,0.000007,2.211974,762.802321,10739.348550
35,11.048828,-1,0.000007,2.570794,751.014058,10907.918318
36,11.005830,-1,0.000008,2.503915,759.140283,10791.154393
37,10.970835,-1,0.000008,2.249414,782.684508,10466.541648
38,11.025417,-1,0.000008,2.192213,757.396920,10815.993284
39,10.891287,-1,0.000008,2.369578,760.010126,10778.803755
