step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.174729,-1,0.000001,1.033672,2051.695835,31942.356602
1,11.229676,-1,0.000002,0.859744,1804.489461,36318.305768
2,11.191303,-1,0.000004,0.893799,1801.965311,36369.179584
3,11.227701,-1,0.000005,0.876867,1804.833064,36311.391512
4,11.241438,-1,0.000006,0.871160,1804.866921,36310.710356
5,11.191600,-1,0.000007,0.859293,1800.364086,36401.525952
6,11.242183,-1,0.000008,0.866480,1800.239731,36404.040457
7,11.222267,-1,0.000010,0.864266,1798.427650,36440.720871
8,11.235214,-1,0.000011,0.887221,1803.457159,36339.094429
9,11.223725,-1,0.000012,0.872260,1820.068169,36007.442532
10,11.245188,-1,0.000013,0.827067,1803.504371,36338.143147
11,11.234694,-1,0.000014,0.845125,1789.452623,36623.489864
12,11.161495,-1,0.000015,0.907922,1791.121853,36589.358725
13,11.246451,-1,0.000017,0.884982,1780.362297,36810.485209
14,11.176728,-1,0.000018,0.879575,1781.430408,36788.414358
15,11.223546,-1,0.000019,0.836885,1798.939320,36430.356083
16,11.212850,-1,0.000020,0.876785,1790.683262,36598.320535
17,11.174873,-1,0.000021,0.878503,1786.797231,36677.916701
18,11.237473,-1,0.000023,0.867527,1788.894653,36634.913012
19,11.182584,-1,0.000024,0.867101,1799.128298,36426.529488
20,11.236664,-1,0.000025,0.858045,1790.103585,36610.171919
21,11.180703,-1,0.000026,0.907277,1777.687812,36865.865625
22,11.235145,-1,0.000027,0.878826,1762.309626,37187.562862
23,11.238009,-1,0.000029,0.852730,1778.868297,36841.400856
24,11.242890,-1,0.000030,0.863603,1762.634778,37180.702899
25,11.228284,-1,0.000031,0.867982,1780.317870,36811.403797
26,11.201111,-1,0.000032,0.844425,1760.403808,37227.822220
27,11.152170,-1,0.000033,0.880742,1757.846759,37281.975613
28,11.221483,-1,0.000035,0.819299,1771.229122,37000.294985
29,11.218950,-1,0.000036,0.889894,1761.037210,37214.432283
30,11.219354,-1,0.000037,0.876821,1761.151963,37212.007468
31,11.194695,-1,0.000038,0.864015,1765.563750,37119.022182
32,11.232270,-1,0.000039,0.858754,1762.164365,37190.628355
33,11.227167,-1,0.000040,0.851011,1768.034332,37067.153513
34,11.198161,-1,0.000042,0.851114,1774.583717,36930.351255
35,11.227744,-1,0.000043,0.854139,1768.065831,37066.493142
36,11.190537,-1,0.000044,0.860541,1767.089452,37086.973682
37,11.226369,-1,0.000045,0.888513,1782.303723,36770.388321
38,11.221832,-1,0.000046,0.877124,1763.859193,37154.893236
39,11.181240,-1,0.000048,0.866947,1762.262618,37188.554833
40,11.202565,-1,0.000049,0.854028,1781.251283,36792.113850
41,11.242521,-1,0.000050,0.843833,1768.353510,37060.463097
42,11.175805,-1,0.000051,0.869344,1782.997873,36756.073012
43,11.198512,-1,0.000052,0.864733,1754.396559,37355.294425
44,11.206590,-1,0.000054,0.849006,1777.804394,36863.448094
45,11.206423,-1,0.000055,0.825788,1779.849725,36821.086117
46,11.224217,-1,0.000056,0.854671,1765.735076,37115.420592
47,11.240177,-1,0.000057,0.846293,1736.141780,37748.069170
48,11.236452,-1,0.000058,0.852449,1726.812890,37951.998378
49,11.219109,-1,0.000060,0.858941,1713.828767,38239.526178
50,11.217587,-1,0.000061,0.880830,1742.529261,37609.698423
51,11.221983,-1,0.000062,0.872356,1737.562525,37717.203874
52,11.184850,-1,0.000063,0.838155,1783.431368,36747.138789
53,11.228992,-1,0.000064,0.866563,1760.164228,37232.889385
54,11.217255,-1,0.000065,0.880547,1763.068134,37171.564012
55,11.212878,-1,0.000067,0.878101,1726.460746,37959.739399
56,11.176764,-1,0.000068,0.874576,1764.451032,37142.430598
57,11.233628,-1,0.000069,0.855004,1733.519935,37805.160862
58,11.221593,-1,0.000070,0.880023,1737.443145,37719.795430
59,11.220889,-1,0.000071,0.882834,1855.180995,35325.933252
60,11.231079,-1,0.000073,0.854912,1843.894447,35542.164632
61,11.180590,-1,0.000074,0.864431,1810.812086,36191.496902
62,11.234394,-1,0.000075,0.904833,1791.331741,36585.071598
63,11.141187,-1,0.000076,0.865618,1815.452729,36098.984542
64,11.239182,-1,0.000077,0.849724,1791.909119,36573.283380
65,11.226630,-1,0.000079,0.832687,1801.239607,36383.832415
66,11.172610,-1,0.000080,0.844350,1817.480806,36058.702674
67,11.175034,-1,0.000081,0.867706,1829.036528,35830.886369
68,11.224013,-1,0.000082,0.849617,1818.044354,36047.525384
69,11.226918,-1,0.000083,0.867662,1787.547420,36662.523895
70,11.232557,-1,0.000085,0.868850,1789.009265,36632.566014
71,11.223015,-1,0.000086,0.880008,1791.607018,36579.450371
72,11.187461,-1,0.000087,0.943742,1802.568937,36357.000642
73,11.222455,-1,0.000088,0.854125,1793.044628,36550.122053
74,11.217320,-1,0.000089,0.881712,1788.897529,36634.854114
75,11.180063,-1,0.000090,0.871318,1793.889685,36532.904196
76,11.196206,-1,0.000092,0.854742,1799.908461,36410.740557
77,11.222904,-1,0.000093,0.857414,1795.605232,36498.000135
78,11.235818,-1,0.000094,0.850733,1805.949613,36288.941579
79,11.209529,-1,0.000095,0.862460,1801.081331,36387.029765
80,11.174462,-1,0.000096,0.823586,1775.814574,36904.753998
81,11.229915,-1,0.000098,0.829402,1800.127835,36406.303333
82,11.221023,-1,0.000099,0.874752,1807.468833,36258.439871
83,11.177056,-1,0.000100,0.864714,1798.227949,36444.767771
84,11.218262,-1,0.000101,0.873668,1799.090375,36427.297322
