step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.239169,-1,0.000002,2.222658,902.107080,9080.961874
1,11.219895,-1,0.000004,12.825938,720.709356,11366.579234
2,11.173869,-1,0.000006,12.827553,734.827116,11148.200470
3,11.126820,-1,0.000008,12.833261,727.106259,11266.578851
4,11.051816,-1,0.000010,12.843937,726.895345,11269.847931
5,10.917632,-1,0.000012,12.849970,718.711793,11398.171116
6,10.769922,-1,0.000014,12.869627,718.640032,11399.309300
7,10.584188,-1,0.000016,12.888828,718.911899,11394.998485
8,10.377186,-1,0.000018,12.918100,725.278860,11294.965911
9,10.142818,-1,0.000020,12.956178,718.589811,11400.105978
10,11.163192,-1,0.000022,2.100600,724.002211,11314.882573
11,11.107420,-1,0.000024,2.210119,722.966372,11331.094111
12,11.094239,-1,0.000026,2.298324,734.856927,11147.748220
13,11.115579,-1,0.000028,2.032087,722.256268,11342.234554
14,11.063643,-1,0.000030,2.164991,722.881816,11332.419517
15,10.991366,-1,0.000032,2.250208,718.113321,11407.670294
16,10.976518,-1,0.000034,2.114927,716.505817,11433.263772
17,10.943290,-1,0.000036,2.243217,717.928353,11410.609382
18,10.849848,-1,0.000038,2.083738,717.701254,11414.219990
19,10.729115,-1,0.000040,2.391658,721.419429,11355.391428
20,10.689483,-1,0.000042,2.321026,714.477890,11465.715195
21,10.581598,-1,0.000044,2.384560,715.653306,11446.883472
22,10.502096,-1,0.000046,2.438431,715.971329,11441.798949
23,10.497869,-1,0.000048,2.183946,715.100834,11455.727095
24,10.424484,-1,0.000050,2.297481,718.136073,11407.308876
25,10.235267,-1,0.000052,2.639661,721.528478,11353.675218
26,10.368055,-1,0.000054,2.240359,716.787547,11428.769981
27,10.191778,-1,0.000056,2.384769,718.141822,11407.217557
28,10.133356,-1,0.000058,2.359435,718.616245,11399.686630
29,10.061733,-1,0.000060,2.312058,716.111083,11439.566004
30,10.135523,-1,0.000062,2.267833,718.290011,11404.864156
31,10.093483,-1,0.000064,2.211473,723.630897,11320.688536
32,9.933291,-1,0.000066,2.310672,717.953203,11410.214434
33,9.891708,-1,0.000068,2.383649,718.814627,11396.540488
34,9.763783,-1,0.000070,2.748192,719.991558,11377.911184
35,9.708917,-1,0.000072,2.808612,719.940039,11378.725389
36,9.858862,-1,0.000074,2.319142,719.742908,11381.841917
37,10.036196,-1,0.000076,2.249539,719.225556,11390.029083
38,9.667074,-1,0.000078,2.847644,721.000190,11361.994232
39,9.592827,-1,0.000080,2.924782,717.178013,11422.547612
40,9.695031,-1,0.000082,2.768683,717.983474,11409.733367
41,10.040353,-1,0.000084,2.437899,717.742618,11413.562180
42,9.744461,-1,0.000086,2.684448,718.235229,11405.734040
43,9.633301,-1,0.000088,3.011342,718.192877,11406.406639
44,9.688190,-1,0.000090,2.652149,717.624589,11415.439389
45,9.846862,-1,0.000092,2.283256,719.810845,11380.767679
46,9.810477,-1,0.000094,2.265790,718.822966,11396.408278
47,9.829584,-1,0.000096,2.296407,721.678829,11351.309850
48,9.670873,-1,0.000098,2.555695,719.630535,11383.619235
49,9.638766,-1,0.000100,2.501308,719.399629,11387.273040
50,9.733124,-1,0.000102,2.474961,717.881085,11411.360699
51,9.627173,-1,0.000104,2.845612,714.971374,11457.801386
52,9.726888,-1,0.000106,2.587148,721.443964,11355.005252
53,9.824924,-1,0.000108,2.399296,720.930632,11363.090478
54,9.761139,-1,0.000110,2.484574,720.801781,11365.121752
55,9.620929,-1,0.000112,2.627186,716.690614,11430.315732
56,9.707665,-1,0.000114,2.698469,717.054707,11424.511854
57,9.929825,-1,0.000116,2.212732,719.802377,11380.901567
58,9.829174,-1,0.000118,2.322408,719.802094,11380.906041
59,9.706224,-1,0.000120,2.525782,719.936613,11378.779537
60,9.703261,-1,0.000122,2.414693,719.709473,11382.370675
61,9.751665,-1,0.000124,2.266973,718.336978,11404.118472
62,9.715006,-1,0.000126,2.402400,717.921553,11410.717460
63,9.785468,-1,0.000128,2.226788,720.516866,11369.615878
64,9.647615,-1,0.000130,2.462493,720.123193,11375.831357
65,9.677286,-1,0.000132,2.432812,715.875116,11443.336717
66,9.666367,-1,0.000134,2.436495,717.373056,11419.441993
67,9.746798,-1,0.000136,2.311281,736.041449,11129.807990
68,9.599289,-1,0.000138,2.684880,729.800432,11224.986504
69,9.581145,-1,0.000140,2.546072,727.694280,11257.474774
70,9.770302,-1,0.000142,2.272305,732.268170,11187.158388
71,9.605051,-1,0.000144,2.494300,728.352933,11247.294586
72,9.641301,-1,0.000146,2.399256,720.469487,11370.363559
73,9.798990,-1,0.000148,2.116468,728.653997,11242.647448
74,9.800647,-1,0.000150,2.078596,736.890061,11116.990761
75,9.713484,-1,0.000152,2.253849,728.486563,11245.231437
76,9.699235,-1,0.000154,2.201146,723.145717,11328.283923
77,9.593284,-1,0.000156,2.347789,725.771044,11287.306193
78,9.619757,-1,0.000158,2.418820,716.831502,11428.069187
79,9.479165,-1,0.000160,2.808233,731.780008,11194.621212
80,9.536628,-1,0.000162,2.517154,733.342657,11170.767065
81,9.542010,-1,0.000164,2.817322,715.866542,11443.473775
82,9.681976,-1,0.000166,2.312415,716.574721,11432.164379
83,9.608659,-1,0.000168,2.222598,722.566557,11337.363902
84,9.586983,-1,0.000170,2.384767,715.729459,11445.665533
85,9.466550,-1,0.000172,2.566362,721.967740,11346.767378
86,9.413653,-1,0.000174,2.827753,721.933683,11347.302658
87,9.650249,-1,0.000176,2.356190,719.610788,11383.931615
88,9.573988,-1,0.000178,2.552400,730.693856,11211.261642
89,9.690531,-1,0.000180,2.167546,746.054481,10980.431334
90,9.526483,-1,0.000182,2.476721,717.900251,11411.056047
91,9.531363,-1,0.000184,2.482779,717.457762,11418.093766
92,9.478056,-1,0.000186,2.429540,716.416926,11434.682379
93,9.583414,-1,0.000188,2.260007,716.523122,11432.987643
94,9.677087,-1,0.000190,2.218088,719.072800,11392.448720
95,9.558814,-1,0.000192,2.282397,719.098007,11392.049373
96,9.512228,-1,0.000194,2.367684,720.631578,11367.806033
97,9.439795,-1,0.000196,2.595735,714.955578,11458.054531
98,9.572757,-1,0.000198,2.157367,715.568961,11448.232730
99,9.578904,-1,0.000200,2.160676,720.982396,11362.274648
100,9.582391,-1,0.000202,2.090730,718.173610,11406.712647
101,9.450171,-1,0.000204,2.435354,716.940937,11426.324788
102,9.576660,-1,0.000206,2.212510,719.278428,11389.191836
103,9.423901,-1,0.000208,2.521133,717.163337,11422.781363
104,9.487135,-1,0.000210,2.291415,716.016814,11441.072109
105,9.572214,-1,0.000212,2.239588,719.348572,11388.081271
106,9.527200,-1,0.000214,2.125699,717.523132,11417.053520
107,9.446012,-1,0.000216,2.263607,717.013891,11425.162194
108,9.409302,-1,0.000218,2.246499,716.500780,11433.344148
109,9.530804,-1,0.000220,2.114614,715.574019,11448.151809
110,9.433415,-1,0.000222,2.249135,719.135243,11391.459506
111,9.584629,-1,0.000224,1.991509,718.051943,11408.645405
112,9.563895,-1,0.000226,2.094655,717.090576,11423.940398
113,9.295630,-1,0.000228,2.687708,720.583995,11368.556694
114,9.408329,-1,0.000230,2.597944,715.311419,11452.354572
115,9.417612,-1,0.000232,2.295439,714.396915,11467.014804
116,9.381882,-1,0.000234,2.225539,718.443180,11402.432688
117,9.487239,-1,0.000236,1.991112,718.919593,11394.876534
118,9.536215,-1,0.000238,2.034152,717.196585,11422.251822
119,9.382638,-1,0.000240,2.507442,717.932595,11410.541960
120,9.583034,-1,0.000242,1.847530,716.149325,11438.955137
121,9.648767,-1,0.000244,1.902207,716.307470,11436.429666
122,9.425097,-1,0.000246,2.067662,714.394739,11467.049731
123,9.300114,-1,0.000248,2.522738,720.175300,11375.008279
124,9.394245,-1,0.000250,2.056571,722.145226,11343.978614
125,9.504551,-1,0.000252,2.031054,719.647400,11383.352458
126,9.423086,-1,0.000254,1.990287,717.055638,11424.497021
127,9.402907,-1,0.000256,2.318493,716.154014,11438.880241
128,9.325123,-1,0.000258,2.124319,718.662543,11398.952234
129,9.501939,-1,0.000260,1.798867,721.324735,11356.882140
130,9.380246,-1,0.000262,2.057993,717.345197,11419.885481
131,9.405705,-1,0.000264,1.860146,717.687769,11414.434457
132,9.352914,-1,0.000266,2.080610,721.028411,11361.549524
133,9.266522,-1,0.000268,2.463366,716.594217,11431.853350
134,9.429858,-1,0.000270,2.014484,718.726960,11397.930585
135,9.411468,-1,0.000272,1.942318,718.962124,11394.202457
136,9.387922,-1,0.000274,2.041106,718.277850,11405.057249
137,9.873433,-1,0.000276,1.765001,716.259468,11437.196108
138,10.050641,-1,0.000278,1.637529,718.908356,11395.054643
139,9.410119,-1,0.000280,2.342311,716.323160,11436.179168
140,9.457440,-1,0.000282,2.053326,717.574062,11416.243192
141,9.417768,-1,0.000284,1.982447,720.921714,11363.231043
142,9.462055,-1,0.000286,1.763523,718.242430,11405.619687
143,9.661622,-1,0.000288,1.862141,717.474990,11417.819595
144,9.358922,-1,0.000290,1.810403,718.928834,11394.730066
145,9.384912,-1,0.000292,1.889680,721.333139,11356.749825
146,9.682409,-1,0.000294,1.968187,717.971094,11409.930105
147,9.640419,-1,0.000296,2.279613,716.297702,11436.585622
148,9.496828,-1,0.000298,1.831120,720.280161,11373.352264
149,9.352001,-1,0.000300,1.990774,721.655349,11351.679179
150,9.474382,-1,0.000302,2.155230,717.941894,11410.394168
151,9.428631,-1,0.000304,2.585496,717.875615,11411.447650
152,9.380150,-1,0.000306,2.112114,716.946596,11426.234598
153,9.444516,-1,0.000308,1.759773,720.140467,11375.558485
154,9.295287,-1,0.000310,1.899539,717.957015,11410.153852
155,9.378942,-1,0.000312,1.892295,717.687446,11414.439594
156,9.298308,-1,0.000314,2.124571,719.058301,11392.678436
157,9.407002,-1,0.000316,1.849461,716.151607,11438.918687
158,9.548932,-1,0.000318,2.050297,714.886237,11459.165915
159,9.471552,-1,0.000320,2.147858,718.713922,11398.137352
160,9.556141,-1,0.000322,1.843595,716.195747,11438.213693
161,9.479983,-1,0.000324,1.883657,719.426734,11386.844015
162,9.384351,-1,0.000326,2.127115,717.115696,11423.540226
163,9.419162,-1,0.000328,1.927840,719.075335,11392.408558
164,9.540434,-1,0.000330,1.912496,716.733488,11429.631986
165,9.860706,-1,0.000332,4.990170,714.656348,11462.852073
166,9.446256,-1,0.000334,9.160866,721.000382,11361.991206
167,9.324494,-1,0.000336,5.261992,719.094047,11392.112109
168,9.209046,-1,0.000338,9.488687,718.314119,11404.481387
169,9.230782,-1,0.000340,6.252483,714.957354,11458.026069
170,9.313863,-1,0.000342,8.779262,719.194625,11390.518943
171,9.581802,-1,0.000344,8.602362,716.795554,11428.642315
172,9.386095,-1,0.000346,6.733528,715.222300,11453.781573
173,9.304575,-1,0.000348,14.498898,719.156345,11391.125250
174,9.183944,-1,0.000350,10.534090,718.931588,11394.686416
175,9.563535,-1,0.000352,11.196952,716.175334,11438.539714
176,9.579913,-1,0.000354,20.899405,718.174481,11406.698813
177,9.797669,-1,0.000356,6.553281,717.802295,11412.613274
178,9.624834,-1,0.000358,23.419443,717.938013,11410.455849
179,9.463378,-1,0.000360,12.060193,720.054313,11376.919563
180,9.621878,-1,0.000362,12.527740,718.968204,11394.106102
181,9.421694,-1,0.000364,24.760706,720.408092,11371.332570
182,9.511458,-1,0.000366,33.347416,716.727884,11429.721353
183,9.503812,-1,0.000368,13.814178,715.724538,11445.744228
184,9.590789,-1,0.000370,17.174139,718.817601,11396.493337
185,9.501062,-1,0.000372,26.409685,718.684994,11398.596142
186,9.394840,-1,0.000374,21.065241,717.318262,11420.314293
187,9.337159,-1,0.000376,9.961254,720.520459,11369.559181
188,9.429674,-1,0.000378,23.545097,718.401889,11403.088056
189,10.118035,-1,0.000380,47.071571,716.652896,11430.917318
190,9.832160,-1,0.000382,28.321619,719.472503,11386.119644
191,9.293756,-1,0.000384,16.188036,719.510174,11385.523508
192,9.345467,-1,0.000386,18.067692,718.809036,11396.629132
193,9.304063,-1,0.000388,23.834028,716.136683,11439.157069
194,9.664432,-1,0.000390,25.711668,717.886857,11411.268949
195,9.395512,-1,0.000392,38.425114,718.837490,11396.178015
196,9.468471,-1,0.000394,20.973364,718.525630,11401.124272
197,9.389500,-1,0.000396,25.784220,717.884582,11411.305111
198,9.553357,-1,0.000398,18.516460,717.069120,11424.282223
199,9.417391,-1,0.000400,23.907850,716.958587,11426.043496
200,9.246974,-1,0.000402,7.255505,721.643579,11351.864325
201,9.324732,-1,0.000404,7.651322,716.440904,11434.299681
202,9.236335,-1,0.000406,7.848475,716.311556,11436.364430
203,9.379775,-1,0.000408,18.910540,720.242196,11373.951770
204,9.514025,-1,0.000410,8.839684,719.311255,11388.672071
205,9.471552,-1,0.000412,9.892471,720.367366,11371.975448
206,9.445149,-1,0.000414,10.397190,719.917573,11379.080477
207,9.425904,-1,0.000416,8.845133,716.450313,11434.149517
208,9.228166,-1,0.000418,10.104075,717.955896,11410.171635
209,9.267025,-1,0.000420,9.617635,719.508578,11385.548763
210,9.010393,-1,0.000422,11.746893,721.110117,11360.262194
211,9.302057,-1,0.000424,15.362679,715.326372,11452.115175
212,9.065714,-1,0.000426,15.959644,718.884193,11395.437652
213,9.225353,-1,0.000428,34.175224,719.752505,11381.690155
214,9.319166,-1,0.000430,36.920986,715.079133,11456.074750
215,9.519109,-1,0.000432,27.130159,716.510588,11433.187642
216,9.230371,-1,0.000434,38.203941,719.065591,11392.562935
217,9.340780,-1,0.000436,34.940529,717.608200,11415.700099
218,9.312409,-1,0.000438,58.338371,715.700718,11446.125167
219,9.203118,-1,0.000440,27.685978,718.838112,11396.168154
