step,loss,val_loss,lr,norm,dt_ms,tok_sec
55,11.979671,12.017344,0.000003,0.967499,492.565094,16631.304688
56,12.003226,12.017344,0.000004,1.062940,494.008423,16582.712891
57,11.959409,12.017344,0.000004,1.062257,500.076202,16381.503906
58,11.959550,12.017344,0.000004,0.986454,508.946228,16096.002930
59,11.932471,12.017344,0.000004,1.026834,498.796631,16423.527344
60,11.956999,12.017344,0.000004,0.896128,490.031372,16717.296875
61,11.968975,12.017344,0.000004,1.054479,511.289368,16022.238281
62,11.941725,12.017344,0.000004,0.968152,504.428375,16240.164062
63,11.979756,12.017344,0.000004,1.017247,500.316406,16373.639648
64,12.005526,12.017344,0.000004,0.980516,497.080017,16480.244141
65,11.981080,12.017344,0.000004,0.992449,505.189362,16215.702148
66,11.995900,12.017344,0.000004,1.098869,490.331909,16707.050781
67,11.969357,12.017344,0.000004,1.002745,508.583862,16107.471680
68,11.966289,12.017344,0.000004,0.928083,503.678497,16264.342773
69,11.989240,12.017344,0.000004,0.949166,500.610291,16364.026367
70,11.952436,12.017344,0.000004,1.013155,504.107361,16250.506836
71,11.924660,12.017344,0.000004,0.935421,502.155884,16313.659180
72,11.929729,12.017344,0.000005,1.040637,503.423492,16272.581055
73,11.948382,12.017344,0.000005,1.054572,489.790680,16725.511719
74,11.943644,12.017344,0.000005,0.980610,492.025391,16649.546875
75,11.909644,12.017344,0.000005,1.088612,494.257751,16574.347656
76,11.986343,12.017344,0.000005,0.984080,496.942474,16484.806641
77,11.925060,12.017344,0.000005,1.032631,496.847656,16487.951172
78,11.944377,12.017344,0.000005,1.038259,493.466583,16600.921875
79,11.930911,12.017344,0.000005,0.993273,490.576996,16698.705078
80,11.938566,12.017344,0.000005,0.943904,483.322357,16949.351562
81,11.983605,12.017344,0.000005,1.005888,488.637115,16764.998047
82,11.905822,12.017344,0.000005,0.907604,496.942688,16484.798828
83,11.923980,12.017344,0.000005,1.029726,503.815765,16259.912109
84,11.998898,12.017344,0.000005,1.160300,503.051208,16284.624023
85,11.936567,12.017344,0.000005,1.071220,493.612030,16596.029297
86,11.930994,12.017344,0.000005,0.978966,498.359741,16437.925781
87,11.927588,12.017344,0.000005,1.002598,489.868805,16722.843750
88,11.887912,12.017344,0.000006,0.965116,501.269684,16342.500000
89,11.929626,12.017344,0.000006,1.036004,491.018219,16683.699219
90,11.896984,12.017344,0.000006,0.965819,492.041260,16649.009766
91,11.898800,12.017344,0.000006,0.951224,501.906952,16321.750977
92,11.912061,12.017344,0.000006,0.921501,488.399933,16773.138672
93,11.881114,12.017344,0.000006,0.977150,492.090668,16647.337891
94,11.882375,12.017344,0.000006,0.896512,489.279205,16742.996094
95,11.967432,12.017344,0.000006,0.930833,496.385986,16503.285156
96,11.892004,12.017344,0.000006,1.077912,491.208160,16677.248047
97,11.901263,12.017344,0.000006,0.890382,490.200806,16711.517578
98,11.924099,12.017344,0.000006,1.045645,497.394287,16469.832031
99,11.971588,12.017344,0.000006,1.148448,504.485474,16238.326172
100,11.932146,11.895749,0.000006,1.106988,4039.918945,2027.763428
101,11.896784,11.895749,0.000006,1.047681,510.309998,16052.987305
102,11.860212,11.895749,0.000006,0.997671,498.130341,16445.494141
103,11.874452,11.895749,0.000006,0.967884,499.148926,16411.935547
104,11.883757,11.895749,0.000007,1.046438,490.960907,16685.646484
105,11.898568,11.895749,0.000007,1.059452,498.986694,16417.271484
106,11.858431,11.895749,0.000007,1.109015,499.276611,16407.738281
107,11.863941,11.895749,0.000007,0.960400,502.895874,16289.654297
108,11.843131,11.895749,0.000007,1.046188,510.412628,16049.759766
109,11.882844,11.895749,0.000007,1.015536,499.616821,16396.564453
110,11.890582,11.895749,0.000007,0.988076,494.673035,16560.433594
111,11.887633,11.895749,0.000007,1.070484,499.616425,16396.578125
112,11.882336,11.895749,0.000007,1.028088,509.227570,16087.110352
113,11.910784,11.895749,0.000007,1.082398,498.846222,16421.894531
114,11.926741,11.895749,0.000007,1.049788,498.014557,16449.318359
115,11.903134,11.895749,0.000007,1.063828,499.676025,16394.623047
116,11.846894,11.895749,0.000007,1.048063,495.982422,16516.714844
117,11.843235,11.895749,0.000007,1.001146,509.328918,16083.909180
118,11.851870,11.895749,0.000007,1.112603,499.470337,16401.375000
119,11.853168,11.895749,0.000007,1.006206,505.286926,16212.570312
120,11.842978,11.895749,0.000008,1.061673,514.703064,15915.973633
121,11.861856,11.895749,0.000008,1.018345,503.911194,16256.833008
122,11.861242,11.895749,0.000008,1.001604,496.572968,16497.072266
123,11.804647,11.895749,0.000008,0.865570,499.158295,16411.626953
124,11.840156,11.895749,0.000008,0.921767,493.413849,16602.695312
125,11.840640,11.895749,0.000008,0.924027,506.891418,16161.251953
126,11.803217,11.895749,0.000008,1.095668,504.477539,16238.581055
127,11.851207,11.895749,0.000008,1.020364,491.743011,16659.109375
128,11.812026,11.895749,0.000008,0.923571,493.643768,16594.962891
129,11.833236,11.895749,0.000008,0.993419,500.052979,16382.263672
130,11.792069,11.895749,0.000008,0.998065,489.831207,16724.128906
131,11.836652,11.895749,0.000008,1.005069,499.155945,16411.705078
132,11.821200,11.895749,0.000008,1.192915,508.298462,16116.515625
133,11.803597,11.895749,0.000008,0.928135,498.811890,16423.023438
134,11.762567,11.895749,0.000008,0.991808,500.161804,16378.699219
135,11.832759,11.895749,0.000008,0.906060,492.053436,16648.597656
136,11.787552,11.895749,0.000009,1.061313,494.941437,16551.453125
137,11.823783,11.895749,0.000009,1.015617,501.346741,16339.987305
138,11.712596,11.895749,0.000009,1.084864,499.499268,16400.423828
139,11.759765,11.895749,0.000009,1.027263,498.025665,16448.951172
140,11.787159,11.895749,0.000009,1.046109,493.066437,16614.394531
141,11.764794,11.895749,0.000009,0.979841,503.032654,16285.225586
142,11.736113,11.895749,0.000009,1.052611,501.673737,16329.336914
143,11.732338,11.895749,0.000009,1.126508,499.261047,16408.250000
144,11.819950,11.895749,0.000009,0.976917,490.545593,16699.773438
145,11.774535,11.895749,0.000009,1.040134,497.999390,16449.818359
146,11.745005,11.895749,0.000009,1.205122,494.543549,16564.769531
147,11.742667,11.895749,0.000009,1.133852,492.293396,16640.484375
148,11.732220,11.895749,0.000009,1.006158,492.224792,16642.802734
149,11.739059,11.895749,0.000009,1.022134,492.794952,16623.546875
150,11.754568,11.895749,0.000009,1.029938,491.237061,16676.265625
151,11.749804,11.895749,0.000009,1.004522,495.935822,16518.265625
152,11.745322,11.895749,0.000010,1.000442,489.510651,16735.080078
153,11.740544,11.895749,0.000010,1.066677,491.820892,16656.470703
154,11.704743,11.895749,0.000010,0.992923,505.147736,16217.037109
155,11.771497,11.895749,0.000010,1.004577,494.861359,16554.130859
156,11.707491,11.895749,0.000010,1.006466,487.783539,16794.333984
157,11.712758,11.895749,0.000010,1.046189,501.256531,16342.929688
158,11.722984,11.895749,0.000010,1.091656,492.002289,16650.330078
159,11.720922,11.895749,0.000010,1.042602,499.304657,16406.816406
160,11.699718,11.895749,0.000010,1.023981,488.127441,16782.501953
161,11.725132,11.895749,0.000010,0.977448,517.707642,15823.602539
162,11.703073,11.895749,0.000010,1.005665,499.769501,16391.556641
163,11.732181,11.895749,0.000010,0.966732,493.820129,16589.037109
164,11.660597,11.895749,0.000010,1.024466,504.433960,16239.984375
165,11.634613,11.895749,0.000010,1.098667,504.459717,16239.155273
166,11.655521,11.895749,0.000010,1.074001,494.766113,16557.318359
167,11.704301,11.895749,0.000010,1.037586,492.227081,16642.724609
168,11.657235,11.895749,0.000011,1.134218,492.570465,16631.123047
169,11.601796,11.895749,0.000011,1.329576,491.890228,16654.123047
170,11.658614,11.895749,0.000011,1.021448,487.720306,16796.511719
171,11.634933,11.895749,0.000011,0.984614,507.352539,16146.563477
172,11.685410,11.895749,0.000011,0.984813,500.520020,16366.978516
173,11.685820,11.895749,0.000011,0.911621,500.150909,16379.056641
174,11.661521,11.895749,0.000011,1.004491,499.631287,16396.091797
175,11.671932,11.895749,0.000011,1.026798,506.892273,16161.225586
176,11.636673,11.895749,0.000011,1.079016,493.226715,16608.996094
177,11.589842,11.895749,0.000011,1.114544,498.141174,16445.136719
178,11.647575,11.895749,0.000011,1.074368,512.008606,15999.731445
179,11.678576,11.895749,0.000011,0.996355,491.527618,16666.408203
180,11.628831,11.895749,0.000011,0.967301,494.494904,16566.398438
181,11.628400,11.895749,0.000011,1.060670,504.345490,16242.833984
182,11.652029,11.895749,0.000011,1.025907,501.281403,16342.119141
183,11.621707,11.895749,0.000011,1.021267,503.786316,16260.862305
184,11.653721,11.895749,0.000012,1.011243,496.339569,16504.830078
185,11.591533,11.895749,0.000012,1.056933,496.178619,16510.183594
186,11.613373,11.895749,0.000012,1.052791,493.654327,16594.607422
187,11.641597,11.895749,0.000012,0.951993,490.757843,16692.550781
188,11.632740,11.895749,0.000012,0.878438,495.289734,16539.814453
189,11.613517,11.895749,0.000012,1.235591,489.925842,16720.898438
190,11.582393,11.895749,0.000012,0.997664,501.850555,16323.584961
191,11.544357,11.895749,0.000012,1.002280,491.555725,16665.455078
192,11.553458,11.895749,0.000012,1.026211,491.768616,16658.240234
193,11.596002,11.895749,0.000012,0.988974,486.844879,16826.714844
194,11.545454,11.895749,0.000012,0.966091,492.977295,16617.398438
195,11.599184,11.895749,0.000012,1.023908,510.972443,16032.175781
196,11.526844,11.895749,0.000012,1.094467,503.361176,16274.596680
197,11.528473,11.895749,0.000012,1.084088,500.750122,16359.457031
198,11.527879,11.895749,0.000012,1.057871,500.927399,16353.667969
199,11.524084,11.895749,0.000012,1.028604,499.320160,16406.308594
200,11.454830,11.523303,0.000013,1.152615,4032.368652,2031.560303
201,11.456408,11.523303,0.000013,1.251952,505.113861,16218.125977
202,11.512738,11.523303,0.000013,1.271013,499.780182,16391.207031
203,11.492017,11.523303,0.000013,1.082816,508.492004,16110.381836
204,11.588953,11.523303,0.000013,1.109466,511.530548,16014.684570
205,11.577106,11.523303,0.000013,1.126949,497.222504,16475.521484
206,11.581000,11.523303,0.000013,1.118549,502.862762,16290.727539
207,11.528289,11.523303,0.000013,1.074554,503.188629,16280.177734
208,11.494724,11.523303,0.000013,0.981324,499.604462,16396.970703
209,11.548996,11.523303,0.000013,1.029632,502.006866,16318.500977
210,11.479633,11.523303,0.000013,1.004021,501.347382,16339.968750
211,11.465209,11.523303,0.000013,1.070534,498.601868,16429.943359
212,11.539705,11.523303,0.000013,1.166126,511.151703,16026.552734
213,11.486448,11.523303,0.000013,0.992760,510.308807,16053.025391
214,11.501479,11.523303,0.000013,1.073379,497.201080,16476.230469
215,11.420856,11.523303,0.000013,1.073100,501.002136,16351.227539
216,11.456354,11.523303,0.000014,1.066514,499.363068,16404.898438
217,11.448871,11.523303,0.000014,1.034369,510.010559,16062.413086
218,11.400230,11.523303,0.000014,1.132336,491.869934,16654.810547
219,11.406860,11.523303,0.000014,1.082219,500.548157,16366.056641
220,11.443601,11.523303,0.000014,1.311174,493.866394,16587.482422
221,11.402636,11.523303,0.000014,1.145400,510.363159,16051.315430
222,11.429566,11.523303,0.000014,1.079362,500.744568,16359.637695
223,11.449647,11.523303,0.000014,1.089018,494.471313,16567.189453
224,11.454559,11.523303,0.000014,1.039989,491.438385,16669.433594
225,11.415987,11.523303,0.000014,1.111622,493.898712,16586.396484
226,11.375937,11.523303,0.000014,1.092789,499.081787,16414.142578
227,11.364120,11.523303,0.000014,1.355202,500.983002,16351.852539
228,11.422237,11.523303,0.000014,0.980517,505.049194,16220.203125
229,11.425937,11.523303,0.000014,1.071501,516.269958,15867.666992
230,11.378126,11.523303,0.000014,1.099760,521.813416,15699.098633
231,11.386692,11.523303,0.000014,1.047523,501.584778,16332.234375
232,11.363164,11.523303,0.000015,1.128541,491.398682,16670.781250
233,11.408854,11.523303,0.000015,1.055784,491.033020,16683.195312
234,11.370481,11.523303,0.000015,1.000850,505.395142,16209.100586
235,11.339068,11.523303,0.000015,1.011781,496.692535,16493.101562
236,11.351711,11.523303,0.000015,1.058147,495.277863,16540.210938
237,11.311932,11.523303,0.000015,1.116643,503.599579,16266.891602
238,11.321585,11.523303,0.000015,1.085369,503.754761,16261.881836
239,11.359941,11.523303,0.000015,1.031059,497.908966,16452.806641
240,11.335664,11.523303,0.000015,1.016321,495.373932,16537.001953
241,11.323026,11.523303,0.000015,0.996788,504.790710,16228.507812
242,11.225251,11.523303,0.000015,1.178792,501.023682,16350.523438
243,11.327205,11.523303,0.000015,1.186616,496.164642,16510.648438
244,11.351822,11.523303,0.000015,1.377795,492.395386,16637.037109
245,11.332154,11.523303,0.000015,1.167267,490.944611,16686.199219
246,11.276783,11.523303,0.000015,1.133175,504.748779,16229.856445
247,11.263710,11.523303,0.000015,1.126027,505.789215,16196.469727
248,11.207408,11.523303,0.000016,1.085268,502.540222,16301.182617
249,11.277760,11.523303,0.000016,1.030391,506.532867,16172.692383
250,11.240934,11.523303,0.000016,1.116639,500.583496,16364.903320
251,11.215914,11.523303,0.000016,1.061662,506.823059,16163.431641
252,11.319573,11.523303,0.000016,0.970452,501.028015,16350.383789
253,11.231979,11.523303,0.000016,1.084035,501.712738,16328.068359
254,11.201276,11.523303,0.000016,1.048667,489.586578,16732.484375
255,11.223294,11.523303,0.000016,1.041654,485.859558,16860.839844
256,11.219811,11.523303,0.000016,1.042658,490.698242,16694.578125
257,11.203277,11.523303,0.000016,1.114640,493.423553,16602.369141
258,11.173640,11.523303,0.000016,1.154078,506.974457,16158.604492
259,11.143478,11.523303,0.000016,1.098930,502.088867,16315.837891
260,11.205021,11.523303,0.000016,1.114044,505.916260,16192.403320
261,11.179186,11.523303,0.000016,1.061962,505.619385,16201.910156
262,11.137172,11.523303,0.000016,1.099891,491.745789,16659.013672
263,11.189550,11.523303,0.000016,1.036711,494.085938,16580.111328
264,11.141599,11.523303,0.000017,1.089288,496.139557,16511.482422
265,11.173385,11.523303,0.000017,1.081504,496.514954,16499.000000
266,11.138730,11.523303,0.000017,1.100037,492.211334,16643.257812
267,11.153476,11.523303,0.000017,1.184142,497.959198,16451.146484
268,11.168704,11.523303,0.000017,1.027475,493.489197,16600.160156
269,11.132481,11.523303,0.000017,1.058835,506.318756,16179.531250
270,11.098086,11.523303,0.000017,1.147265,491.699188,16660.593750
271,11.139885,11.523303,0.000017,1.139102,502.987396,16286.690430
272,11.125045,11.523303,0.000017,1.209415,490.539032,16699.996094
273,11.086121,11.523303,0.000017,1.188562,495.120117,16545.480469
274,11.077525,11.523303,0.000017,1.094464,491.016846,16683.746094
275,11.109044,11.523303,0.000017,1.103999,497.902313,16453.027344
276,11.056943,11.523303,0.000017,1.132315,499.153778,16411.775391
277,11.164886,11.523303,0.000017,1.204706,500.156555,16378.871094
278,11.065782,11.523303,0.000017,1.186938,500.978882,16351.986328
279,11.085080,11.523303,0.000017,1.149998,487.743073,16795.728516
280,11.021065,11.523303,0.000018,1.157011,488.912628,16755.548828
281,11.040344,11.523303,0.000018,1.095076,491.791412,16657.468750
282,11.027892,11.523303,0.000018,1.221050,491.977295,16651.173828
283,11.021559,11.523303,0.000018,1.137014,489.197815,16745.781250
284,11.017036,11.523303,0.000018,1.099407,490.125458,16714.087891
285,11.095492,11.523303,0.000018,1.082969,492.471802,16634.455078
286,11.075823,11.523303,0.000018,1.122861,493.363800,16604.380859
287,10.984796,11.523303,0.000018,1.125864,494.433167,16568.468750
288,10.996615,11.523303,0.000018,1.093586,487.984436,16787.419922
289,11.019067,11.523303,0.000018,1.133311,495.666290,16527.248047
290,10.950376,11.523303,0.000018,1.108418,491.022522,16683.552734
291,11.074142,11.523303,0.000018,1.148253,503.285370,16277.048828
292,10.993169,11.523303,0.000018,1.104667,492.386658,16637.330078
293,10.942022,11.523303,0.000018,1.151934,488.452820,16771.322266
294,10.931903,11.523303,0.000018,1.120662,501.322021,16340.793945
295,10.974549,11.523303,0.000018,1.155955,499.328735,16406.025391
296,10.952261,11.523303,0.000019,1.113671,487.944031,16788.810547
297,10.905889,11.523303,0.000019,1.155056,491.788849,16657.556641
298,10.924744,11.523303,0.000019,1.206994,497.860229,16454.417969
299,10.910794,11.523303,0.000019,1.114614,499.231537,16409.218750
300,10.951910,10.906229,0.000019,1.085247,3944.686523,2076.717773
301,10.894749,10.906229,0.000019,1.150478,505.330170,16211.183594
302,10.826248,10.906229,0.000019,1.197876,498.115082,16445.998047
303,10.881155,10.906229,0.000019,1.147899,495.903259,16519.351562
304,10.834946,10.906229,0.000019,1.459231,503.914825,16256.715820
305,10.799422,10.906229,0.000019,1.157550,489.032104,16751.457031
306,10.852647,10.906229,0.000019,1.128783,490.163300,16712.796875
307,10.855150,10.906229,0.000019,1.164298,491.564453,16665.160156
308,10.848995,10.906229,0.000019,1.121147,491.884552,16654.314453
309,10.868366,10.906229,0.000019,1.247151,487.707001,16796.970703
310,10.771128,10.906229,0.000019,1.169644,500.394012,16371.099609
311,10.815830,10.906229,0.000019,1.148319,489.138031,16747.828125
312,10.778703,10.906229,0.000020,1.209213,495.393646,16536.345703
313,10.852181,10.906229,0.000020,1.102804,491.391205,16671.035156
314,10.816292,10.906229,0.000020,1.121693,490.698212,16694.578125
315,10.782713,10.906229,0.000020,1.094083,495.084778,16546.660156
316,10.664446,10.906229,0.000020,1.390059,501.501068,16334.959961
317,10.603072,10.906229,0.000020,1.504207,488.621124,16765.546875
318,10.752886,10.906229,0.000020,1.168799,490.512695,16700.892578
319,10.769690,10.906229,0.000020,1.191655,493.349670,16604.855469
320,10.727191,10.906229,0.000020,1.186951,486.591034,16835.492188
321,10.651175,10.906229,0.000020,1.430667,493.692261,16593.333984
322,10.659181,10.906229,0.000020,1.255738,491.570862,16664.941406
323,10.701955,10.906229,0.000020,1.122427,501.310181,16341.180664
324,10.752693,10.906229,0.000020,1.119543,502.577850,16299.962891
325,10.720466,10.906229,0.000020,1.126982,498.614868,16429.513672
326,10.687891,10.906229,0.000020,1.174122,488.195343,16780.167969
327,10.650393,10.906229,0.000020,1.255980,501.663361,16329.674805
328,10.720466,10.906229,0.000021,1.150083,503.274658,16277.393555
329,10.664475,10.906229,0.000021,1.198121,497.508209,16466.060547
330,10.625691,10.906229,0.000021,1.245385,487.906189,16790.113281
331,10.642023,10.906229,0.000021,1.156442,498.732697,16425.632812
332,10.699288,10.906229,0.000021,1.158579,491.066162,16682.070312
333,10.640203,10.906229,0.000021,1.202505,496.790375,16489.851562
334,10.603679,10.906229,0.000021,1.310423,503.716736,16263.109375
335,10.516369,10.906229,0.000021,1.401733,499.953369,16385.529297
336,10.607219,10.906229,0.000021,1.235505,501.305664,16341.328125
337,10.613014,10.906229,0.000021,1.169401,500.351868,16372.478516
338,10.594011,10.906229,0.000021,1.203312,505.027893,16220.886719
339,10.596082,10.906229,0.000021,1.267713,494.137329,16578.386719
340,10.545733,10.906229,0.000021,1.334979,494.025513,16582.140625
341,10.568259,10.906229,0.000021,1.249862,491.680389,16661.230469
342,10.558259,10.906229,0.000021,1.244026,492.724548,16625.921875
343,10.555026,10.906229,0.000021,1.220269,509.023468,16093.559570
344,10.596807,10.906229,0.000022,1.185120,501.662872,16329.692383
345,10.516210,10.906229,0.000022,1.210479,502.388062,16306.120117
346,10.492871,10.906229,0.000022,1.233253,501.875702,16322.766602
347,10.438071,10.906229,0.000022,1.616257,506.194122,16183.514648
348,10.530303,10.906229,0.000022,1.378263,503.573334,16267.739258
349,10.534020,10.906229,0.000022,1.184663,499.214050,16409.794922
350,10.550954,10.906229,0.000022,1.150681,495.568085,16530.523438
351,10.571309,10.906229,0.000022,1.097396,497.438293,16468.375000
352,10.548022,10.906229,0.000022,1.148174,486.989807,16821.707031
353,10.468214,10.906229,0.000022,1.198295,493.691742,16593.349609
354,10.543312,10.906229,0.000022,1.140894,488.516693,16769.130859
355,10.488861,10.906229,0.000022,1.185585,491.178772,16678.244141
356,10.415914,10.906229,0.000022,1.291167,490.563507,16699.162109
357,10.415452,10.906229,0.000022,1.241364,492.718140,16626.138672
358,10.456416,10.906229,0.000022,1.220726,490.970642,16685.314453
359,10.490530,10.906229,0.000022,1.175650,500.070496,16381.689453
360,10.444824,10.906229,0.000023,1.278548,489.259583,16743.667969
361,10.532640,10.906229,0.000023,1.227178,494.852875,16554.416016
362,10.445218,10.906229,0.000023,1.220100,504.619446,16234.016602
363,10.302135,10.906229,0.000023,1.395324,491.407074,16670.496094
364,10.388206,10.906229,0.000023,1.306839,491.870270,16654.796875
365,10.383334,10.906229,0.000023,1.244464,489.711823,16728.205078
366,10.415715,10.906229,0.000023,1.203087,489.895294,16721.941406
367,10.337085,10.906229,0.000023,1.309798,494.155853,16577.765625
368,10.645967,10.906229,0.000023,1.235636,490.159912,16712.914062
369,10.460812,10.906229,0.000023,1.284542,492.706940,16626.515625
370,10.341066,10.906229,0.000023,1.268889,487.340576,16809.599609
371,10.419301,10.906229,0.000023,1.232443,493.788574,16590.095703
372,10.397068,10.906229,0.000023,1.377566,489.813141,16724.744141
