step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,11.372519,-1,0.000120,0.000000,871.211983,9402.992796
1,11.372512,-1,0.000240,0.000000,710.501725,11529.880522
2,11.372496,-1,0.000360,0.000000,723.358821,11324.946572
3,11.372275,-1,0.000480,0.000000,709.519448,11545.842786
4,11.372155,-1,0.000600,0.000000,711.869051,11507.734447
5,11.372042,-1,0.000600,0.000000,721.623926,11352.173487
6,11.371892,-1,0.000599,0.000000,724.941264,11300.225835
7,11.371923,-1,0.000597,0.000000,721.644992,11351.842098
8,11.371835,-1,0.000594,0.000000,721.472182,11354.561138
9,11.371533,-1,0.000590,0.000000,725.273862,11295.043747
10,11.371692,-1,0.000584,0.000000,722.611145,11336.664341
11,11.371517,-1,0.000577,0.000000,728.641615,11242.838497
12,11.371122,-1,0.000568,0.000000,731.952907,11191.976863
13,11.371260,-1,0.000559,0.000000,733.581910,11167.123791
14,11.371086,-1,0.000548,0.000000,732.501520,11183.594541
15,11.370953,-1,0.000537,0.000000,733.744502,11164.649245
16,11.370769,-1,0.000524,0.000000,732.976233,11176.351471
17,11.370650,-1,0.000511,0.000000,731.883292,11193.041417
18,11.370377,-1,0.000496,0.000000,734.932606,11146.600291
19,11.370639,-1,0.000481,0.000000,730.129003,11219.935061
20,11.370573,-1,0.000465,0.000000,729.908087,11223.330918
21,11.370245,-1,0.000448,0.000000,733.301447,11171.394838
22,11.370070,-1,0.000431,0.000000,732.556791,11182.750745
23,11.370156,-1,0.000413,0.000000,732.592168,11182.210728
