Step    Loss           Time (ms)         Tokens/sec          
211     7.522141       12219             654.72              
212     7.510441       12219             654.72              
213     7.508034       11931             670.52              
214     7.510873       12211             655.15              
215     7.528544       12099             661.21              
216     7.507418       12025             665.28              
217     7.509472       12196             655.95              
218     7.531032       12129             659.58              
219     7.534600       12060             663.35              
220     7.519031       12249             653.11              
221     7.538758       12128             659.63              
222     7.522275       12026             665.23              
223     7.521661       12245             653.33              
224     7.520397       11948             669.57              
225     7.524458       12245             653.33              
226     7.530568       12228             654.24              
227     7.526352       11932             670.47              
228     7.514306       12244             653.38              
229     7.534887       12209             655.25              
230     7.519933       11934             670.35              
231     7.518754       12213             655.04              
232     7.507557       12213             655.04              
233     7.530130       11939             670.07              
234     7.513348       12234             653.92              
235     7.530640       12232             654.02              
236     7.509254       11948             669.57              
237     7.528191       12234             653.92              
238     7.516185       12264             652.32              
239     7.516650       11922             671.03              
240     7.522263       12208             655.31              
241     7.504773       12223             654.50              
242     7.507689       11950             669.46              
243     7.534424       12202             655.63              
244     7.558319       12206             655.42              
245     7.531465       11958             669.01              
246     7.513629       12245             653.33              
247     7.541960       12206             655.42              
248     7.528276       11957             669.06              
249     7.510735       12176             657.03              
250     7.499196       12224             654.45              
251     7.528345       11928             670.69              
252     7.534260       12226             654.34              
253     7.514352       12217             654.83              
254     7.526465       11944             669.79              
255     7.535499       12213             655.04              
256     7.514684       12241             653.54              
257     7.513756       11954             669.23              
258     7.520865       12202             655.63              
259     7.524800       12206             655.42              
260     7.513081       11955             669.18              
261     7.497673       12177             656.98              
262     7.516124       12128             659.63              
263     7.509652       12054             663.68              
264     7.511605       12232             654.02              
265     7.522310       12136             659.20              
266     7.504817       12056             663.57              
267     7.509985       12235             653.86              
268     7.529567       11939             670.07              
269     7.537917       12257             652.69              
270     7.534548       12239             653.65              
271     7.539491       11928             670.69              
272     7.519292       12208             655.31              
273     7.530228       12236             653.81              
274     7.520105       11957             669.06              
275     7.516558       12224             654.45              
276     7.526041       12205             655.47              
277     7.516778       11932             670.47              
278     7.517528       12208             655.31              
279     7.525986       12221             654.61              
280     7.520575       11953             669.29              
281     7.531701       12204             655.52              
282     7.510696       12242             653.49              
283     7.522050       11934             670.35              
284     7.513815       12198             655.85              
285     7.515385       12193             656.11              
286     7.518563       11952             669.34              
287     7.528266       12200             655.74              
288     7.501983       12260             652.53              
289     7.507442       11911             671.65              
290     7.531242       12246             653.27              
291     7.516036       12207             655.36              
292     7.536583       11948             669.57              
293     7.536766       12233             653.97              
294     7.537162       12248             653.17              
295     7.531574       11935             670.30              
296     7.538697       12205             655.47              
297     7.536565       12203             655.58              
298     7.523785       11969             668.39              
299     7.515794       12212             655.09              
300     7.528064       12184             656.60              
301     7.515333       11958             669.01              
302     7.505183       12226             654.34              
303     7.532473       12123             659.90              
304     7.512481       12009             666.17              
305     7.522606       12217             654.83              
306     7.529871       11938             670.13              
307     7.522335       12235             653.86              
308     7.531385       12251             653.01              
309     7.579836       11950             669.46              
310     7.567315       12202             655.63              
311     7.526494       12239             653.65              
312     7.521367       11942             669.90              
313     7.514092       12204             655.52              
314     7.505317       12248             653.17              
315     7.515314       11938             670.13              
316     7.520863       12183             656.65              
317     7.514816       12213             655.04              
318     7.479978       11917             671.31              
319     7.492369       12213             655.04              
320     7.511928       12233             653.97              
321     7.498454       11951             669.40              
322     7.502742       12235             653.86              
323     7.516810       12232             654.02              
324     7.512992       11913             671.54              
325     7.510952       12247             653.22              
326     7.533482       12203             655.58              
327     7.514345       11960             668.90              
328     7.521307       12251             653.01              
329     7.531724       12204             655.52              
330     7.530517       11926             670.80              
331     7.536397       12216             654.88              
332     7.529084       12237             653.76              
333     7.525586       11928             670.69              
334     7.520543       12210             655.20              
335     7.533998       12229             654.18              
336     7.510212       11943             669.85              
337     7.524127       12243             653.43              
338     7.496218       12139             659.03              
339     7.515851       12026             665.23              
340     7.518094       12208             655.31              
341     7.502154       12133             659.36              
342     7.516539       12030             665.00              
343     7.497934       12242             653.49              
344     7.499086       12143             658.82              
345     7.500471       12049             663.96              
346     7.504301       12243             653.43              
347     7.517927       12134             659.30              
348     7.510912       12060             663.35              
349     7.542851       12200             655.74              
350     7.534951       12096             661.38              
351     7.496722       12040             664.45              
352     7.530893       12209             655.25              
353     7.512332       11931             670.52              
354     7.500753       12222             654.56              
355     7.524161       12225             654.40              
356     7.532359       11947             669.62              
357     7.540716       12229             654.18              
358     7.521764       12254             652.85              
359     7.532212       11936             670.24              
360     7.531522       12250             653.06              
361     7.483986       12241             653.54              
362     7.507882       11938             670.13              
363     7.514762       12251             653.01              
364     7.501580       12254             652.85              
365     7.521763       11934             670.35              
366     7.505565       12221             654.61              
367     7.500195       12221             654.61              
368     7.511359       11930             670.58              
369     7.503056       12203             655.58              
370     7.479420       12198             655.85              
371     7.529914       11948             669.57              
372     7.505904       12199             655.79              
373     7.537840       12199             655.79              
374     7.515951       11948             669.57              
375     7.511024       12239             653.65              
376     7.523265       12224             654.45              
377     7.514480       11914             671.48              
378     7.518770       12231             654.08              
379     7.524704       12207             655.36              
380     7.540556       11952             669.34              
381     7.519239       12209             655.25              
382     7.543577       12250             653.06              
383     7.529408       11940             670.02              
384     7.521506       12207             655.36              
385     7.507198       12230             654.13              
386     7.533096       11949             669.51              
387     7.485533       12236             653.81              
388     7.508800       12187             656.44              
389     7.526364       11958             669.01              
390     7.511497       12238             653.70              
391     7.509772       12119             660.12              
392     7.518596       11988             667.33              
393     7.505463       12207             655.36              
394     7.498415       12104             660.94              
395     7.514857       12039             664.51              
396     7.502018       12239             653.65              
397     7.501769       11924             670.92              
398     7.530990       12244             653.38              
399     7.512524       12208             655.31              
400     7.509005       11930             670.58              
401     7.510211       12211             655.15              
402     7.507392       12243             653.43              
403     7.523291       11943             669.85              
404     7.518042       12180             656.81              
405     7.516108       12192             656.17              
406     7.526329       11931             670.52              
407     7.534644       12245             653.33              
408     7.534629       12240             653.59              
409     7.503706       11932             670.47              
410     7.503246       12211             655.15              
411     7.534862       12225             654.40              
412     7.535700       11937             670.19              
413     7.522180       12235             653.86              
414     7.497640       12217             654.83              
415     7.495886       11959             668.95              
416     7.513927       12229             654.18              
417     7.507842       12230             654.13              
418     7.494699       11950             669.46              
419     7.519119       12186             656.49              
420     7.512664       12193             656.11              
421     7.502679       11930             670.58              
422     7.526267       12245             653.33              
423     7.537871       12212             655.09              
424     7.521301       11930             670.58              
425     7.517701       12215             654.93              
426     7.511221       12233             653.97              
427     7.514627       11921             671.08              
