Step    Loss           Time (ms)         Tokens/sec          
929     7.525567       11669             685.58              
930     7.524345       11675             685.22              
931     7.534262       11669             685.58              
932     7.532230       11668             685.64              
933     7.516425       11667             685.69              
934     7.516809       11672             685.40              
935     7.537475       11674             685.28              
936     7.507139       11672             685.40              
937     7.518912       11668             685.64              
938     7.493576       11669             685.58              
939     7.511998       11675             685.22              
940     7.517897       11677             685.11              
941     7.498650       11672             685.40              
942     7.512754       12489             640.56              
943     7.498419       11736             681.66              
944     7.494792       11864             674.31              
945     7.502209       12097             661.32              
946     7.498801       11865             674.25              
947     7.511530       11967             668.51              
948     7.512265       11743             681.26              
949     7.543535       11859             674.59              
950     7.524553       11693             684.17              
951     7.494455       11696             683.99              
952     7.524469       11939             670.07              
953     7.508981       12080             662.25              
954     7.500314       12110             660.61              
955     7.519442       11770             679.69              
956     7.524534       12576             636.13              
957     7.543817       12716             629.13              
958     7.518724       12590             635.42              
959     7.532770       12279             651.52              
960     7.519808       12188             656.38              
961     7.482272       12215             654.93              
962     7.498945       12166             657.57              
963     7.512872       12290             650.94              
964     7.500394       12184             656.60              
965     7.517924       12236             653.81              
966     7.508609       12193             656.11              
967     7.487915       12480             641.03              
968     7.511058       20656             387.30              
969     7.499541       21233             376.77              
970     7.479681       12183             656.65              
971     7.527080       12933             618.57              
972     7.502007       12467             641.69              
973     7.530250       12419             644.17              
974     7.513150       12130             659.52              
975     7.508469       12152             658.33              
976     7.520412       12137             659.14              
977     7.510515       12184             656.60              
978     7.513557       12339             648.35              
979     7.521269       12506             639.69              
980     7.533179       12552             637.35              
981     7.522366       12450             642.57              
982     7.536659       12272             651.89              
983     7.521351       12312             649.77              
984     7.519248       12504             639.80              
985     7.504765       12516             639.18              
986     7.521312       12585             635.68              
987     7.485578       12477             641.18              
988     7.505305       12531             638.42              
989     7.520695       12413             644.49              
990     7.508290       12209             655.25              
991     7.507476       12109             660.67              
992     7.513075       12152             658.33              
993     7.501214       12129             659.58              
994     7.499694       12259             652.58              
995     7.509062       12116             660.28              
996     7.493745       12082             662.14              
997     7.502909       12231             654.08              
998     7.529148       12197             655.90              
999     7.508297       12197             655.90              
