step,loss,lr,norm,dt_ms,tok_sec
268,7.074554,0.000999,0.586461,1084.082520,7556.620605
269,7.218799,0.000999,0.482139,1081.280884,7576.200195
270,6.957048,0.000998,0.939346,1087.730835,7531.274414
271,6.940127,0.000998,0.661655,1089.712158,7517.581543
272,6.874420,0.000998,0.660236,1083.661499,7559.555664
273,6.785351,0.000998,0.402554,1081.714233,7573.164551
274,6.988093,0.000998,0.565977,1081.143066,7577.166016
275,7.151794,0.000998,0.484763,1084.206665,7555.754883
276,7.066316,0.000998,0.424263,1089.041748,7522.209473
277,6.889629,0.000998,0.516141,1086.874878,7537.206543
278,6.861892,0.000998,0.542319,1088.267090,7527.563965
279,7.097434,0.000998,0.678485,1085.843506,7544.364746
280,7.235813,0.000998,0.633787,1080.731934,7580.047852
281,6.661079,0.000998,0.469538,1087.626465,7531.997559
282,7.044408,0.000998,0.443601,1088.820923,7523.734863
283,7.348034,0.000998,0.490420,1093.242554,7493.305176
284,7.003207,0.000998,0.676676,1097.877563,7461.669434
285,6.624989,0.000998,0.488030,1087.135010,7535.402832
286,7.187239,0.000998,0.488497,1089.482788,7519.164062
287,7.068484,0.000998,0.561094,1087.342285,7533.966309
288,7.168120,0.000998,0.442803,1088.874878,7523.361816
289,7.224869,0.000998,0.413544,1089.874146,7516.464355
290,6.853422,0.000998,0.508704,1088.986938,7522.587402
291,7.019260,0.000998,0.540966,1088.684937,7524.674805
292,6.631123,0.000998,0.446753,1078.316162,7597.029297
293,6.761392,0.000998,0.504243,1068.399170,7667.545898
294,7.202884,0.000998,0.593624,1084.255615,7555.414062
295,7.173239,0.000998,0.672630,1083.134766,7563.232422
296,6.945063,0.000998,0.542631,1082.860718,7565.146484
297,6.665917,0.000998,0.817095,1089.320923,7520.281738
298,6.920672,0.000998,0.440777,1084.002930,7557.174805
299,7.161340,0.000998,0.689847,1100.903442,7441.161621
300,7.015776,0.000998,0.679478,1090.641113,7511.178223
301,7.100167,0.000998,0.544882,1097.105835,7466.918457
302,6.406673,0.000998,0.752712,1083.908569,7557.833008
303,6.501355,0.000998,0.619595,1087.853882,7530.422852
304,6.851491,0.000998,0.494046,1091.090210,7508.086914
305,6.741726,0.000998,0.636315,1088.186646,7528.120605
306,6.978500,0.000998,0.612949,1081.325317,7575.888672
307,6.853144,0.000998,0.421188,1088.145264,7528.406738
308,6.736807,0.000998,0.614685,1092.756958,7496.634766
309,6.788081,0.000998,0.458941,1091.401855,7505.943359
310,6.756445,0.000998,0.761351,1097.054932,7467.265137
311,6.821836,0.000998,0.582121,1100.261353,7445.503906
312,6.958400,0.000998,0.448696,1082.011353,7571.084961
313,7.389431,0.000998,0.595111,1094.979370,7481.419434
314,7.158764,0.000998,0.527974,1072.441895,7638.642090
315,6.788958,0.000998,0.810511,1085.200928,7548.832520
316,6.898517,0.000998,0.626942,1087.158447,7535.240234
317,7.349710,0.000998,0.734001,1083.782227,7558.714355
318,7.301236,0.000998,0.696616,1090.362549,7513.097168
319,6.945108,0.000998,0.637953,1084.559082,7553.299805
320,6.916948,0.000998,0.538893,1090.844238,7509.779297
321,7.187725,0.000998,0.768968,1087.791260,7530.856934
322,7.304193,0.000998,1.015339,1083.182983,7562.895996
323,7.456847,0.000998,0.590346,1083.922974,7557.732422
324,6.961531,0.000998,0.426468,1084.164062,7556.052246
325,6.847342,0.000998,0.587006,1089.224609,7520.946777
326,6.782542,0.000998,0.651681,1071.012695,7648.835449
327,7.012593,0.000998,0.508401,1084.339233,7554.831055
328,7.020267,0.000998,0.491678,1109.199463,7385.506836
329,6.763268,0.000998,0.453792,1100.502441,7443.872070
330,6.794962,0.000998,0.565135,1081.772217,7572.758789
331,6.860963,0.000998,0.455446,1092.691406,7497.084473
332,7.401917,0.000998,0.648428,1089.635376,7518.111328
333,6.951843,0.000998,0.526856,1090.189697,7514.288574
334,6.813334,0.000998,0.631971,1090.082397,7515.028320
335,7.631173,0.000998,0.995603,1090.147583,7514.578613
336,7.934704,0.000998,1.166892,1093.170532,7493.798828
337,8.034551,0.000998,1.067891,1082.796143,7565.598145
338,7.136153,0.000998,1.050116,1076.048340,7613.040527
339,6.673762,0.000998,0.906934,1090.041992,7515.306641
340,7.304039,0.000998,0.632106,1091.189209,7507.405273
341,6.967944,0.000998,0.804106,1082.912842,7564.782715
342,6.684486,0.000998,0.881555,1087.535156,7532.630371
343,6.961636,0.000998,0.674883,1089.838257,7516.711426
344,7.279877,0.000998,0.679526,1096.137207,7473.517090
345,6.896690,0.000998,0.683902,1090.276489,7513.690430
346,6.557380,0.000997,0.840024,1091.809570,7503.140137
347,6.948492,0.000997,0.616968,1083.196167,7562.803711
