step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
28,10.229506,-1.000000,0.000026,2.682634,2493.975984,26277.718960
29,10.217881,-1.000000,0.000027,2.611390,2499.462405,26220.038305
30,10.174204,-1.000000,0.000028,2.721843,2514.219625,26066.139707
31,10.196073,-1.000000,0.000028,2.567101,2490.496040,26314.436541
32,10.155101,-1.000000,0.000029,2.603042,2512.451130,26084.487462
33,10.124211,-1.000000,0.000030,2.621606,2544.179819,25759.185538
34,10.107624,-1.000000,0.000031,2.635423,2534.997555,25852.490418
35,10.098939,-1.000000,0.000032,2.617466,2547.208489,25728.557471
36,10.084024,-1.000000,0.000033,2.597072,2474.531645,26484.203640
37,10.051303,-1.000000,0.000034,2.628664,2491.256338,26306.405728
38,10.022440,-1.000000,0.000035,2.658567,2459.310804,26648.116169
39,9.994831,-1.000000,0.000036,2.689033,2506.536747,26146.035991
40,9.977518,-1.000000,0.000036,2.682394,2509.118654,26119.131471
41,9.972411,-1.000000,0.000037,2.676911,2520.570788,26000.460020
42,9.924801,-1.000000,0.000038,2.723166,2449.040700,26759.865608
43,9.924120,-1.000000,0.000039,2.710437,2454.805697,26697.021308
44,9.923927,-1.000000,0.000040,2.648413,2452.853736,26718.266580
45,9.874657,-1.000000,0.000041,2.717125,2451.189844,26736.403205
46,9.907303,-1.000000,0.000042,2.662518,2465.375917,26582.558687
47,9.873629,-1.000000,0.000043,2.657931,2471.813280,26513.329518
48,9.829510,-1.000000,0.000043,2.704630,2490.610549,26313.226701
49,9.880365,-1.000000,0.000044,2.638834,2522.413672,25981.463995
50,9.765879,-1.000000,0.000045,2.726071,2542.849242,25772.664347
51,9.730386,-1.000000,0.000046,2.775900,2482.725310,26396.798605
52,9.755377,-1.000000,0.000047,2.642983,2575.737454,25443.587000
53,9.723985,-1.000000,0.000048,2.709079,2502.931393,26183.698116
54,9.692030,-1.000000,0.000049,2.693827,2530.919918,25894.142100
55,9.684104,-1.000000,0.000050,2.655520,2487.404073,26347.146695
56,9.662675,-1.000000,0.000051,2.663393,2441.042619,26847.544361
57,9.640516,-1.000000,0.000051,2.688015,2501.608533,26197.544154
58,9.598465,-1.000000,0.000052,2.717864,2562.254063,25577.479199
59,9.618341,-1.000000,0.000053,2.609422,2438.895455,26871.180503
60,9.544864,-1.000000,0.000054,2.684291,2445.265826,26801.176094
61,9.506332,-1.000000,0.000055,2.703151,2455.219150,26692.525594
62,9.498288,-1.000000,0.000056,2.683141,2495.610328,26260.510010
63,9.504947,-1.000000,0.000057,2.603886,2492.820672,26289.897519
64,9.437741,-1.000000,0.000058,2.683995,2450.697471,26741.774852
65,9.438229,-1.000000,0.000059,2.642396,2449.823678,26751.312998
66,9.379838,-1.000000,0.000059,2.671220,2445.107838,26802.907823
67,9.336395,-1.000000,0.000060,2.733597,2444.482326,26809.766347
68,9.340105,-1.000000,0.000061,2.637441,2451.549315,26732.482842
69,9.300107,-1.000000,0.000062,2.659143,2480.392802,26421.621586
70,9.317383,-1.000000,0.000063,2.610049,2458.298407,26659.090619
71,9.248250,-1.000000,0.000064,2.669065,2445.530296,26798.277702
72,9.211000,-1.000000,0.000065,2.622983,2447.251064,26779.434674
73,9.200371,-1.000000,0.000066,2.617490,2448.732753,26763.230867
74,9.187795,-1.000000,0.000067,2.594139,2447.436898,26777.401311
75,9.132078,-1.000000,0.000067,2.631136,2457.690262,26665.687297
76,9.109110,-1.000000,0.000068,2.641237,2454.909005,26695.897838
77,9.097414,-1.000000,0.000069,2.576837,2443.604653,26819.395650
78,9.056853,-1.000000,0.000070,2.591494,2438.314163,26877.586570
79,9.046675,-1.000000,0.000071,2.554342,2446.024207,26792.866486
80,9.020952,-1.000000,0.000072,2.571484,2450.956653,26738.946982
81,8.963800,-1.000000,0.000073,2.656775,2446.699180,26785.475115
82,8.946819,-1.000000,0.000074,2.610764,2447.978287,26771.479285
83,8.902054,-1.000000,0.000075,2.599883,2446.257453,26790.311837
84,8.902515,-1.000000,0.000075,2.585747,2446.096998,26792.069184
