step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_attn, timer_mlp, timer_ln_f, timer_lm_head
0,10.902611,10.900146,0.000003,1.301325,4817.625488,13603.382031,0.246784,1018.507988,39.970720,880.309982,36.738785,2.529760,2.301248,2.968288,617.082207,117.897407,2.910080,266.533661
1,10.899361,-1.000000,0.000007,2.304039,2021.359741,32421.740012,0.094400,1017.309311,41.444961,899.502548,36.570271,1.929312,2.310304,2.967040,617.336962,117.613343,2.919648,266.356476
2,10.887001,-1.000000,0.000010,2.369974,2015.164429,32521.415655,0.079648,1018.114716,40.216129,894.214142,36.375423,1.919072,2.424352,2.958752,616.507906,118.264289,2.915488,266.756699
3,10.868403,-1.000000,0.000014,2.309495,2014.534912,32531.578185,0.095104,1017.847221,40.341696,894.148712,36.369728,1.916864,2.307296,3.107168,618.011391,117.238367,2.917504,266.486912
4,10.847382,-1.000000,0.000017,2.297974,2022.744629,32399.542218,0.089056,1020.839661,40.355008,899.142647,36.373314,1.915104,2.300960,2.964192,619.250589,117.643584,3.274688,266.615200
5,10.817085,-1.000000,0.000021,2.333207,2011.594360,32579.132897,0.087584,1014.383324,40.797632,893.188446,36.539551,1.925952,2.301632,2.963456,614.323586,117.510336,2.915008,266.611546
6,10.783197,-1.000000,0.000024,2.313539,2020.154297,32441.086357,0.084544,1021.534019,41.145344,894.655487,36.713024,1.924832,2.321280,3.679520,616.783134,117.965504,2.917824,270.028702
7,10.752094,-1.000000,0.000028,2.281896,2023.190186,32392.407035,0.094144,1018.521362,40.924800,894.917656,37.112961,1.920224,2.303648,2.964576,617.382303,116.824161,3.056320,268.202660
8,10.707764,-1.000000,0.000031,2.258171,2029.947510,32284.578633,0.093664,1018.743210,40.245664,897.721672,37.123425,1.920672,2.303936,3.686816,616.115137,117.908960,2.920192,267.872128
9,10.661552,-1.000000,0.000034,2.297989,2022.711548,32400.072106,0.103808,1019.203644,41.615615,893.480965,36.545246,1.914112,2.303712,2.970368,618.314398,116.383905,2.921824,268.490524
10,10.620307,-1.000000,0.000038,2.281456,2017.499146,32483.780797,0.090208,1017.790627,40.203552,894.111748,36.717056,1.920736,2.306048,2.966752,616.089380,118.348671,2.914880,266.491100
