step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_attn, timer_mlp, timer_ln_f, timer_lm_head
0,10.901490,10.899659,0.000003,1.280895,4889.705078,13402.853332,0.148960,1049.721115,39.996928,746.043037,68.964096,4.693984,2.289856,2.951488,641.109665,129.632607,2.895264,262.080994
1,10.892388,-1.000000,0.000007,2.291054,1974.901611,33184.437961,0.131040,1046.756897,41.087200,745.883644,69.220924,3.621056,2.295360,2.945248,639.607489,130.468064,2.911712,260.454594
2,10.881713,-1.000000,0.000010,2.366452,1972.856812,33218.832516,0.846816,1047.772583,40.226304,744.304955,68.112480,4.458176,2.276928,2.952288,638.342690,130.490112,2.901472,261.672993
3,10.861395,-1.000000,0.000014,2.283551,1974.666016,33188.397168,0.148736,1049.550049,40.239232,745.941368,68.287071,3.621472,2.288768,2.944192,639.910879,130.783808,2.904832,262.320858
4,10.843285,-1.000000,0.000017,2.286443,1977.675659,33137.890784,0.133984,1051.665726,40.262880,746.567879,68.739326,3.633984,2.294368,2.957312,640.780672,131.027008,2.909440,263.421856
5,10.803063,-1.000000,0.000021,2.328140,1976.664795,33154.837466,0.129152,1049.105331,40.286624,747.210335,69.512413,3.613312,2.294816,2.957152,638.971071,130.764416,2.908160,262.273411
6,10.771185,-1.000000,0.000024,2.299242,1982.077148,33064.303300,0.136704,1052.598145,40.041024,749.405441,69.491135,3.611680,2.298240,2.966144,640.154947,130.881183,2.915648,264.546528
7,10.727754,-1.000000,0.000028,2.269982,1976.447021,33158.490608,0.133440,1048.924255,40.881888,746.380676,68.389053,4.463648,2.296064,2.963424,639.747936,130.491008,2.912320,262.295555
8,10.692794,-1.000000,0.000031,2.245347,1977.682739,33137.772151,0.132256,1050.115921,40.022880,746.941849,68.723709,3.908896,2.423168,3.709280,639.328066,130.559808,2.908160,262.778755
9,10.633164,-1.000000,0.000034,2.287512,1981.302734,33077.226848,0.144096,1051.942001,40.366817,747.570236,68.732193,3.626528,2.289984,2.959456,639.864603,131.222016,2.914368,264.553600
10,10.585134,-1.000000,0.000038,2.290176,1976.644409,33155.179402,0.132096,1048.900558,40.250240,747.697784,68.555389,3.867008,2.309696,2.962560,639.309021,130.727585,2.908544,262.574978
11,10.564882,-1.000000,0.000041,2.198891,1978.459595,33124.760382,0.148992,1049.126007,40.009377,748.643524,68.564224,3.627296,2.301664,2.962336,640.453600,130.674369,2.911264,261.549374
12,10.477862,-1.000000,0.000045,2.346154,1977.756104,33136.542915,0.151072,1051.842789,39.998784,746.296997,69.149597,3.608704,2.300416,2.961280,641.145987,130.816703,3.640672,262.867268
13,10.404959,-1.000000,0.000048,2.401902,1982.091187,33064.069123,0.126656,1051.787247,40.250176,749.648796,70.039421,3.631616,2.296768,2.969152,639.504864,131.187457,2.910144,264.719902
14,10.354646,-1.000000,0.000052,2.446884,1987.116699,32980.448519,0.135392,1055.380157,40.249087,752.083328,69.295647,3.614656,2.302240,2.974528,643.088703,130.280095,2.924896,265.659615
15,10.330646,-1.000000,0.000055,2.383216,1983.843750,33034.859726,0.133216,1051.086304,40.244608,751.525429,69.160736,3.865408,2.318816,2.981216,639.694275,130.571776,2.925760,264.358021
16,10.271885,-1.000000,0.000059,2.423540,1982.800659,33052.238356,0.135072,1050.145554,39.978112,753.320663,69.272003,3.612448,2.311328,2.981184,638.586370,130.406912,2.931744,264.474495
17,10.210581,-1.000000,0.000062,2.501964,1985.264038,33011.226085,0.134016,1051.388885,40.222080,752.892921,68.937950,3.707584,2.310400,2.979264,639.167389,130.632319,2.930336,265.000576
18,10.153451,-1.000000,0.000066,2.562419,1993.280884,32878.457087,0.128672,1051.453537,39.962464,756.039291,73.398979,3.996960,2.298880,2.979840,639.721087,130.415072,2.926432,265.018242
19,10.125611,-1.000000,0.000069,2.560138,2036.744751,32176.835103,0.429472,1077.786758,41.188256,775.619461,69.646942,3.940864,2.443392,2.978080,649.932196,132.290112,2.927744,276.678623
20,10.073593,-1.000000,0.000072,2.571812,2075.960938,31568.994780,0.149376,1106.729324,39.962368,786.964226,70.951874,3.714464,2.316672,4.438048,676.282528,133.923775,3.075264,277.153534
21,10.018513,-1.000000,0.000076,2.626888,1989.763062,32936.584897,0.130560,1053.942474,41.239137,754.528870,68.944481,4.461792,2.305792,2.973760,641.780737,129.889888,2.926272,265.517246
22,9.994596,-1.000000,0.000079,2.601116,1985.857422,33001.362171,0.136960,1052.645325,41.268352,752.691872,68.942818,3.895648,2.301024,2.972288,639.677151,130.728928,2.931200,265.680130
23,9.970852,-1.000000,0.000083,2.551965,1984.543457,33023.212350,0.131136,1052.078903,40.770368,752.451958,69.135811,3.706976,2.297984,2.971040,640.948122,130.499137,3.061600,264.191265
24,9.905928,-1.000000,0.000086,2.613632,1995.009521,32849.968531,0.132032,1054.461227,40.169120,755.749344,72.190369,4.278464,2.305472,2.996672,640.992197,130.910080,2.925568,266.210880
25,9.837486,-1.000000,0.000090,2.732641,2015.802734,32511.117721,0.142944,1062.585693,42.316639,764.333405,74.603615,4.508448,2.300800,2.976448,646.537663,131.360127,2.936096,267.951614
26,9.811069,-1.000000,0.000093,2.615748,2103.411377,31157.005576,0.623616,1122.812317,39.984673,789.910461,73.536194,4.128352,2.306144,3.165600,681.148546,133.078272,2.932928,286.035679
27,9.754142,-1.000000,0.000097,2.704243,2019.427246,32452.766064,0.535936,1076.568817,41.487680,760.805023,68.947838,3.863296,3.315584,3.288896,655.588129,131.466977,2.932512,268.952766
28,9.697523,-1.000000,0.000100,2.706609,1985.343750,33009.900678,0.135456,1052.958221,40.107424,752.026237,69.703812,3.606112,2.307840,2.976608,640.473377,130.698112,2.923904,265.166496
29,9.662584,-1.000000,0.000103,2.653995,1985.309692,33010.466957,0.139072,1052.618301,40.709825,751.596802,69.871231,3.608352,2.315424,2.974560,640.133926,130.065824,2.923072,265.192959
30,9.587843,-1.000000,0.000107,2.751216,1988.354736,32959.913441,0.133632,1054.746780,40.087904,753.109863,69.289886,4.453376,2.305536,2.978976,639.807585,130.927072,3.075552,266.329346
31,9.600737,-1.000000,0.000110,2.607254,1983.799927,33035.589485,0.138880,1051.591293,40.064608,751.471069,68.943489,4.311072,2.304544,3.705376,638.991133,130.896128,2.922592,264.275333
32,9.528974,-1.000000,0.000114,2.647630,1989.002563,32949.178248,0.130016,1053.965302,40.071328,753.732315,69.121758,4.463904,3.044384,2.973568,639.721695,131.096063,3.663040,264.843456
33,9.450486,-1.000000,0.000117,2.670090,1984.637817,33021.642249,0.142272,1052.224045,39.851712,752.522141,68.950142,4.473472,2.311136,2.983456,640.044672,131.160224,2.926848,263.639908
34,9.418312,-1.000000,0.000121,2.672615,1983.056885,33047.967763,0.135520,1050.618042,39.806945,753.077812,69.110657,3.855520,2.302464,2.974368,638.857021,130.634208,2.932768,264.791901
35,9.386036,-1.000000,0.000124,2.655394,1983.408081,33042.116056,0.131104,1052.656754,40.636832,750.888443,68.941826,3.765376,2.310080,3.112448,639.508667,130.960865,2.925472,265.224606
36,9.333752,-1.000000,0.000128,2.620814,1982.742188,33053.213077,0.134240,1051.324417,40.855296,751.000214,69.311523,3.617920,2.302624,2.974432,639.519421,130.272703,2.925600,265.113380
37,9.267365,-1.000000,0.000131,2.646953,1983.644531,33038.177439,0.132544,1053.731323,40.018624,750.373062,69.294846,3.620256,2.307328,2.978528,640.738853,131.057313,2.926752,265.334846
38,9.181527,-1.000000,0.000134,2.657496,1985.024536,33015.209035,0.141792,1053.791763,40.744480,750.093475,69.289024,3.617856,2.297120,2.975296,639.107748,131.721759,2.926240,266.338116
39,9.122066,-1.000000,0.000138,2.683716,1985.481201,33007.615464,0.129600,1051.991974,40.670752,751.848289,70.000832,3.868832,2.317088,2.973952,640.116037,130.712543,2.926976,264.637787
40,9.095303,-1.000000,0.000141,2.666627,1991.204468,32912.742544,0.135136,1052.314209,40.625504,756.932259,70.351837,3.619136,2.310912,2.982400,639.573727,130.508256,2.936128,265.890629
41,9.072231,-1.000000,0.000145,2.632762,1987.889526,32967.626787,0.136512,1053.430679,39.780288,753.959869,69.998077,3.862528,2.318656,2.988192,640.368898,130.745760,2.937952,265.919746
42,8.967698,-1.000000,0.000148,2.690330,1990.489624,32924.562484,0.129728,1053.291000,41.006752,755.676453,69.990173,3.616160,2.308864,2.982336,639.447487,130.889056,2.938688,266.039486
43,8.943235,-1.000000,0.000152,2.634174,1991.330322,32910.662419,0.137984,1054.646332,39.926816,756.469055,69.992989,3.611040,2.304000,2.972800,639.613148,131.317470,2.936736,267.254303
44,8.893275,-1.000000,0.000155,2.589185,1988.644531,32955.110363,0.138336,1053.574997,39.811840,754.476471,70.338623,3.606464,2.307264,2.969280,638.626245,130.764319,2.937280,267.870270
45,8.787534,-1.000000,0.000159,2.634326,1989.492188,32941.069290,0.127840,1053.909042,40.129184,755.691162,69.580353,3.606944,2.300192,2.981088,639.072098,130.698368,2.938848,267.823162
46,8.861132,-1.000000,0.000162,2.572053,1990.353638,32926.811979,0.133760,1054.548508,41.273727,754.868996,69.571236,3.601920,3.041280,2.985344,640.089661,130.969536,2.936736,266.399494
47,8.767251,-1.000000,0.000166,2.550201,1986.734985,32986.785094,0.132608,1052.812195,39.757377,754.281952,69.592926,3.611264,2.306528,2.973536,638.624414,130.766272,2.940672,267.095680
48,8.649775,-1.000000,0.000169,2.573586,1987.946777,32966.677351,0.132864,1051.883301,40.002016,755.943588,69.583519,3.616224,2.301472,2.978112,638.999010,130.726881,2.935488,265.812420
