step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
89,7.524302,-1.000000,0.000310,1.525370,2055.365086,31885.332901
90,7.259533,-1.000000,0.000314,1.436131,2068.379431,31684.708820
91,7.399390,-1.000000,0.000317,1.384751,2084.717167,31436.398682
92,7.421239,-1.000000,0.000321,1.479330,2071.911357,31630.696834
93,7.379423,-1.000000,0.000324,1.638741,2068.273335,31686.334147
94,7.338222,-1.000000,0.000328,2.042335,2071.157989,31642.202260
95,7.490877,-1.000000,0.000331,2.311881,2066.496075,31713.585519
96,7.423772,-1.000000,0.000334,2.219774,2066.811473,31708.745987
97,7.270950,-1.000000,0.000338,1.818604,2065.419824,31730.110866
98,7.241605,-1.000000,0.000341,1.456052,2067.243929,31702.112692
99,7.331078,-1.000000,0.000345,1.653617,2065.999048,31721.215004
100,7.414183,7.298713,0.000348,2.214769,4875.761244,13441.183175
101,7.377939,-1.000000,0.000352,2.064648,2067.040346,31705.235037
102,7.450677,-1.000000,0.000355,1.810640,2070.867375,31646.642750
103,7.435361,-1.000000,0.000359,1.515723,2067.240805,31702.160600
104,7.294090,-1.000000,0.000362,1.928586,2058.641638,31834.583927
105,7.269324,-1.000000,0.000366,1.985030,2061.909593,31784.128762
106,7.158063,-1.000000,0.000369,1.789996,2066.444858,31714.371543
107,7.123403,-1.000000,0.000372,1.559359,2065.823576,31723.909419
108,7.248974,-1.000000,0.000376,1.436914,2064.870701,31738.549038
109,7.247817,-1.000000,0.000379,1.595806,2057.402990,31853.749761
110,7.435122,-1.000000,0.000383,1.733363,2062.976626,31767.689063
111,7.294888,-1.000000,0.000386,1.604547,2067.439938,31699.107092
112,7.261557,-1.000000,0.000390,1.592554,2066.751771,31709.661953
113,7.082266,-1.000000,0.000393,1.595398,2062.154760,31780.349987
114,7.018109,-1.000000,0.000397,1.798188,2068.502888,31682.817742
115,7.108826,-1.000000,0.000400,1.996107,2067.683531,31695.372632
116,7.036558,-1.000000,0.000403,1.945541,2056.736268,31864.075633
117,7.137539,-1.000000,0.000407,1.798546,2067.450429,31698.946239
118,6.946038,-1.000000,0.000410,1.922491,2069.467071,31668.056438
119,6.959687,-1.000000,0.000414,2.132876,2064.632008,31742.218345
120,7.071592,-1.000000,0.000417,1.958739,2066.232688,31717.628116
121,7.046490,-1.000000,0.000421,1.639313,2070.756687,31648.334356
122,6.958498,-1.000000,0.000424,1.309090,2067.700243,31695.116457
123,7.006325,-1.000000,0.000428,1.299167,2068.611239,31681.158240
124,7.033655,-1.000000,0.000431,1.788561,2054.293876,31901.959484
125,7.086642,-1.000000,0.000434,2.151403,2056.826640,31862.675602
126,7.159981,-1.000000,0.000438,2.196853,2069.500371,31667.546872
127,6.992759,-1.000000,0.000441,2.122546,2067.463531,31698.745355
128,7.013073,-1.000000,0.000445,1.937546,2066.585987,31712.205740
129,7.015716,-1.000000,0.000448,1.802253,2068.385182,31684.620723
130,7.062854,-1.000000,0.000452,1.832300,2054.383613,31900.565983
131,7.060091,-1.000000,0.000455,1.713959,2061.388659,31792.160937
132,7.038333,-1.000000,0.000459,1.578504,2054.502085,31898.726450
133,7.082310,-1.000000,0.000462,1.423684,2062.782991,31770.671120
134,6.941998,-1.000000,0.000466,1.546876,2054.241566,31902.771848
135,7.005030,-1.000000,0.000469,1.784439,2064.569895,31743.173316
136,6.989460,-1.000000,0.000472,1.735548,2153.342395,30434.546848
137,7.069463,-1.000000,0.000476,1.835477,2127.992569,30797.100025
138,6.871612,-1.000000,0.000479,1.714797,2110.779848,31048.240328
139,6.932761,-1.000000,0.000483,1.629572,2095.014638,31281.881669
140,6.933946,-1.000000,0.000486,1.593910,2178.176814,30087.548255
141,6.914128,-1.000000,0.000490,1.628563,2128.365252,30791.707362
142,6.891148,-1.000000,0.000493,1.746948,2100.298009,31203.191032
143,6.866901,-1.000000,0.000497,1.744287,2099.205297,31219.433418
144,6.976707,-1.000000,0.000500,1.726505,2097.084301,31251.008826
145,6.799108,-1.000000,0.000503,1.583492,2090.751118,31345.672584
146,7.117764,-1.000000,0.000507,1.611804,2088.484651,31379.689560
147,6.949696,-1.000000,0.000510,1.605162,2098.250971,31233.632633
148,6.904440,-1.000000,0.000514,1.997486,2098.905411,31223.893967
149,7.061943,-1.000000,0.000517,2.100157,2091.367517,31336.433921
150,7.498986,-1.000000,0.000521,1.859530,2105.207157,31130.428083
151,7.551199,-1.000000,0.000524,1.754068,2104.747791,31137.222369
152,6.929955,-1.000000,0.000528,1.836962,2107.021910,31103.615814
153,6.792601,-1.000000,0.000531,1.753983,2108.478792,31082.124349
154,6.878440,-1.000000,0.000534,1.485832,2100.356518,31202.321815
155,8.804471,-1.000000,0.000538,2.701286,2088.653943,31377.146137
156,7.839782,-1.000000,0.000541,2.453060,2123.427733,30863.306051
157,6.817945,-1.000000,0.000545,1.710244,2161.255580,30323.114307
158,6.823847,-1.000000,0.000548,1.699999,2132.337781,30734.342647
159,6.768374,-1.000000,0.000552,1.528027,2100.815659,31195.502432
160,6.800032,-1.000000,0.000555,1.427670,2102.812342,31165.881373
161,6.866724,-1.000000,0.000559,1.502959,2108.844121,31076.739787
162,6.875984,-1.000000,0.000562,1.652961,2101.181986,31190.063705
163,6.889462,-1.000000,0.000566,1.713215,2099.980535,31207.908315
164,6.846241,-1.000000,0.000569,1.611365,2094.198992,31294.065297
165,6.850902,-1.000000,0.000572,1.564497,2102.012748,31177.736701
166,6.813095,-1.000000,0.000576,1.655429,2113.599103,31006.826180
167,6.906784,-1.000000,0.000579,1.834784,2109.101577,31072.946279
168,6.859741,-1.000000,0.000583,1.939227,2087.249355,31398.260990
169,6.970375,-1.000000,0.000586,2.034519,2112.631647,31021.025408
170,6.773639,-1.000000,0.000590,1.854360,2104.915620,31134.739738
171,6.907818,-1.000000,0.000593,1.721181,2093.497491,31304.551489
172,6.758613,-1.000000,0.000597,1.559442,2098.639444,31227.851067
173,6.832456,-1.000000,0.000600,1.515292,2092.515097,31319.248350
174,6.767500,-1.000000,0.000600,1.515937,2100.753287,31196.428636
175,6.918542,-1.000000,0.000600,1.664089,2087.903899,31388.417844
176,6.822943,-1.000000,0.000600,1.720168,2088.420716,31380.650220
177,6.779879,-1.000000,0.000600,1.762589,2094.720932,31286.267779
178,6.785497,-1.000000,0.000600,1.614079,2079.425090,31516.403411
179,6.727211,-1.000000,0.000600,1.630339,2099.295977,31218.084881
180,6.628934,-1.000000,0.000600,1.742391,2096.713540,31256.534929
181,6.996400,-1.000000,0.000600,1.721159,2096.745206,31256.062879
182,6.810094,-1.000000,0.000600,1.916437,2102.320150,31173.177882
183,6.825449,-1.000000,0.000600,2.062873,2102.240918,31174.352777
184,6.794083,-1.000000,0.000600,1.956863,2088.452597,31380.171182
185,6.753654,-1.000000,0.000600,1.760459,2100.645156,31198.034477
186,6.664069,-1.000000,0.000600,1.583709,2101.586618,31184.058482
187,6.802265,-1.000000,0.000600,1.437202,2102.796398,31166.117681
188,6.882235,-1.000000,0.000600,1.379040,2107.782210,31092.396401
189,7.111170,-1.000000,0.000600,1.608933,2090.044123,31356.275822
190,6.769692,-1.000000,0.000600,1.537199,2097.853299,31239.553324
191,6.703958,-1.000000,0.000600,1.647408,2137.146963,30665.181728
192,6.619265,-1.000000,0.000600,1.679103,2098.701943,31226.921106
193,6.642813,-1.000000,0.000600,1.764512,2141.254798,30606.352902
194,6.658952,-1.000000,0.000600,1.942050,2096.111951,31265.505628
195,6.782303,-1.000000,0.000600,2.034691,2222.846810,29482.913400
196,6.785649,-1.000000,0.000600,1.933645,2269.633923,28875.141200
197,6.805396,-1.000000,0.000600,2.002931,2266.331453,28917.217697
198,6.694066,-1.000000,0.000600,1.860739,2265.753415,28924.595045
199,6.676290,-1.000000,0.000600,1.746313,2271.453823,28852.006295
200,6.707661,6.745394,0.000600,1.591323,5187.969591,12632.302262
201,6.653613,-1.000000,0.000600,1.470384,2103.667919,31153.205983
202,6.477442,-1.000000,0.000600,1.405699,2004.660308,32691.823018
203,6.577433,-1.000000,0.000600,1.364251,2000.106614,32766.253329
204,6.576494,-1.000000,0.000600,1.385204,1999.493299,32776.303893
205,6.641758,-1.000000,0.000599,1.436951,2000.484809,32760.058814
206,6.658770,-1.000000,0.000599,1.518718,2001.413846,32744.851911
207,6.562783,-1.000000,0.000599,1.634954,2005.396799,32679.816799
208,6.806272,-1.000000,0.000599,1.666344,2055.674651,31880.531274
209,6.582891,-1.000000,0.000599,1.605527,2003.569138,32709.627413
210,6.691663,-1.000000,0.000599,1.522613,2099.096790,31221.047220
211,6.650666,-1.000000,0.000599,1.583330,2057.719666,31848.847578
212,6.632107,-1.000000,0.000599,1.723932,2058.403649,31838.264585
213,6.589179,-1.000000,0.000599,1.819667,2098.795073,31225.535472
214,6.685147,-1.000000,0.000599,1.797345,2098.780212,31225.756573
215,6.565610,-1.000000,0.000599,1.677725,2054.518093,31898.477907
216,6.652941,-1.000000,0.000599,1.579373,2000.369791,32761.942464
217,6.522204,-1.000000,0.000599,1.404799,1999.883981,32769.900966
218,6.514328,-1.000000,0.000599,1.298034,2003.878194,32704.582642
219,6.573096,-1.000000,0.000599,1.414527,2044.085778,32061.276834
220,6.624033,-1.000000,0.000599,1.445091,2056.365835,31869.815616
221,6.530084,-1.000000,0.000599,1.562127,2072.492549,31621.826593
222,6.515110,-1.000000,0.000599,1.646253,2039.374660,32135.340938
223,6.686121,-1.000000,0.000599,1.681402,2018.428019,32468.831875
224,6.569427,-1.000000,0.000599,1.738413,2018.611923,32465.873828
225,6.636466,-1.000000,0.000599,1.614087,2014.661779,32529.529613
226,6.476617,-1.000000,0.000599,1.561235,2014.969312,32524.564821
227,6.641659,-1.000000,0.000598,1.474821,2067.668166,31695.608163
228,6.558263,-1.000000,0.000598,1.321736,2025.446250,32356.326414
229,6.569845,-1.000000,0.000598,1.329562,2074.167617,31596.289260
230,6.500521,-1.000000,0.000598,1.475009,2161.851970,30314.749071
231,6.563899,-1.000000,0.000598,1.808307,2107.577305,31095.419297
232,6.552135,-1.000000,0.000598,1.899543,2181.102769,30047.185732
233,6.499934,-1.000000,0.000598,1.887848,2092.302736,31322.427138
234,6.532367,-1.000000,0.000598,1.636790,2084.999583,31432.140579
235,6.537074,-1.000000,0.000598,1.542350,2090.101906,31355.408945
236,6.571052,-1.000000,0.000598,1.377160,2088.771263,31375.383777
237,6.476058,-1.000000,0.000598,1.427389,2122.566379,30875.830621
238,6.402805,-1.000000,0.000598,1.527975,2071.024505,31644.241699
239,6.563290,-1.000000,0.000598,1.557060,2093.925246,31298.156477
240,6.555722,-1.000000,0.000598,1.610132,2114.512585,30993.431046
241,6.703532,-1.000000,0.000598,1.558293,2087.591117,31393.120744
242,6.629762,-1.000000,0.000597,1.526195,2087.113654,31400.302458
243,6.824815,-1.000000,0.000597,1.505425,2119.439156,30921.387771
244,6.666168,-1.000000,0.000597,1.432375,2059.293350,31824.509121
245,6.697399,-1.000000,0.000597,1.486582,2062.855030,31769.561625
246,6.517186,-1.000000,0.000597,1.625243,2062.689004,31772.118760
247,6.561784,-1.000000,0.000597,1.665080,2052.957487,31922.726318
248,6.548425,-1.000000,0.000597,1.630024,2067.579063,31696.974095
249,6.560873,-1.000000,0.000597,1.527393,2063.012483,31767.136913
250,6.540766,-1.000000,0.000597,1.458399,2054.011794,31906.340651
251,6.652049,-1.000000,0.000597,1.393860,2065.418697,31730.128179
252,6.782155,-1.000000,0.000597,1.445495,2064.847412,31738.907010
253,6.507825,-1.000000,0.000597,1.501800,2056.907992,31861.415413
254,6.524026,-1.000000,0.000597,1.620427,2057.995882,31844.572952
255,6.561634,-1.000000,0.000596,1.654254,2058.316331,31839.615230
256,6.534618,-1.000000,0.000596,1.591320,2058.286251,31840.080537
257,6.421954,-1.000000,0.000596,1.577475,2057.958066,31845.158112
258,6.950597,-1.000000,0.000596,1.569603,2072.038267,31628.759490
259,6.454988,-1.000000,0.000596,1.700190,2064.355844,31746.464734
260,6.582817,-1.000000,0.000596,1.686807,2071.204237,31641.495720
261,6.661904,-1.000000,0.000596,1.606057,2057.912230,31845.867401
262,6.555092,-1.000000,0.000596,1.493379,2090.400154,31350.935310
263,6.647987,-1.000000,0.000596,1.486659,2087.748142,31390.759585
264,6.577798,-1.000000,0.000596,1.419024,2099.611869,31213.388040
265,6.730337,-1.000000,0.000596,1.616874,2097.666180,31242.339999
266,6.507171,-1.000000,0.000595,1.474838,2083.852580,31449.441591
267,6.520517,-1.000000,0.000595,1.418148,2081.853921,31479.634252
268,6.550789,-1.000000,0.000595,1.457683,2103.580100,31154.506548
269,6.655349,-1.000000,0.000595,1.399737,2102.260293,31174.065466
270,6.507348,-1.000000,0.000595,1.479548,2101.834936,31180.374290
271,6.462105,-1.000000,0.000595,1.495558,2091.713684,31331.247915
272,6.462061,-1.000000,0.000595,1.567470,2082.889613,31463.981380
273,6.624603,-1.000000,0.000595,1.586611,2078.889388,31524.524767
274,6.497490,-1.000000,0.000595,1.528911,2112.490494,31023.098180
275,6.334596,-1.000000,0.000594,1.574549,2102.564354,31169.557248
276,6.428103,-1.000000,0.000594,1.610843,2117.574097,30948.621865
277,6.438730,-1.000000,0.000594,1.654892,2108.419708,31082.995360
278,6.327957,-1.000000,0.000594,1.867910,2111.922390,31031.443348
279,6.536082,-1.000000,0.000594,1.587537,2094.342560,31291.920076
280,6.460514,-1.000000,0.000594,1.426444,2095.928928,31268.235828
281,6.348318,-1.000000,0.000594,1.371001,2116.210965,30968.557050
282,6.413579,-1.000000,0.000594,1.391988,2092.575540,31318.343710
283,6.365578,-1.000000,0.000594,1.474805,2101.147548,31190.574913
284,6.504431,-1.000000,0.000593,1.507442,2094.313844,31292.349133
285,6.476139,-1.000000,0.000593,1.551388,2083.706478,31451.646713
286,6.420839,-1.000000,0.000593,1.542213,2089.944025,31357.777632
287,6.428769,-1.000000,0.000593,1.549324,2099.182240,31219.776326
288,6.339149,-1.000000,0.000593,1.545573,2099.416767,31216.288747
289,6.455359,-1.000000,0.000593,1.488460,2101.382965,31187.080647
290,6.388499,-1.000000,0.000593,1.464357,2080.287023,31503.345104
291,6.405107,-1.000000,0.000593,1.389844,2112.398203,31024.453584
292,6.635828,-1.000000,0.000592,1.418330,2100.389118,31201.837525
293,6.486685,-1.000000,0.000592,1.385378,2090.622750,31347.597265
294,6.441102,-1.000000,0.000592,1.510972,2102.775170,31166.432310
295,6.385942,-1.000000,0.000592,1.460446,2105.879845,31120.483989
296,6.394607,-1.000000,0.000592,1.511642,2114.026364,31000.559461
297,6.402125,-1.000000,0.000592,1.505538,2086.879525,31403.825288
298,6.340313,-1.000000,0.000592,1.559788,2091.258733,31338.063993
299,6.259823,-1.000000,0.000592,1.564988,2091.359333,31336.556548
300,6.560112,6.548593,0.000591,1.570945,4975.283718,13172.314126
301,6.506920,-1.000000,0.000591,1.590248,2090.470114,31349.886115
302,6.241628,-1.000000,0.000591,1.789474,2097.497589,31244.851171
303,6.425505,-1.000000,0.000591,1.855771,2101.798531,31180.914361
304,6.315617,-1.000000,0.000591,1.919680,2093.684273,31301.758744
305,6.428760,-1.000000,0.000591,1.789293,2103.428509,31156.751808
306,6.227168,-1.000000,0.000591,1.596374,2103.601319,31154.192293
307,6.335321,-1.000000,0.000590,1.535207,2086.539471,31408.943330
308,6.393755,-1.000000,0.000590,1.397671,2092.712730,31316.290602
309,6.370915,-1.000000,0.000590,1.251585,2159.665021,30345.446800
310,6.535696,-1.000000,0.000590,1.292736,2114.786722,30989.413409
311,6.555288,-1.000000,0.000590,1.290378,2134.069628,30709.401015
312,6.288124,-1.000000,0.000590,1.454434,2127.814161,30799.682228
313,6.425599,-1.000000,0.000590,1.359395,2148.613320,30501.532961
314,6.434104,-1.000000,0.000589,1.435029,2137.243134,30663.801866
315,6.507544,-1.000000,0.000589,1.483921,2133.434610,30718.541685
316,6.448238,-1.000000,0.000589,1.525908,2119.502708,30920.460612
317,6.455408,-1.000000,0.000589,1.517914,2084.139685,31445.109208
318,6.346892,-1.000000,0.000589,1.478806,2092.255948,31323.127585
319,6.634725,-1.000000,0.000589,1.345633,2083.531494,31454.288159
320,6.430738,-1.000000,0.000588,1.363416,2067.032206,31705.359892
321,6.333776,-1.000000,0.000588,1.514037,2072.814413,31616.916396
322,6.336674,-1.000000,0.000588,1.599964,2067.678787,31695.445353
323,6.443079,-1.000000,0.000588,1.596843,2075.080549,31582.388468
324,6.588779,-1.000000,0.000588,1.655132,2093.697950,31301.554267
325,6.532365,-1.000000,0.000588,1.611608,2121.132924,30896.696411
326,6.475287,-1.000000,0.000588,1.496292,2105.657160,31123.775154
327,6.403976,-1.000000,0.000587,1.425820,2065.816238,31724.022105
328,6.355572,-1.000000,0.000587,1.447004,2105.495898,31126.158955
329,6.356752,-1.000000,0.000587,1.468579,2129.935048,30769.013384
330,6.543443,-1.000000,0.000587,1.432607,2100.601026,31198.689893
331,6.333514,-1.000000,0.000587,1.405513,2128.124936,30795.184480
332,6.489453,-1.000000,0.000587,1.433959,2069.057803,31674.320507
333,6.310301,-1.000000,0.000586,1.328614,2083.254903,31458.464303
334,6.362538,-1.000000,0.000586,1.402468,2118.844854,30930.060724
335,6.564539,-1.000000,0.000586,1.695697,2104.036508,31147.748507
336,6.347738,-1.000000,0.000586,1.841867,2093.130508,31310.040033
337,6.390503,-1.000000,0.000586,1.946177,2082.045471,31476.738099
338,6.408627,-1.000000,0.000585,1.845896,2125.143413,30838.389353
339,6.440444,-1.000000,0.000585,1.770210,2091.826997,31329.550720
340,6.437576,-1.000000,0.000585,1.677346,2081.141204,31490.414910
341,6.370625,-1.000000,0.000585,1.567154,2092.845157,31314.309031
342,6.348081,-1.000000,0.000585,1.489134,2108.452305,31082.514812
343,6.360758,-1.000000,0.000585,1.486017,2085.571412,31423.522409
344,6.438457,-1.000000,0.000584,1.494805,2067.388547,31699.895066
345,6.332255,-1.000000,0.000584,1.530451,2105.043453,31132.849019
346,6.365447,-1.000000,0.000584,1.608664,2089.632397,31362.454035
347,6.342479,-1.000000,0.000584,1.610552,2082.821784,31465.006033
348,6.422200,-1.000000,0.000584,1.551032,2100.933797,31193.748272
349,6.557497,-1.000000,0.000583,1.506472,2125.034583,30839.968688
350,6.325662,-1.000000,0.000583,1.816071,2110.394376,31053.911414
351,6.427026,-1.000000,0.000583,1.698598,2099.493769,31215.143845
352,6.301511,-1.000000,0.000583,1.474904,2093.189219,31309.161831
353,6.514157,-1.000000,0.000583,1.556012,2071.564210,31635.997419
354,6.378531,-1.000000,0.000583,1.663486,2068.732624,31679.299316
355,6.367409,-1.000000,0.000582,1.655760,2100.138165,31205.565944
356,6.333848,-1.000000,0.000582,1.691567,2115.428220,30980.015952
357,6.445522,-1.000000,0.000582,1.631180,2099.682226,31212.342129
358,6.220928,-1.000000,0.000582,1.540302,2081.299855,31488.014494
359,6.289270,-1.000000,0.000582,1.422730,2099.436143,31216.000648
360,6.295724,-1.000000,0.000581,1.348477,2080.991004,31492.687798
361,6.448968,-1.000000,0.000581,1.348714,2151.057694,30466.872266
362,6.261014,-1.000000,0.000581,1.333318,2130.449584,30761.582199
363,6.216887,-1.000000,0.000581,1.409044,2078.124123,31536.133609
364,6.332664,-1.000000,0.000581,1.309241,2088.459521,31380.067146
365,6.363486,-1.000000,0.000580,1.383655,2079.709211,31512.097775
366,6.277883,-1.000000,0.000580,1.402098,2088.250571,31383.207030
367,6.387111,-1.000000,0.000580,1.428474,2087.826916,31389.575207
368,6.240706,-1.000000,0.000580,1.480884,2077.071484,31552.115806
369,6.229287,-1.000000,0.000580,1.520668,2084.092199,31445.825684
370,6.295594,-1.000000,0.000579,1.506747,2083.852730,31449.439328
371,6.256123,-1.000000,0.000579,1.554906,2078.732384,31526.905774
372,6.293831,-1.000000,0.000579,1.532385,2077.983051,31538.274563
373,6.585805,-1.000000,0.000579,1.546273,2088.813632,31374.747367
374,6.436714,-1.000000,0.000579,1.541041,2081.438089,31485.923288
375,6.697580,-1.000000,0.000578,1.411770,2089.867913,31358.919668
376,6.420138,-1.000000,0.000578,1.525179,2098.346708,31232.207600
377,6.436191,-1.000000,0.000578,1.452348,2066.801743,31708.895264
378,6.532301,-1.000000,0.000578,1.285465,2095.948521,31267.943532
379,6.486171,-1.000000,0.000577,1.290637,2086.516696,31409.286168
380,6.480710,-1.000000,0.000577,1.267800,2078.769511,31526.342701
381,6.428489,-1.000000,0.000577,1.427612,2077.881117,31539.821727
382,6.457673,-1.000000,0.000577,1.682673,2076.905342,31554.639817
383,6.414149,-1.000000,0.000577,1.781881,2082.121144,31475.594102
