step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_attn, timer_mlp, timer_ln_f, timer_lm_head
0,10.883194,10.885666,0.000001,1.637793,6838.292480,19167.357988,0.802720,2140.600784,81.290913,1544.937706,74.351936,5.320320,4.938720,5.907520,1286.128706,288.887487,5.996832,539.399811
1,10.880640,-1.000000,0.000002,2.680684,3978.593262,32944.307542,0.280448,2173.847092,84.808832,1577.318039,69.961250,3.865824,4.591552,6.061216,1301.983356,295.379712,5.957696,548.118210
2,10.883286,-1.000000,0.000002,2.662298,3875.127441,33823.919853,0.267488,2134.797623,80.476640,1519.924934,69.056580,3.608992,4.598880,5.923168,1276.819996,292.035552,6.019264,539.362335
3,10.871542,-1.000000,0.000003,2.639010,3977.697754,32951.724367,0.282624,2179.642014,83.515904,1570.601158,71.231133,3.606016,5.000576,7.245920,1303.867393,292.848544,6.947712,552.558147
4,10.865691,-1.000000,0.000004,2.610343,3933.767578,33319.711294,0.850208,2157.283707,83.396928,1550.695114,69.297340,3.901760,5.079168,5.945568,1293.359810,291.903521,6.186784,544.678013
5,10.861765,-1.000000,0.000005,2.551856,3901.893799,33591.893259,0.778144,2144.335632,83.141312,1532.600327,70.436066,3.601408,4.728352,6.379936,1280.472424,294.078144,5.833568,543.802395
6,10.843693,-1.000000,0.000006,2.674133,3918.328369,33450.999419,0.430144,2150.837601,84.079169,1541.181007,69.467133,3.938080,4.604320,6.076864,1293.393000,288.375936,6.197952,541.274811
7,10.829700,-1.000000,0.000006,2.644620,3953.903809,33150.022445,1.084128,2174.145370,82.143519,1551.715431,72.617279,3.604608,4.884256,6.182912,1299.806469,291.784543,7.059680,552.726974
8,10.818154,-1.000000,0.000007,2.624280,4065.343262,32241.311880,1.634272,2222.689590,88.091072,1610.996925,69.425247,4.471872,6.942688,7.846336,1328.151171,302.118176,6.099136,557.808327
9,10.800377,-1.000000,0.000008,2.665272,3865.234863,33910.487884,0.261408,2123.400345,81.157345,1519.943146,69.831299,3.846272,5.482528,6.430400,1272.413919,291.603680,5.831424,532.676991
10,10.779173,-1.000000,0.000009,2.660846,3864.919678,33913.253296,0.282112,2125.580002,81.793761,1515.994911,70.763939,3.602656,4.617888,5.949248,1273.574373,290.133535,5.988768,535.644455
