step,loss,val_loss,lr,norm,dt_ms,tok_per_sec
0,10.902997,-1,0.000001,0.116259,1796.37,36482.42
1,10.904137,-1,0.000003,0.116425,1607.27,40774.73
2,10.908398,-1,0.000004,0.115420,1604.10,40855.33
3,10.912704,-1,0.000006,0.116231,1600.89,40937.35
4,10.912832,-1,0.000007,0.116469,1600.43,40948.90
5,10.893854,-1,0.000009,0.115561,1600.94,40936.05
