step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902381,,,,
0,train,10.902521,1.183432e-06,3.6728,7479.45,8762.14
1,train,10.900494,2.366864e-06,3.7963,4466.34,14673.33
2,train,10.882026,3.550296e-06,3.9914,4473.74,14649.06
3,train,10.873756,4.733728e-06,3.7543,4461.29,14689.91
4,train,10.855822,5.917160e-06,3.6814,4486.36,14607.83
5,train,10.833021,7.100592e-06,3.7778,4472.28,14653.83
6,train,10.800310,8.284024e-06,3.6527,4462.32,14686.53
7,train,10.778350,9.467456e-06,3.5781,4468.94,14664.78
8,train,10.741093,1.065089e-05,3.3632,4479.41,14630.49
9,train,10.699261,1.183432e-05,3.3806,4460.63,14692.10
