step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902526,,,,
0,train,10.902521,1.183432e-06,3.1974,2677.08,24480.45
1,train,10.900438,2.366864e-06,3.3056,1056.88,62009.18
2,train,10.881987,3.550296e-06,3.4708,1057.87,61950.66
3,train,10.873805,4.733728e-06,3.2657,1060.16,61817.12
4,train,10.856087,5.917160e-06,3.2029,1060.82,61778.90
5,train,10.833119,7.100592e-06,3.2901,1058.86,61893.02
6,train,10.800321,8.284024e-06,3.1828,1061.94,61713.64
7,train,10.778337,9.467456e-06,3.1194,1061.35,61747.86
8,train,10.741177,1.065089e-05,2.9364,1059.01,61884.35
9,train,10.699430,1.183432e-05,2.9556,1064.45,61567.96
10,train,10.669603,1.301775e-05,2.7844,1081.62,60590.82
11,train,10.643928,1.420118e-05,2.4990,1069.10,61300.29
12,train,10.581958,1.538462e-05,2.6180,1064.59,61559.70
13,train,10.525462,1.656805e-05,2.5475,1105.83,59264.31
14,train,10.481091,1.775148e-05,2.4331,1059.30,61867.39
15,train,10.471172,1.893491e-05,2.1752,1067.10,61415.21
16,train,10.424513,2.011834e-05,2.0962,1058.78,61897.46
17,train,10.373374,2.130178e-05,2.1076,1056.61,62024.97
18,train,10.326720,2.248521e-05,2.0556,1058.17,61933.22
19,train,10.314960,2.366864e-05,1.9587,1059.25,61870.39
20,train,10.275828,2.485207e-05,1.8927,1064.97,61538.05
21,train,10.234101,2.603550e-05,1.8742,1066.03,61476.50
22,train,10.223518,2.721893e-05,1.8099,1061.39,61745.73
23,train,10.220133,2.840237e-05,1.7119,1061.71,61726.62
24,train,10.178642,2.958580e-05,1.7349,1061.83,61719.73
25,train,10.119492,3.076923e-05,1.8998,1055.84,62069.90
26,train,10.136719,3.195266e-05,1.7217,1062.07,61706.17
27,train,10.080967,3.313609e-05,1.8197,1062.05,61707.29
28,train,10.064579,3.431953e-05,1.7915,1063.50,61622.78
29,train,10.059509,3.550296e-05,1.7138,1073.97,61022.27
30,train,10.009835,3.668639e-05,1.8378,1064.73,61551.75
31,train,10.044715,3.786982e-05,1.6570,1064.33,61575.06
32,train,10.009232,3.905325e-05,1.7009,1069.03,61304.14
33,train,9.978324,4.023669e-05,1.7193,1061.88,61716.96
34,train,9.963633,4.142012e-05,1.7310,1071.67,61152.97
35,train,9.952557,4.260355e-05,1.7045,1079.33,60719.39
36,train,9.939450,4.378698e-05,1.6812,1078.71,60754.29
37,train,9.904778,4.497041e-05,1.7013,1069.35,61285.81
38,train,9.878177,4.615385e-05,1.7308,1059.01,61884.16
39,train,9.839953,4.733728e-05,1.7629,1071.28,61175.61
40,train,9.828075,4.852071e-05,1.7461,1079.43,60713.59
41,train,9.817961,4.970414e-05,1.7335,1069.76,61262.57
42,train,9.776865,5.088757e-05,1.7861,1074.33,61001.48
43,train,9.756456,5.207101e-05,1.7636,1079.28,60722.17
44,train,9.762663,5.325444e-05,1.6918,1075.87,60914.68
45,train,9.704032,5.443787e-05,1.7483,1067.10,61414.94
46,train,9.740753,5.562130e-05,1.7121,1069.30,61288.77
47,train,9.703632,5.680473e-05,1.6866,1057.04,61999.46
48,train,9.651258,5.798817e-05,1.7396,1076.92,60855.22
49,train,9.688100,5.917160e-05,1.7113,1142.80,57347.11
50,train,9.566251,6.035503e-05,1.7540,1139.73,57501.50
51,train,9.511810,6.153846e-05,1.8050,1092.00,60014.68
52,train,9.551477,6.272189e-05,1.6589,1093.02,59958.47
53,train,9.506645,6.390533e-05,1.7116,1104.60,59330.28
54,train,9.473820,6.508876e-05,1.6849,1104.70,59324.72
55,train,9.463519,6.627219e-05,1.6433,1152.78,56850.53
56,train,9.427000,6.745562e-05,1.6408,1092.20,60003.57
57,train,9.397552,6.863905e-05,1.6589,1072.04,61132.29
58,train,9.352843,6.982249e-05,1.6809,1069.55,61274.43
59,train,9.382638,7.100592e-05,1.5743,1055.37,62097.51
60,train,9.280323,7.218935e-05,1.6303,1085.01,60401.15
61,train,9.254879,7.337278e-05,1.6474,1106.97,59202.97
62,train,9.237618,7.455621e-05,1.6271,1053.75,62193.08
63,train,9.252571,7.573964e-05,1.5486,1053.04,62235.33
64,train,9.174363,7.692308e-05,1.6439,1052.43,62271.21
65,train,9.177175,7.810651e-05,1.5918,1052.27,62280.74
66,train,9.094940,7.928994e-05,1.6262,1050.95,62358.82
67,train,9.053698,8.047337e-05,1.6908,1053.55,62205.01
68,train,9.060087,8.165680e-05,1.5955,1054.72,62135.72
69,train,9.006250,8.284024e-05,1.6130,1052.52,62265.78
70,train,9.004261,8.402367e-05,1.5922,1063.46,61625.24
71,train,8.926307,8.520710e-05,1.6338,1070.65,61211.41
72,train,8.896456,8.639053e-05,1.6076,1078.05,60791.16
73,train,8.877355,8.757396e-05,1.6013,1066.96,61423.08
74,train,8.867972,8.875740e-05,1.5593,1059.61,61849.04
75,train,8.811860,8.994083e-05,1.5892,1059.23,61871.15
76,train,8.765730,9.112426e-05,1.6377,1063.23,61638.45
77,train,8.757380,9.230769e-05,1.5450,1058.44,61917.75
78,train,8.724180,9.349112e-05,1.5659,1061.90,61716.05
79,train,8.708137,9.467456e-05,1.5204,1064.93,61540.03
80,train,8.685903,9.585799e-05,1.5240,1058.57,61909.93
81,train,8.612434,9.704142e-05,1.6103,1070.16,61239.27
82,train,8.591238,9.822485e-05,1.5519,1074.91,60968.98
83,train,8.546092,9.940828e-05,1.5320,1081.08,60620.82
84,train,8.549870,1.005917e-04,1.5351,1093.15,59951.34
85,train,8.470879,1.017751e-04,1.5059,1093.83,59914.11
86,train,8.521891,1.029586e-04,1.4347,1076.71,60866.71
87,train,8.389358,1.041420e-04,1.5498,1078.63,60758.46
88,train,8.379574,1.053254e-04,1.4546,1107.96,59150.34
89,train,8.436166,1.065089e-04,1.4476,1102.04,59468.03
90,train,8.290655,1.076923e-04,1.4604,1111.71,58950.84
91,train,8.322998,1.088757e-04,1.4707,1102.15,59461.95
92,train,8.292233,1.100592e-04,1.4539,1111.82,58944.91
93,train,8.223966,1.112426e-04,1.4325,1074.69,60981.41
94,train,8.146832,1.124260e-04,1.4701,1059.62,61848.82
95,train,8.199555,1.136095e-04,1.3939,1062.17,61700.02
96,train,8.152033,1.147929e-04,1.3742,1060.99,61769.01
97,train,8.086400,1.159763e-04,1.4143,1061.92,61714.43
98,train,8.063709,1.171598e-04,1.3515,1062.82,61662.22
99,train,8.088444,1.183432e-04,1.3640,1063.40,61628.53
100,train,8.102892,1.195266e-04,1.3168,1099.54,59603.12
101,train,8.042462,1.207101e-04,1.3521,1079.35,60717.81
102,train,8.083358,1.218935e-04,1.2379,1091.13,60062.61
103,train,8.051372,1.230769e-04,1.2023,1062.26,61694.73
104,train,7.909367,1.242604e-04,1.2980,1061.88,61717.13
105,train,7.907208,1.254438e-04,1.3139,1060.58,61792.64
106,train,7.859526,1.266272e-04,1.1987,1060.86,61776.58
107,train,7.835046,1.278107e-04,1.1898,1073.17,61067.91
108,train,7.894536,1.289941e-04,1.1477,1075.28,60947.78
109,train,7.846138,1.301775e-04,1.1240,1078.60,60760.19
110,train,7.918764,1.313609e-04,1.0284,1075.62,60928.33
111,train,7.813705,1.325444e-04,1.0529,1094.13,59897.75
112,train,7.777750,1.337278e-04,1.0437,1085.75,60360.11
113,train,7.613392,1.349112e-04,1.1081,1076.89,60856.57
114,train,7.564295,1.360947e-04,1.1184,1074.36,61000.31
115,train,7.629235,1.372781e-04,1.0011,1088.38,60214.18
116,train,7.577267,1.384615e-04,0.9541,1061.45,61742.05
117,train,7.651370,1.396450e-04,0.9251,1060.24,61812.25
118,train,7.415340,1.408284e-04,1.0140,1057.17,61991.83
119,train,7.416945,1.420118e-04,0.9198,1060.79,61780.48
120,train,7.531728,1.431953e-04,0.8879,1057.64,61964.12
121,train,7.527388,1.443787e-04,0.8509,1060.34,61806.36
122,train,7.448776,1.455621e-04,0.8109,1060.16,61817.06
123,train,7.465456,1.467456e-04,0.7223,1079.28,60722.09
124,train,7.442821,1.479290e-04,0.7716,1062.20,61698.16
125,train,7.429958,1.491124e-04,1.3513,1076.61,60872.32
126,train,7.484732,1.502959e-04,0.7867,1097.27,59726.33
127,train,7.342763,1.514793e-04,0.8255,1067.37,61399.79
128,train,7.378008,1.526627e-04,0.5991,1067.60,61386.44
129,train,7.373200,1.538462e-04,0.7446,1060.76,61782.38
130,train,7.415348,1.550296e-04,0.5970,1085.39,60380.37
131,train,7.440899,1.562130e-04,0.5550,1092.12,60008.05
132,train,7.427567,1.573964e-04,0.5064,1089.21,60168.36
133,train,7.440686,1.585799e-04,0.5343,1071.07,61187.24
134,train,7.291494,1.597633e-04,0.6866,1087.39,60268.81
135,train,7.338000,1.609467e-04,0.6664,1095.03,59848.32
136,train,7.312558,1.621302e-04,0.5445,1083.09,60508.61
137,train,7.382087,1.633136e-04,0.4491,1085.81,60356.79
138,train,7.222396,1.644970e-04,0.5176,1074.14,61012.38
139,train,7.247415,1.656805e-04,0.4608,1067.37,61399.35
140,train,7.246822,1.668639e-04,0.4088,1073.49,61049.52
141,train,7.221098,1.680473e-04,0.4589,1069.66,61268.15
142,train,7.190589,1.692308e-04,0.5240,1065.08,61531.75
143,train,7.183173,1.704142e-04,0.3981,1059.99,61827.14
144,train,7.298585,1.715976e-04,0.3726,1066.77,61433.91
145,train,7.147595,1.727811e-04,0.4309,1068.11,61356.96
146,train,7.403241,1.739645e-04,0.6177,1060.79,61780.38
147,train,7.211911,1.751479e-04,0.3704,1077.80,60805.45
148,train,7.137669,1.763314e-04,0.4590,1080.11,60675.38
149,train,7.325746,1.775148e-04,0.3537,1086.75,60304.83
150,train,7.829571,1.786982e-04,0.7642,1073.36,61057.09
151,train,7.912790,1.798817e-04,0.8887,1083.93,60461.52
152,train,7.243852,1.810651e-04,0.5090,1065.08,61531.31
153,train,7.087236,1.822485e-04,0.5172,1060.86,61776.35
154,train,7.155636,1.834320e-04,0.5382,1063.20,61640.23
155,train,8.772596,1.846154e-04,4.6562,1060.38,61804.51
156,train,7.868022,1.857988e-04,2.3851,1063.61,61616.47
157,train,7.134369,1.869822e-04,4.0676,1062.83,61661.58
158,train,7.127625,1.881657e-04,3.7971,1062.91,61657.10
159,train,7.058514,1.893491e-04,0.9439,1062.29,61693.10
160,train,7.094324,1.905325e-04,1.9645,1062.01,61709.47
161,train,7.162444,1.917160e-04,1.6822,1058.58,61909.13
162,train,7.140839,1.928994e-04,1.0995,1057.60,61966.66
163,train,7.142553,1.940828e-04,1.0383,1062.03,61708.26
164,train,7.082477,1.952663e-04,1.1500,1067.78,61375.83
165,train,7.105693,1.964497e-04,0.6966,1060.31,61808.12
166,train,7.036079,1.976331e-04,0.6042,1066.81,61431.83
167,train,7.093124,1.988166e-04,0.6840,1061.62,61732.11
168,train,7.033926,2.000000e-04,0.5982,1065.32,61517.80
169,train,7.161244,2.011834e-04,0.5974,1061.58,61734.39
170,train,6.960500,2.023669e-04,0.6824,1061.57,61735.00
171,train,7.073792,2.035503e-04,0.4944,1063.69,61612.05
172,train,6.935348,2.047337e-04,0.6744,1069.06,61302.56
173,train,7.021463,2.059172e-04,0.7336,1064.59,61559.57
174,train,6.965831,2.071006e-04,0.5804,1059.72,61842.69
175,train,7.122612,2.082840e-04,0.7208,1072.67,61096.35
176,train,7.003036,2.094675e-04,0.6141,1068.19,61352.54
177,train,6.958258,2.106509e-04,0.4709,1087.55,60260.34
178,train,6.949933,2.118343e-04,0.5013,1075.22,60951.43
179,train,6.881133,2.130178e-04,0.4735,1068.03,61361.70
180,train,6.768089,2.142012e-04,0.5670,1075.85,60915.58
181,train,7.149217,2.153846e-04,0.6170,1087.22,60278.63
182,train,6.912521,2.165680e-04,0.7286,1098.13,59679.77
183,train,6.883244,2.177515e-04,0.7669,1067.78,61376.07
184,train,6.881593,2.189349e-04,0.5117,1059.95,61829.32
185,train,6.864517,2.201183e-04,0.5534,1058.84,61894.22
186,train,6.769554,2.213018e-04,0.4690,1064.33,61574.72
187,train,6.943048,2.224852e-04,0.4799,1061.50,61738.88
188,train,7.026795,2.236686e-04,0.4624,1060.86,61776.56
189,train,7.242633,2.248521e-04,1.1022,1068.59,61329.61
190,train,6.870661,2.260355e-04,0.3875,1077.59,60817.14
191,train,6.794415,2.272189e-04,0.5247,1063.29,61635.30
192,train,6.703020,2.284024e-04,0.4591,1086.00,60346.20
