step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902526,,,,
0,train,10.902521,1.183432e-06,3.6719,2661.19,24626.57
1,train,10.900532,2.366864e-06,3.7954,1056.99,62002.48
2,train,10.881998,3.550296e-06,3.9894,1059.00,61884.84
3,train,10.873817,4.733728e-06,3.7537,1060.11,61819.84
4,train,10.856121,5.917160e-06,3.6814,1056.46,62033.34
5,train,10.833164,7.100592e-06,3.7776,1053.56,62204.43
6,train,10.800318,8.284024e-06,3.6522,1054.33,62158.83
7,train,10.778358,9.467456e-06,3.5780,1054.04,62176.26
8,train,10.741129,1.065089e-05,3.3635,1058.57,61910.11
9,train,10.699501,1.183432e-05,3.3810,1098.44,59662.90
10,train,10.669611,1.301775e-05,3.1762,1064.29,61577.23
11,train,10.643883,1.420118e-05,2.8465,1110.15,59033.45
12,train,10.581891,1.538462e-05,2.9713,1075.81,60917.71
13,train,10.525411,1.656805e-05,2.8713,1070.32,61230.22
14,train,10.481079,1.775148e-05,2.7230,1086.59,60313.48
15,train,10.471092,1.893491e-05,2.4186,1092.88,59966.38
16,train,10.424429,2.011834e-05,2.3105,1079.07,60734.00
17,train,10.373175,2.130178e-05,2.3075,1085.05,60399.29
18,train,10.326443,2.248521e-05,2.2259,1070.29,61231.90
19,train,10.314594,2.366864e-05,2.1025,1069.31,61287.97
20,train,10.275389,2.485207e-05,2.0144,1056.55,62028.03
21,train,10.233456,2.603550e-05,1.9732,1055.65,62081.35
22,train,10.222774,2.721893e-05,1.8931,1097.36,59721.35
23,train,10.219231,2.840237e-05,1.7774,1086.12,60339.36
24,train,10.177679,2.958580e-05,1.7858,1072.45,61108.49
25,train,10.118479,3.076923e-05,1.9598,1090.19,60114.27
26,train,10.135545,3.195266e-05,1.7597,1104.44,59338.44
27,train,10.079716,3.313609e-05,1.8605,1070.09,61243.73
28,train,10.063369,3.431953e-05,1.8214,1062.49,61681.79
29,train,10.058184,3.550296e-05,1.7344,1058.35,61922.63
30,train,10.008394,3.668639e-05,1.8651,1075.90,60912.95
31,train,10.043302,3.786982e-05,1.6725,1072.32,61115.80
32,train,10.007740,3.905325e-05,1.7148,1056.95,62004.72
33,train,9.976606,4.023669e-05,1.7330,1087.14,60283.16
34,train,9.961950,4.142012e-05,1.7451,1060.98,61769.57
35,train,9.950942,4.260355e-05,1.7148,1066.86,61428.58
36,train,9.937447,4.378698e-05,1.6926,1080.52,60652.35
37,train,9.902551,4.497041e-05,1.7099,1065.89,61484.65
38,train,9.875713,4.615385e-05,1.7423,1065.07,61532.29
39,train,9.837448,4.733728e-05,1.7749,1079.43,60713.64
40,train,9.825018,4.852071e-05,1.7555,1084.01,60457.11
41,train,9.814817,4.970414e-05,1.7435,1085.56,60370.94
42,train,9.771679,5.088757e-05,1.7963,1071.19,61180.55
43,train,9.752697,5.207101e-05,1.7744,1063.54,61620.50
44,train,9.758255,5.325444e-05,1.6997,1088.65,60199.54
45,train,9.699209,5.443787e-05,1.7558,1094.61,59871.72
46,train,9.734602,5.562130e-05,1.7249,1096.12,59788.87
47,train,9.697825,5.680473e-05,1.6956,1114.03,58827.69
48,train,9.644968,5.798817e-05,1.7486,1081.16,60616.17
