step,type,loss,lr,norm,dt_ms,tok_per_sec
98,train,8.063740,1.171598e-04,1.3516,1145.33,57220.19
99,train,8.088486,1.183432e-04,1.3642,1142.33,57370.50
100,train,8.102907,1.195266e-04,1.3169,1142.64,57355.08
101,train,8.042470,1.207101e-04,1.3522,1138.88,57544.42
102,train,8.083379,1.218935e-04,1.2381,1138.84,57546.46
103,train,8.051316,1.230769e-04,1.2024,1142.98,57337.63
104,train,7.909401,1.242604e-04,1.2983,1143.67,57303.02
105,train,7.907242,1.254438e-04,1.3136,1140.67,57454.05
106,train,7.859543,1.266272e-04,1.1988,1143.17,57328.48
107,train,7.835011,1.278107e-04,1.1900,1140.13,57481.01
108,train,7.894521,1.289941e-04,1.1478,1145.21,57226.17
109,train,7.846166,1.301775e-04,1.1242,1142.19,57377.59
110,train,7.918765,1.313609e-04,1.0284,1141.18,57428.29
111,train,7.813743,1.325444e-04,1.0532,1144.19,57277.03
112,train,7.777765,1.337278e-04,1.0439,1143.14,57329.70
113,train,7.613412,1.349112e-04,1.1084,1143.89,57292.06
114,train,7.564311,1.360947e-04,1.1183,1141.34,57420.07
115,train,7.629254,1.372781e-04,1.0016,1142.87,57343.36
116,train,7.577273,1.384615e-04,0.9543,1142.89,57342.36
117,train,7.651416,1.396450e-04,0.9253,1140.06,57484.85
118,train,7.415394,1.408284e-04,1.0145,1142.43,57365.50
119,train,7.417037,1.420118e-04,0.9203,1141.68,57402.90
120,train,7.531728,1.431953e-04,0.8880,1140.76,57449.40
121,train,7.527417,1.443787e-04,0.8514,1140.49,57463.01
122,train,7.448835,1.455621e-04,0.8112,1143.05,57334.08
123,train,7.465466,1.467456e-04,0.7227,1141.39,57417.93
124,train,7.442842,1.479290e-04,0.7714,1140.78,57448.19
125,train,7.429954,1.491124e-04,1.3515,1141.43,57415.74
126,train,7.484732,1.502959e-04,0.7863,1140.36,57469.78
127,train,7.342802,1.514793e-04,0.8256,1140.40,57467.52
128,train,7.377997,1.526627e-04,0.5991,1141.37,57418.58
129,train,7.373214,1.538462e-04,0.7441,1141.40,57417.18
130,train,7.415376,1.550296e-04,0.5972,1140.10,57482.75
