step,type,loss,lr,norm,dt_ms,tok_per_sec
98,train,8.063711,1.171598e-04,1.3516,1052.08,62291.93
99,train,8.088418,1.183432e-04,1.3639,1050.81,62367.04
100,train,8.102866,1.195266e-04,1.3168,1054.33,62159.00
101,train,8.042459,1.207101e-04,1.3522,1054.35,62157.62
102,train,8.083389,1.218935e-04,1.2378,1050.15,62406.19
103,train,8.051309,1.230769e-04,1.2024,1051.64,62317.82
104,train,7.909330,1.242604e-04,1.2979,1052.32,62277.38
105,train,7.907234,1.254438e-04,1.3145,1053.66,62198.52
106,train,7.859547,1.266272e-04,1.1987,1054.31,62160.35
107,train,7.835025,1.278107e-04,1.1897,1050.12,62408.25
108,train,7.894519,1.289941e-04,1.1477,1054.01,62177.57
109,train,7.846178,1.301775e-04,1.1239,1048.65,62495.80
110,train,7.918764,1.313609e-04,1.0285,1050.08,62410.52
111,train,7.813674,1.325444e-04,1.0529,1051.90,62302.70
112,train,7.777732,1.337278e-04,1.0438,1051.58,62321.19
113,train,7.613373,1.349112e-04,1.1081,1078.40,60771.55
114,train,7.564237,1.360947e-04,1.1185,1068.21,61351.38
115,train,7.629193,1.372781e-04,1.0011,1076.97,60852.32
116,train,7.577227,1.384615e-04,0.9540,1085.16,60393.04
117,train,7.651390,1.396450e-04,0.9251,1085.73,60361.49
118,train,7.415314,1.408284e-04,1.0139,1084.52,60428.80
119,train,7.417012,1.420118e-04,0.9198,1105.06,59305.33
120,train,7.531694,1.431953e-04,0.8879,1095.22,59838.16
121,train,7.527372,1.443787e-04,0.8508,1089.97,60126.27
122,train,7.448774,1.455621e-04,0.8111,1100.90,59529.56
123,train,7.465483,1.467456e-04,0.7224,1089.79,60136.40
124,train,7.442872,1.479290e-04,0.7719,1090.53,60095.61
125,train,7.430001,1.491124e-04,1.3515,1091.94,60017.86
126,train,7.484725,1.502959e-04,0.7866,1083.67,60476.01
127,train,7.342737,1.514793e-04,0.8257,1083.70,60474.10
128,train,7.378018,1.526627e-04,0.5990,1096.87,59748.34
129,train,7.373233,1.538462e-04,0.7447,1071.31,61173.90
130,train,7.415402,1.550296e-04,0.5971,1076.08,60902.46
131,train,7.440866,1.562130e-04,0.5549,1077.96,60796.30
132,train,7.427515,1.573964e-04,0.5065,1057.54,61970.05
133,train,7.440684,1.585799e-04,0.5339,1058.82,61895.32
134,train,7.291460,1.597633e-04,0.6868,1070.36,61227.86
135,train,7.337991,1.609467e-04,0.6662,1091.02,60068.38
136,train,7.312552,1.621302e-04,0.5444,1098.79,59643.88
137,train,7.382029,1.633136e-04,0.4491,1099.09,59627.36
138,train,7.222391,1.644970e-04,0.5175,1083.71,60473.55
139,train,7.247392,1.656805e-04,0.4605,1062.80,61663.73
140,train,7.246803,1.668639e-04,0.4089,1064.39,61571.20
141,train,7.221136,1.680473e-04,0.4589,1088.46,60209.64
142,train,7.190552,1.692308e-04,0.5242,1080.72,60640.88
143,train,7.183180,1.704142e-04,0.3982,1058.42,61918.43
144,train,7.298622,1.715976e-04,0.3727,1056.43,62035.58
145,train,7.147584,1.727811e-04,0.4305,1063.68,61612.23
146,train,7.403193,1.739645e-04,0.6177,1057.22,61989.14
147,train,7.211885,1.751479e-04,0.3706,1060.33,61807.44
148,train,7.137688,1.763314e-04,0.4591,1079.35,60718.00
149,train,7.325764,1.775148e-04,0.3537,1060.42,61801.86
150,train,7.829592,1.786982e-04,0.7640,1063.64,61614.89
151,train,7.912769,1.798817e-04,0.8865,1057.69,61961.21
152,train,7.243870,1.810651e-04,0.5095,1057.38,61979.36
153,train,7.087232,1.822485e-04,0.5179,1058.53,61912.35
154,train,7.155690,1.834320e-04,0.5395,1060.27,61810.94
155,train,8.772507,1.846154e-04,4.6606,1060.54,61794.92
156,train,7.868064,1.857988e-04,2.3890,1059.96,61828.69
157,train,7.134388,1.869822e-04,4.0661,1057.57,61968.41
158,train,7.127646,1.881657e-04,3.7957,1057.50,61972.57
159,train,7.058486,1.893491e-04,0.9418,1067.06,61417.46
160,train,7.094232,1.905325e-04,1.9605,1085.90,60351.91
161,train,7.162296,1.917160e-04,1.6769,1086.19,60335.74
162,train,7.140699,1.928994e-04,1.0957,1091.47,60043.94
163,train,7.142499,1.940828e-04,1.0405,1081.19,60614.95
164,train,7.082443,1.952663e-04,1.1502,1076.58,60874.25
165,train,7.105626,1.964497e-04,0.6940,1087.01,60290.08
166,train,7.036000,1.976331e-04,0.6038,1058.81,61895.93
167,train,7.093077,1.988166e-04,0.6830,1062.53,61679.45
168,train,7.033818,2.000000e-04,0.5976,1088.48,60208.48
169,train,7.161150,2.011834e-04,0.5960,1062.70,61669.52
