step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902526,,,,
0,train,10.902521,1.183432e-06,3.6719,2522.16,25984.12
1,train,10.900430,2.366864e-06,3.7955,1075.70,60924.10
2,train,10.882077,3.550296e-06,3.9894,1082.52,60540.13
3,train,10.873791,4.733728e-06,3.7537,1091.70,60031.03
4,train,10.856064,5.917160e-06,3.6814,1080.81,60635.81
5,train,10.833097,7.100592e-06,3.7775,1058.40,61919.59
6,train,10.800331,8.284024e-06,3.6521,1056.57,62027.19
7,train,10.778342,9.467456e-06,3.5781,1062.21,61697.69
8,train,10.741126,1.065089e-05,3.3635,1057.42,61977.26
9,train,10.699472,1.183432e-05,3.3810,1055.61,62083.72
10,train,10.669633,1.301775e-05,3.1761,1079.88,60688.14
11,train,10.643900,1.420118e-05,2.8465,1085.44,60377.19
12,train,10.581939,1.538462e-05,2.9714,1102.38,59449.77
13,train,10.525434,1.656805e-05,2.8713,1067.07,61416.90
14,train,10.481030,1.775148e-05,2.7230,1074.02,61019.31
15,train,10.471173,1.893491e-05,2.4186,1084.02,60456.24
16,train,10.424385,2.011834e-05,2.3105,1064.20,61582.12
17,train,10.373148,2.130178e-05,2.3075,1060.40,61803.33
18,train,10.326489,2.248521e-05,2.2260,1067.10,61414.91
19,train,10.314585,2.366864e-05,2.1025,1066.39,61456.03
20,train,10.275334,2.485207e-05,2.0144,1074.38,60998.78
21,train,10.233438,2.603550e-05,1.9732,1068.85,61314.60
22,train,10.222799,2.721893e-05,1.8931,1075.03,60962.23
23,train,10.219208,2.840237e-05,1.7773,1124.79,58265.24
24,train,10.177635,2.958580e-05,1.7858,1069.92,61252.98
25,train,10.118488,3.076923e-05,1.9599,1082.17,60559.72
26,train,10.135589,3.195266e-05,1.7597,1076.14,60899.35
27,train,10.079758,3.313609e-05,1.8605,1067.16,61411.82
28,train,10.063322,3.431953e-05,1.8214,1069.83,61258.22
29,train,10.058187,3.550296e-05,1.7345,1058.09,61938.11
30,train,10.008442,3.668639e-05,1.8651,1075.88,60913.68
31,train,10.043304,3.786982e-05,1.6725,1070.88,61198.38
32,train,10.007708,3.905325e-05,1.7148,1068.12,61356.55
33,train,9.976681,4.023669e-05,1.7330,1097.96,59688.63
34,train,9.961972,4.142012e-05,1.7450,1076.65,60870.11
35,train,9.950929,4.260355e-05,1.7147,1070.39,61226.13
36,train,9.937441,4.378698e-05,1.6926,1061.24,61754.12
37,train,9.902546,4.497041e-05,1.7099,1087.24,60277.24
38,train,9.875751,4.615385e-05,1.7423,1057.11,61995.65
39,train,9.837435,4.733728e-05,1.7749,1069.76,61262.51
40,train,9.824989,4.852071e-05,1.7555,1058.54,61911.67
41,train,9.814823,4.970414e-05,1.7435,1060.69,61786.45
42,train,9.771625,5.088757e-05,1.7963,1066.26,61463.54
43,train,9.752661,5.207101e-05,1.7744,1079.69,60698.92
44,train,9.758214,5.325444e-05,1.6997,1097.91,59691.34
45,train,9.699198,5.443787e-05,1.7558,1093.80,59915.69
46,train,9.734618,5.562130e-05,1.7249,1099.18,59622.60
47,train,9.697846,5.680473e-05,1.6956,1093.09,59954.96
48,train,9.644987,5.798817e-05,1.7486,1095.58,59818.79
49,train,9.681834,5.917160e-05,1.7293,1096.54,59766.03
50,train,9.558928,6.035503e-05,1.7580,1093.48,59933.26
51,train,9.504414,6.153846e-05,1.8143,1095.34,59831.77
52,train,9.540820,6.272189e-05,1.6634,1097.13,59734.00
53,train,9.497940,6.390533e-05,1.7138,1097.67,59704.76
54,train,9.465230,6.508876e-05,1.6838,1088.31,60218.25
55,train,9.455314,6.627219e-05,1.6427,1093.79,59916.29
56,train,9.419123,6.745562e-05,1.6389,1091.61,60035.99
57,train,9.389648,6.863905e-05,1.6581,1089.59,60147.31
58,train,9.345489,6.982249e-05,1.6808,1109.02,59093.44
59,train,9.374340,7.100592e-05,1.5765,1097.01,59740.73
60,train,9.271891,7.218935e-05,1.6317,1140.88,57443.13
61,train,9.246273,7.337278e-05,1.6503,1099.12,59625.82
62,train,9.228900,7.455621e-05,1.6312,1083.83,60466.88
63,train,9.243116,7.573964e-05,1.5542,1060.36,61805.25
64,train,9.164449,7.692308e-05,1.6464,1055.26,62104.35
65,train,9.167635,7.810651e-05,1.5985,1059.88,61833.16
66,train,9.085169,7.928994e-05,1.6340,1069.92,61253.32
67,train,9.044046,8.047337e-05,1.6968,1060.52,61796.05
68,train,9.050488,8.165680e-05,1.6000,1100.34,59559.62
69,train,8.996902,8.284024e-05,1.6167,1122.38,58390.08
70,train,8.994978,8.402367e-05,1.5968,1088.44,60210.68
71,train,8.917103,8.520710e-05,1.6352,1061.47,61740.92
72,train,8.886108,8.639053e-05,1.6147,1060.98,61769.08
73,train,8.867158,8.757396e-05,1.6013,1057.71,61960.49
74,train,8.858055,8.875740e-05,1.5669,1060.92,61772.61
75,train,8.801751,8.994083e-05,1.5920,1059.12,61877.87
76,train,8.755804,9.112426e-05,1.6389,1065.12,61529.31
77,train,8.747555,9.230769e-05,1.5507,1077.41,60827.07
78,train,8.714396,9.349112e-05,1.5726,1082.28,60553.74
79,train,8.698322,9.467456e-05,1.5227,1088.53,60206.07
80,train,8.676876,9.585799e-05,1.5292,1080.41,60658.61
81,train,8.603973,9.704142e-05,1.6132,1071.17,61181.69
82,train,8.582308,9.822485e-05,1.5513,1093.94,59908.31
83,train,8.536837,9.940828e-05,1.5369,1082.33,60550.92
84,train,8.540880,1.005917e-04,1.5309,1067.40,61397.94
85,train,8.461620,1.017751e-04,1.5070,1069.42,61281.56
86,train,8.513309,1.029586e-04,1.4373,1069.74,61263.70
87,train,8.380615,1.041420e-04,1.5417,1081.58,60592.97
88,train,8.370770,1.053254e-04,1.4603,1105.76,59268.01
89,train,8.427856,1.065089e-04,1.4422,1159.31,56530.13
90,train,8.280693,1.076923e-04,1.4580,1093.46,59934.38
91,train,8.314722,1.088757e-04,1.4762,1075.61,60929.37
92,train,8.284184,1.100592e-04,1.4434,1121.65,58428.30
93,train,8.215240,1.112426e-04,1.4333,1114.92,58780.85
94,train,8.137897,1.124260e-04,1.4623,1103.85,59370.47
95,train,8.191446,1.136095e-04,1.3840,1092.24,60001.45
96,train,8.143574,1.147929e-04,1.3802,1089.20,60168.86
97,train,8.077087,1.159763e-04,1.3971,1097.23,59728.62
98,train,8.055915,1.171598e-04,1.3685,1125.23,58242.57
99,train,8.079514,1.183432e-04,1.3561,1125.57,58224.77
100,train,8.094558,1.195266e-04,1.3227,1075.18,60953.43
101,train,8.035455,1.207101e-04,1.3650,1094.00,59905.07
102,train,8.075603,1.218935e-04,1.2350,1076.06,60903.68
103,train,8.043800,1.230769e-04,1.2132,1066.70,61438.11
104,train,7.900537,1.242604e-04,1.2825,1069.98,61249.79
105,train,7.899581,1.254438e-04,1.3586,1066.21,61466.07
106,train,7.851737,1.266272e-04,1.1999,1129.07,58044.18
107,train,7.827264,1.278107e-04,1.1930,1122.92,58362.06
108,train,7.887869,1.289941e-04,1.1526,1099.54,59603.06
109,train,7.838510,1.301775e-04,1.1195,1111.56,58958.74
110,train,7.912013,1.313609e-04,1.0448,1154.53,56764.18
111,train,7.806308,1.325444e-04,1.0510,1886.30,34743.13
112,train,7.770981,1.337278e-04,1.0512,1174.64,55792.57
113,train,7.605752,1.349112e-04,1.1097,13973.98,4689.86
114,train,7.556687,1.360947e-04,1.1302,1130.85,57952.80
115,train,7.621821,1.372781e-04,1.0003,1106.81,59211.45
116,train,7.570168,1.384615e-04,0.9558,1128.33,58082.34
117,train,7.644579,1.396450e-04,0.9249,1150.73,56951.49
118,train,7.408281,1.408284e-04,1.0229,1127.74,58112.74
119,train,7.410173,1.420118e-04,0.9176,1135.41,57720.04
120,train,7.525274,1.431953e-04,0.8901,1150.21,56977.47
121,train,7.521049,1.443787e-04,0.8533,1169.00,56061.42
122,train,7.442548,1.455621e-04,0.8101,1158.13,56588.01
123,train,7.459214,1.467456e-04,0.7218,1140.00,57487.49
124,train,7.436701,1.479290e-04,0.7784,1107.57,59171.22
125,train,7.424666,1.491124e-04,1.3793,1111.63,58954.91
126,train,7.479617,1.502959e-04,0.8137,1106.48,59229.07
127,train,7.337055,1.514793e-04,0.8383,1095.94,59799.11
128,train,7.372694,1.526627e-04,0.6162,1088.58,60203.46
129,train,7.367748,1.538462e-04,0.7475,1089.78,60136.96
130,train,7.410688,1.550296e-04,0.6045,1090.11,60118.81
131,train,7.436406,1.562130e-04,0.5803,1092.86,59967.18
132,train,7.422514,1.573964e-04,0.5089,1090.33,60106.51
133,train,7.436331,1.585799e-04,0.5526,1092.09,60009.73
134,train,7.286849,1.597633e-04,0.7040,1110.85,58996.20
135,train,7.333786,1.609467e-04,0.6554,1159.42,56525.06
136,train,7.308362,1.621302e-04,0.5634,1143.09,57332.41
137,train,7.377596,1.633136e-04,0.4444,1158.71,56559.33
138,train,7.217823,1.644970e-04,0.5262,1166.41,56186.17
139,train,7.243040,1.656805e-04,0.4716,1153.71,56804.65
140,train,7.242727,1.668639e-04,0.4151,1126.36,58183.70
141,train,7.216767,1.680473e-04,0.4616,1159.87,56503.05
142,train,7.186629,1.692308e-04,0.5674,1134.61,57760.60
143,train,7.179036,1.704142e-04,0.4124,1153.42,56818.84
144,train,7.294688,1.715976e-04,0.4047,1141.97,57388.55
145,train,7.143577,1.727811e-04,0.4488,1140.23,57476.28
146,train,7.399504,1.739645e-04,0.6494,1141.38,57418.31
147,train,7.208039,1.751479e-04,0.3898,1127.77,58111.29
148,train,7.133660,1.763314e-04,0.4768,1124.91,58258.79
