step,type,loss,lr,norm,dt_ms,tok_per_sec
0,val,10.902526,,,,
0,train,10.902521,1.183432e-06,3.6719,2778.13,23589.94
1,train,10.900440,2.366864e-06,3.7955,1075.15,60955.39
2,train,10.882054,3.550296e-06,3.9895,1073.48,61049.78
3,train,10.873828,4.733728e-06,3.7537,1073.77,61033.51
4,train,10.856127,5.917160e-06,3.6814,1074.06,61016.85
5,train,10.833104,7.100592e-06,3.7775,1078.46,60767.85
6,train,10.800284,8.284024e-06,3.6521,1097.67,59704.63
7,train,10.778378,9.467456e-06,3.5780,1100.50,59551.30
8,train,10.741109,1.065089e-05,3.3635,1166.84,56165.41
9,train,10.699467,1.183432e-05,3.3810,1086.46,60320.43
10,train,10.669620,1.301775e-05,3.1761,1074.82,60973.73
11,train,10.643908,1.420118e-05,2.8465,1076.15,60898.31
12,train,10.581948,1.538462e-05,2.9713,1075.93,60910.83
13,train,10.525429,1.656805e-05,2.8713,1074.51,60991.68
14,train,10.481063,1.775148e-05,2.7230,1073.25,61063.37
15,train,10.471128,1.893491e-05,2.4186,1080.49,60653.82
16,train,10.424383,2.011834e-05,2.3105,1079.90,60687.25
17,train,10.373167,2.130178e-05,2.3075,1068.79,61317.97
18,train,10.326452,2.248521e-05,2.2260,1075.81,60917.77
19,train,10.314611,2.366864e-05,2.1025,1073.46,61050.97
20,train,10.275299,2.485207e-05,2.0145,1076.96,60852.95
21,train,10.233435,2.603550e-05,1.9732,1102.56,59439.99
22,train,10.222771,2.721893e-05,1.8931,1081.10,60619.85
23,train,10.219199,2.840237e-05,1.7773,1078.77,60750.70
24,train,10.177673,2.958580e-05,1.7858,1072.98,61078.67
25,train,10.118500,3.076923e-05,1.9599,1071.70,61151.60
26,train,10.135561,3.195266e-05,1.7596,1072.62,61099.16
27,train,10.079762,3.313609e-05,1.8605,1075.30,60946.58
28,train,10.063375,3.431953e-05,1.8214,1077.00,60850.37
29,train,10.058194,3.550296e-05,1.7345,1075.31,60946.40
30,train,10.008406,3.668639e-05,1.8652,1075.74,60921.79
31,train,10.043315,3.786982e-05,1.6725,1074.87,60971.06
32,train,10.007755,3.905325e-05,1.7148,1077.47,60823.91
33,train,9.976643,4.023669e-05,1.7330,1078.66,60756.96
34,train,9.961962,4.142012e-05,1.7451,1074.87,60971.13
35,train,9.950954,4.260355e-05,1.7147,1072.28,61118.22
36,train,9.937412,4.378698e-05,1.6926,1072.49,61106.26
37,train,9.902553,4.497041e-05,1.7099,1076.78,60862.72
38,train,9.875731,4.615385e-05,1.7423,1076.68,60868.83
39,train,9.837456,4.733728e-05,1.7749,1075.74,60921.99
40,train,9.824993,4.852071e-05,1.7555,1074.20,61009.39
41,train,9.814835,4.970414e-05,1.7435,1080.40,60658.90
42,train,9.771658,5.088757e-05,1.7963,1075.92,60911.38
43,train,9.752714,5.207101e-05,1.7744,1072.53,61103.98
44,train,9.758232,5.325444e-05,1.6997,1078.21,60782.36
45,train,9.699223,5.443787e-05,1.7558,1071.75,61148.69
46,train,9.734629,5.562130e-05,1.7250,1072.08,61129.49
47,train,9.697861,5.680473e-05,1.6956,1073.57,61044.91
48,train,9.644977,5.798817e-05,1.7485,1072.29,61118.06
49,train,9.681854,5.917160e-05,1.7293,1075.20,60952.58
50,train,9.558861,6.035503e-05,1.7580,1075.06,60960.47
51,train,9.504480,6.153846e-05,1.8143,1077.81,60804.68
52,train,9.540817,6.272189e-05,1.6634,1073.35,61057.40
53,train,9.497895,6.390533e-05,1.7139,1076.89,60857.00
54,train,9.465189,6.508876e-05,1.6838,1076.59,60873.49
55,train,9.455265,6.627219e-05,1.6427,1075.17,60953.85
56,train,9.419141,6.745562e-05,1.6389,1074.49,60992.41
57,train,9.389642,6.863905e-05,1.6581,1075.71,60923.57
58,train,9.345570,6.982249e-05,1.6808,1077.29,60834.27
59,train,9.374321,7.100592e-05,1.5766,1073.45,61051.70
60,train,9.271831,7.218935e-05,1.6317,1076.66,60869.85
61,train,9.246299,7.337278e-05,1.6503,1076.61,60872.78
62,train,9.228858,7.455621e-05,1.6311,1074.53,60990.53
63,train,9.243136,7.573964e-05,1.5542,1073.23,61064.40
64,train,9.164448,7.692308e-05,1.6464,1073.98,61021.75
65,train,9.167665,7.810651e-05,1.5985,1076.52,60877.42
66,train,9.085186,7.928994e-05,1.6341,1075.90,60912.94
